Player,Nation,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Position
Tammy Abraham,ENG,Roma,26,1997,1.2,0,0,0,1,2,2,1,0,0,0,0,0,0,3,2,60.0,FW
Francesco Acerbi,ITA,Inter,36,1988,24.5,1,0,0,19,19,3,8,31,12,0,0,0,97,65,33,66.3,DF
Yacine Adli,FRA,Milan,23,2000,15.2,3,0,0,25,9,1,48,20,17,0,1,0,91,15,9,62.5,MF
Michel Aebischer,SUI,Bologna,27,1997,21.9,6,0,0,35,25,0,12,11,18,0,0,0,116,11,15,42.3,MF
Lucien Agoume,FRA,Inter,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,MF
Marley Aké,FRA,Udinese,23,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,FW
Ebenezer Akinsanmiro,NGA,Inter,19,2004,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,MF
Jean-Daniel Akpa-Akpro,CIV,Monza,31,1992,7.3,5,0,0,14,4,0,0,12,9,0,1,0,28,4,7,36.4,MF
David Akpan Ankeye,NGA,Genoa,22,2002,0.6,0,0,0,2,0,0,1,0,0,,,0,,,,,FW
Luis Alberto,ESP,Lazio,31,1992,24.8,7,0,0,15,23,6,146,7,19,0,0,0,136,9,18,33.3,MF
Carlos Alcaraz,ARG,Juventus,21,2002,2.7,0,0,0,3,3,0,1,2,4,0,0,0,10,1,8,11.1,MF
Pontus Almqvist,SWE,Lecce,24,1999,21.8,5,0,0,26,35,1,20,13,27,2,0,0,63,12,20,37.5,FW
Lorenzo Amatucci,ITA,Fiorentina,20,2004,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0,MF
Bruno Amione,ARG,Hellas Verona,22,2002,6.4,2,0,0,10,6,0,1,9,3,0,0,0,39,19,10,65.5,DF
Felipe Anderson,BRA,Lazio,31,1993,28.5,3,0,0,26,33,4,53,26,40,0,0,0,124,15,14,51.7,FW
Angeliño,ESP,Roma,27,1997,8.8,2,0,0,11,5,1,28,11,6,0,0,1,37,12,5,70.6,DF
Houssem Aouar,ALG,Roma,25,1998,7.6,3,0,0,9,10,3,10,4,11,0,0,0,36,10,11,47.6,MF
Marko Arnautović,AUT,Inter,35,1989,7.2,0,0,0,11,15,4,7,5,4,0,0,0,12,4,7,36.4,FW
Kristjan Asllani,ALB,Inter,22,2002,6.7,1,0,0,3,17,0,32,10,2,0,0,0,47,4,5,44.4,MF
Emil Audero,ITA,Inter,27,1997,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GK
Tommaso Augello,ITA,Cagliari,29,1994,23.1,3,0,0,12,14,1,128,14,19,0,0,0,122,29,19,60.4,DF
Carlos Augusto,BRA,Inter,25,1999,15.9,1,0,0,16,5,1,38,13,16,0,0,0,61,45,20,69.2,DF
Yann Aurel Bisseck,GER,Inter,23,2000,8.0,0,0,0,3,11,2,3,1,5,0,0,0,30,14,17,45.2,DF
Sardar Azmoun,IRN,Roma,29,1995,6.0,4,0,0,7,11,2,2,3,5,2,0,0,18,11,11,50.0,FW
Paulo Azzi,BRA,Cagliari,29,1994,10.0,1,0,0,4,3,4,46,16,11,0,0,0,56,13,11,54.2,DF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Oussama El Azzouzi,MAR,Bologna,22,2001,4.7,3,0,0,11,5,1,2,5,6,0,0,0,35,3,9,25.0,MF
Milan Badelj,CRO,Genoa,35,1989,24.7,6,0,0,22,13,0,14,46,26,0,0,0,160,11,13,45.8,MF
Jaime Báez,URU,Frosinone,29,1995,5.5,1,0,0,6,14,5,24,4,1,1,0,0,29,4,5,44.4,FW
Nedim Bajrami,ALB,Sassuolo,25,1999,14.3,0,0,0,12,5,3,73,5,5,0,0,0,56,2,10,16.7,MF
Mitchel Bakker,NED,Atalanta,23,2000,4.1,1,0,0,4,3,1,13,3,2,0,0,0,25,4,1,80.0,DF
Tommaso Baldanzi,ITA,Empoli,21,2003,8.3,1,0,0,4,16,2,16,2,2,0,0,0,27,1,6,14.3,MF
Tommaso Baldanzi,ITA,Roma,21,2003,3.8,2,0,0,3,11,0,6,0,5,0,0,0,13,0,1,0.0,FW
Lameck Banda,ZAM,Lecce,23,2001,15.0,5,1,0,32,30,9,51,3,23,0,0,0,82,9,16,36.0,FW
Daniel Bandeira,POR,Hellas Verona,24,2000,4.3,2,0,0,5,2,0,7,3,5,0,0,0,31,3,9,25.0,MF
Mattia Bani,ITA,Genoa,30,1993,25.6,9,0,0,21,28,2,1,22,10,0,0,0,98,49,42,53.8,DF
Antonín Barák,CZE,Fiorentina,29,1994,5.9,2,0,0,6,6,0,1,2,1,0,0,0,29,8,19,29.6,MF
Nicolò Barella,ITA,Inter,27,1997,28.8,6,0,0,26,24,3,48,10,25,1,0,0,153,19,15,55.9,MF
Enzo Barrenechea,ARG,Frosinone,22,2001,28.3,9,0,0,30,48,0,1,25,40,0,0,0,216,45,42,51.7,MF
Davide Bartesaghi,ITA,Milan,18,2005,0.9,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,100.0,DF
Federico Baschirotto,ITA,Lecce,27,1996,32.6,2,1,0,28,4,0,3,22,10,0,2,0,137,84,63,57.1,DF
Toma Bašić,CRO,Salernitana,27,1996,9.9,3,0,0,7,13,0,20,10,9,0,0,0,44,8,10,44.4,MF
Alessandro Bastoni,ITA,Inter,25,1999,23.7,5,0,0,30,31,0,70,21,33,0,0,0,109,37,26,58.7,DF
Simone Bastoni,ITA,Empoli,27,1996,6.4,2,0,0,12,10,0,26,10,10,0,0,0,30,8,10,44.4,MF
Reda Belahyane,FRA,Hellas Verona,19,2004,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,MF
Raoul Bellanova,ITA,Torino,23,2000,30.6,5,0,0,13,50,2,163,14,22,0,0,0,121,30,30,50.0,DF
Andrea Belotti,ITA,Fiorentina,30,1993,8.4,0,0,0,13,18,4,3,1,2,2,0,0,13,33,32,50.8,FW
Andrea Belotti,ITA,Roma,30,1993,7.5,1,0,0,14,25,8,4,2,4,0,0,0,15,14,22,38.9,FW
Lucas Beltrán,ARG,Fiorentina,23,2001,16.5,6,0,0,23,21,4,6,1,14,0,0,0,41,18,56,24.3,FW
