Player,Nation,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Position
Ismaël Bennacer,ALG,Milan,26,1997,9.1,1,0,0,12,14,1,25,9,14,0,0,0,59,10,16,38.5,MF
Domenico Berardi,ITA,Sassuolo,29,1994,15.9,6,0,0,28,28,4,72,13,8,1,0,0,57,9,18,33.3,FW
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Bartosz Bereszyński,POL,Empoli,31,1992,16.2,3,0,0,16,13,0,15,17,20,0,0,0,68,18,11,62.1,DF
Etrit Berisha,ALB,Empoli,35,1989,14.0,0,0,0,0,2,0,0,0,0,0,0,0,26,7,0,100.0,GK
Medon Berisha,ALB,Lecce,20,2003,0.5,0,0,0,3,0,0,1,0,1,0,0,0,3,1,0,100.0,MF
Victor Bernth Kristiansen,DEN,Bologna,21,2002,22.6,4,0,0,29,5,1,33,10,31,1,1,0,74,22,17,56.4,DF
Beto,GNB,Udinese,26,1998,0.8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,FW
Davide Bettella,ITA,Monza,24,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MF
Sam Beukema,NED,Bologna,25,1998,27.1,6,1,1,27,11,1,2,15,11,0,2,0,142,44,36,55.0,DF
Jaka Bijol,SVN,Udinese,25,1999,19.2,4,0,0,24,6,0,1,21,23,0,0,0,75,74,19,79.6,DF
El Bilal Touré,MLI,Atalanta,22,2001,3.0,1,0,0,11,4,1,1,0,1,1,0,0,7,11,11,50.0,FW
Cristiano Biraghi,ITA,Fiorentina,31,1992,23.2,7,0,0,40,13,1,205,14,25,0,0,0,89,7,10,41.2,DF
Davide Biraschi,ITA,Genoa,29,1994,1.0,0,0,0,0,2,0,0,2,3,0,0,0,4,1,0,100.0,DF
Samuele Birindelli,ITA,Monza,24,1999,19.3,7,0,0,25,30,1,39,17,16,0,0,0,66,7,6,53.8,DF
Alexis Blin,FRA,Lecce,27,1996,15.4,3,0,0,21,19,0,9,20,14,0,1,0,98,24,40,37.5,MF
Jérôme Boateng,GER,Salernitana,35,1988,2.6,0,0,0,2,0,1,1,4,0,0,0,0,10,8,7,53.3,DF
Emil Bohinen,NOR,Genoa,25,1999,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,50.0,MF
Emil Bohinen,NOR,Salernitana,25,1999,5.9,1,0,0,5,6,0,2,14,6,0,0,0,42,11,10,52.4,MF
Daniel Boloca,ROU,Sassuolo,25,1998,21.7,5,1,0,23,7,0,7,14,32,0,1,0,153,22,20,52.4,MF
Giacomo Bonaventura,ITA,Fiorentina,34,1989,23.2,5,0,0,18,33,0,52,14,13,0,0,0,114,11,16,40.7,MF
Federico Bonazzoli,ITA,Hellas Verona,26,1997,10.1,2,0,0,9,20,9,6,3,1,0,0,0,29,6,10,37.5,FW
Warren Bondo,FRA,Monza,20,2003,13.4,7,0,0,26,19,0,2,6,18,0,1,0,58,9,7,56.3,MF
Giovanni Bonfanti,ITA,Atalanta,21,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,DF
Kevin Bonifazi,ITA,Bologna,27,1996,1.0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,,DF
Kevin Bonifazi,ITA,Frosinone,27,1996,2.2,0,0,0,4,1,0,0,1,2,0,0,0,12,2,5,28.6,DF
Gennaro Borrelli,ITA,Frosinone,24,2000,0.3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0.0,FW
Erik Botheim,NOR,Salernitana,24,2000,3.5,1,0,0,2,11,0,1,0,0,0,0,0,7,2,17,10.5,FW
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Mehdi Bourabia,MAR,Frosinone,32,1991,2.2,1,0,0,5,1,1,2,0,4,0,2,0,19,2,3,40.0,MF
Edoardo Bove,ITA,Roma,21,2002,17.1,2,0,0,30,26,1,7,8,29,0,0,0,81,28,30,48.3,MF
Domagoj Bradarić,CRO,Salernitana,24,1999,29.7,5,0,0,14,34,0,79,30,20,0,0,0,145,21,27,43.8,DF
Josip Brekalo,CRO,Fiorentina,25,1998,7.2,0,0,0,13,6,1,24,1,6,0,0,0,26,1,4,20.0,FW
Gleison Bremer,BRA,Juventus,27,1997,32.9,8,0,0,57,17,2,1,39,39,0,1,0,174,92,51,64.3,DF
Brenner,BRA,Udinese,24,2000,0.5,0,0,0,0,1,0,0,0,3,0,0,0,5,0,0,,FW
Marco Brescianini,ITA,Frosinone,24,2000,21.9,1,0,0,33,20,4,17,9,12,0,0,0,96,18,25,41.9,MF
Dylan Bronn,TUN,Salernitana,28,1995,0.6,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,50.0,DF
Tajon Buchanan,CAN,Inter,25,1999,0.8,0,0,0,1,1,0,5,0,1,0,0,0,4,0,1,0.0,DF
Alessandro Buongiorno,ITA,Torino,24,1999,25.2,7,0,0,64,33,1,3,63,36,1,1,0,112,73,50,59.3,DF
Rareș-Cătălin Burnete,ROU,Lecce,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FW
Jovane Cabral,CPV,Salernitana,25,1998,7.5,1,0,0,19,13,6,14,1,9,0,1,0,31,5,15,25.0,MF
Liberato Cacace,NZL,Empoli,23,2000,19.9,6,0,0,28,17,1,60,15,23,0,0,0,111,17,21,44.7,DF
Jens Cajuste,SWE,Napoli,24,1999,8.0,5,0,0,22,7,1,2,3,18,0,1,0,37,12,15,44.4,MF
Davide Calabria,ITA,Milan,27,1996,23.3,5,2,1,25,19,0,34,23,38,0,1,0,86,12,27,30.8,DF
Riccardo Calafiori,ITA,Bologna,21,2002,23.3,4,0,0,31,21,2,9,44,28,0,2,1,178,58,21,73.4,DF
Luca Caldirola,ITA,Monza,33,1991,23.1,7,1,1,23,17,0,4,29,13,0,1,0,56,30,23,56.6,DF
Hakan Çalhanoğlu,TUR,Inter,30,1994,26.6,5,0,0,41,22,0,147,21,31,0,0,0,158,24,17,58.5,MF
Francesco Camarda,ITA,Milan,16,2008,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,FW
Nicolò Cambiaghi,ITA,Empoli,23,2000,26.9,3,0,0,46,68,2,121,14,35,1,0,0,94,9,23,28.1,FW
Andrea Cambiaso,ITA,Juventus,24,2000,23.9,9,0,0,31,18,3,68,11,24,1,0,0,111,12,16,42.9,DF
Matteo Cancellieri,ITA,Empoli,22,2002,16.8,7,0,0,32,45,10,39,6,19,1,1,0,62,27,57,32.1,FW
Antonio Candreva,ITA,Salernitana,37,1987,29.4,5,0,0,11,42,20,216,7,13,0,0,0,87,0,1,0.0,MF
Luigi Canotto,ITA,Frosinone,29,1994,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,FW
Gianluca Caprari,ITA,Monza,30,1993,2.8,0,0,0,2,3,2,6,2,1,0,0,0,11,0,4,0.0,MF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Elia Caprile,ITA,Empoli,22,2001,19.0,0,0,0,1,7,0,0,0,0,0,0,0,14,9,2,81.8,GK
Francesco Caputo,ITA,Empoli,36,1987,12.7,0,0,0,8,13,17,1,1,0,0,0,0,18,11,21,34.4,FW
Andrea Carboni,ITA,Monza,23,2001,16.5,1,0,0,12,5,1,21,17,22,0,0,0,56,21,17,55.3,DF
Valentin Carboni,ARG,Monza,19,2005,10.7,1,0,0,18,17,2,13,5,10,0,0,0,50,3,10,23.1,MF
Marco Carnesecchi,ITA,Atalanta,23,2000,23.0,0,0,0,1,2,0,0,0,0,0,1,0,30,7,1,87.5,GK
Nicolò Casale,ITA,Lazio,26,1998,15.7,3,0,0,20,5,0,0,11,9,0,1,0,73,21,22,48.8,DF
Giuseppe Caso,ITA,Frosinone,25,1998,4.6,2,0,0,5,14,1,2,0,3,1,0,0,13,0,2,0.0,FW
Valentín Castellanos,ARG,Lazio,25,1998,16.3,2,0,0,31,27,18,14,2,10,0,0,0,45,63,59,51.6,FW
Samu Castillejo,ESP,Sassuolo,29,1995,6.0,2,0,0,11,18,1,34,1,10,0,0,0,33,2,9,18.2,FW
Santiago Castro,ARG,Bologna,19,2004,0.7,0,0,0,3,1,0,0,0,0,0,0,0,2,2,3,40.0,FW
Gaetano Castrovilli,ITA,Fiorentina,27,1997,0.9,0,0,0,2,0,1,3,1,0,0,0,0,5,3,1,75.0,MF
Danilo Cataldi,ITA,Lazio,29,1994,14.7,7,0,0,17,8,0,31,17,12,0,0,0,104,6,4,60.0,MF
Emil Ceide,NOR,Sassuolo,22,2001,2.0,0,0,0,2,1,0,5,0,2,0,0,0,7,0,3,0.0,FW
Zeki Çelik,TUR,Roma,27,1997,5.5,1,0,0,11,3,0,15,6,14,0,0,0,25,3,6,33.3,DF
Fabien Centonze,FRA,Hellas Verona,28,1996,5.5,2,0,0,11,5,1,22,10,4,0,0,0,18,8,3,72.7,DF
Michele Cerofolini,ITA,Frosinone,25,1999,3.5,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,,GK
Alberto Cerri,ITA,Empoli,28,1996,5.7,2,0,0,15,9,6,1,3,3,0,0,0,17,39,29,57.4,FW
Leonardo Cerri,ITA,Juventus,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DF
Charlys,BRA,Hellas Verona,20,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MF
Walid Cheddira,MAR,Frosinone,26,1998,19.9,0,0,0,22,35,16,3,4,6,2,0,0,36,32,58,35.6,FW
Federico Chiesa,ITA,Juventus,26,1997,21.1,1,0,0,12,36,6,108,6,7,1,0,0,58,0,8,0.0,FW
Oliver Christensen,DEN,Fiorentina,25,1999,3.0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,,GK
Samuel Chukwueze,NGA,Milan,24,1999,9.9,1,0,0,7,10,6,14,6,7,0,0,0,54,9,16,36.0,FW
Giorgio Cittadini,ITA,Monza,22,2002,0.2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,,DF
Giorgio Cittadini,ITA,Genoa,22,2002,0.1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,100.0,DF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Patrick Ciurria,ITA,Monza,29,1995,17.8,2,0,0,29,14,4,53,9,18,0,1,0,56,7,9,43.8,DF
Lorenzo Colombo,ITA,Monza,22,2002,15.1,3,0,0,25,24,6,2,0,12,0,0,0,35,19,64,22.9,FW
Andrea Colpani,ITA,Monza,24,1999,26.1,1,0,0,22,33,2,100,14,14,0,0,0,76,8,22,26.7,MF
Pietro Comuzzo,ITA,Fiorentina,19,2005,0.5,1,0,0,1,0,0,0,1,1,0,0,0,5,8,3,72.7,DF
Andrea Consigli,ITA,Sassuolo,37,1987,32.0,1,0,0,0,2,0,0,1,0,0,0,0,29,6,0,100.0,GK
Nikita Contini Baranovsky,ITA,Napoli,27,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,GK
Diego Coppola,ITA,Hellas Verona,20,2003,14.2,8,0,0,25,3,0,0,20,20,0,0,0,54,58,37,61.1,DF
Tommaso Corazza,ITA,Bologna,19,2004,2.1,1,0,0,1,3,0,8,5,4,0,0,0,8,0,1,0.0,DF
Jeppe Corfitzen,DEN,Lecce,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,FW
Giacomo Corona,ITA,Empoli,20,2004,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,FW
João Costa,BRA,Roma,19,2005,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,MF
Benoît Costil,FRA,Salernitana,36,1987,13.0,0,0,0,0,1,0,1,0,1,0,0,0,14,0,0,,GK
Lassana Coulibaly,MLI,Salernitana,28,1996,19.6,5,0,0,31,29,1,5,14,28,0,0,0,105,25,28,47.2,MF
Mamadou Coulibaly,SEN,Salernitana,25,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DF
Alessio Cragno,ITA,Sassuolo,29,1994,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GK
Bryan Cristante,ITA,Roma,29,1995,32.6,8,0,0,70,14,3,24,22,36,0,1,0,183,74,54,57.8,MF
Juan Cruz,ARG,Hellas Verona,24,1999,1.2,0,0,0,1,0,0,1,1,2,0,0,0,2,1,3,25.0,FW
Juan Cuadrado,COL,Inter,35,1988,1.7,1,0,0,2,6,1,11,0,3,0,0,0,9,0,0,,DF
Marvin Cuni,ALB,Frosinone,22,2001,5.6,0,0,0,10,12,3,4,1,3,2,0,0,17,15,32,31.9,FW
Danilo D'Ambrosio,ITA,Monza,35,1988,15.4,5,1,1,15,13,1,6,12,31,0,1,0,70,24,18,57.1,DF
Flavius Daniliuc,AUT,Salernitana,23,2001,8.3,2,0,0,14,4,0,1,8,11,0,0,0,52,20,15,57.1,DF
Danilo,BRA,Juventus,32,1991,24.2,6,0,0,23,9,1,18,32,32,0,0,0,125,34,27,55.7,DF
Matteo Darmian,ITA,Inter,34,1989,25.5,2,0,0,26,11,1,19,12,21,1,2,0,74,20,15,57.1,DF
Juan David Cabal,COL,Hellas Verona,23,2001,14.3,5,0,0,24,12,1,31,19,21,0,0,0,60,54,20,73.0,DF
Keinan Davis,ENG,Udinese,26,1998,0.5,1,0,0,3,0,1,0,0,0,0,0,0,1,4,1,80.0,FW
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Paweł Dawidowicz,POL,Hellas Verona,28,1995,21.7,5,0,0,30,7,0,2,20,28,0,0,1,130,56,24,70.0,DF
Charles De Ketelaere,BEL,Atalanta,23,2001,19.3,1,0,0,17,41,5,38,6,18,0,0,1,80,37,31,54.4,FW
Mattia De Sciglio,ITA,Juventus,31,1992,0.5,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,DF
Lorenzo De Silvestri,ITA,Bologna,35,1988,6.5,0,0,0,3,5,0,5,6,5,0,0,0,17,8,4,66.7,DF
Koni De Winter,BEL,Genoa,21,2002,22.4,8,1,1,32,9,0,4,20,24,0,0,0,101,47,34,58.0,DF
Grégoire Defrel,MTQ,Sassuolo,32,1991,7.9,0,0,0,7,8,1,1,3,5,0,0,0,28,6,19,24.0,FW
Alessandro Deiola,ITA,Cagliari,28,1995,13.4,5,0,0,18,10,0,10,7,16,0,0,1,64,28,24,53.8,MF
Diego Demme,GER,Napoli,32,1991,0.8,1,0,0,1,2,0,3,0,1,0,0,0,8,1,0,100.0,MF
Leander Dendoncker,BEL,Napoli,29,1995,0.3,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,MF
Mattia Destro,ITA,Empoli,33,1991,3.3,1,0,0,5,4,3,0,2,0,0,0,0,7,12,16,42.9,FW
Federico Di Francesco,ITA,Lecce,29,1994,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,FW
Michele Di Gregorio,ITA,Monza,26,1997,29.9,0,0,0,0,2,0,0,1,0,0,0,0,28,6,0,100.0,GK
Giovanni Di Lorenzo,ITA,Napoli,30,1993,33.0,6,0,0,25,30,4,116,21,31,0,0,0,132,26,36,41.9,DF
Alessandro Di Pardo,ITA,Cagliari,24,1999,3.5,0,0,0,2,1,0,15,5,1,0,1,0,24,3,2,60.0,DF
Boulaye Dia,SEN,Salernitana,27,1996,12.7,1,0,0,11,24,3,1,3,2,0,0,0,41,6,27,18.2,FW
Federico Dimarco,ITA,Inter,26,1997,20.8,0,0,0,10,18,5,187,8,23,0,0,0,90,5,9,35.7,DF
Koffi Djidji,CIV,Torino,31,1992,8.4,2,0,0,11,1,0,2,10,9,0,0,0,37,8,6,57.1,DF
Berat Djimsiti,ALB,Atalanta,31,1993,29.2,5,0,0,17,10,0,6,49,21,0,1,0,161,81,50,61.8,DF
Dodô,BRA,Fiorentina,25,1998,3.8,0,0,0,2,5,0,9,4,3,0,0,0,18,3,1,75.0,DF
Josh Doig,SCO,Hellas Verona,21,2002,9.2,2,0,0,7,4,1,30,4,9,0,1,0,36,5,7,41.7,DF
Josh Doig,SCO,Sassuolo,21,2002,11.1,4,0,0,10,9,0,33,11,14,0,1,0,33,14,9,60.9,DF
Nicolás Domínguez,ARG,Bologna,25,1998,1.1,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,100.0,MF
Giulio Donati,ITA,Monza,34,1990,0.2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0.0,DF
Patrick Dorgu,DEN,Lecce,19,2004,14.4,5,0,0,20,39,0,39,9,19,0,0,0,71,22,17,56.4,DF
Alberto Dossena,ITA,Cagliari,25,1998,30.2,4,0,0,37,40,0,1,40,34,0,0,2,176,101,63,61.6,DF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Radu Drăgușin,ROU,Genoa,22,2002,19.0,1,0,0,14,14,0,1,21,11,0,0,0,62,58,25,69.9,DF
Ondrej Duda,SVK,Hellas Verona,29,1994,24.3,13,2,2,48,46,0,73,20,34,0,0,0,177,4,16,20.0,MF
Denzel Dumfries,NED,Inter,28,1996,16.6,2,1,0,23,17,4,44,11,12,0,0,0,51,31,17,64.6,DF
Alfred Duncan,GHA,Fiorentina,31,1993,19.3,2,0,0,26,14,3,63,10,20,0,0,0,110,26,27,49.1,MF
Paulo Dybala,ARG,Roma,30,1993,20.0,3,0,0,11,47,5,78,3,13,0,0,0,76,6,19,24.0,FW
Festy Ebosele,IRL,Udinese,21,2002,18.1,6,1,1,28,43,1,43,7,20,1,3,0,69,14,15,48.3,DF
Enzo Ebosse,CMR,Udinese,25,1999,0.1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,,DF
Tyronne Ebuehi,NGA,Empoli,28,1995,12.2,0,0,0,7,9,3,23,6,9,0,0,0,70,8,18,30.8,DF
Éderson,BRA,Atalanta,24,1999,28.9,8,0,0,42,30,0,16,38,45,0,0,0,169,32,22,59.3,MF
Kingsley Ehizibue,NED,Udinese,28,1995,7.8,4,0,0,10,14,4,10,6,11,0,0,0,31,9,11,45.0,DF
Emmanuel Ekong,SWE,Empoli,21,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,FW
Caleb Ekuban,GHA,Genoa,30,1994,10.2,0,0,0,13,22,2,3,1,4,1,0,0,33,28,29,49.1,FW
Elif Elmas,MKD,Napoli,24,1999,3.8,2,0,0,7,6,1,6,2,3,0,0,0,19,1,6,14.3,FW
Martin Erlic,CRO,Sassuolo,26,1998,25.9,5,0,0,28,23,0,3,24,19,0,2,0,103,52,46,53.1,DF
Giovanni Fabbian,ITA,Bologna,21,2003,10.0,3,0,0,13,17,2,4,7,7,0,0,0,28,13,20,39.4,MF
Nicolò Fagioli,ITA,Juventus,23,2001,3.8,0,0,0,1,5,1,18,3,2,0,0,0,15,1,0,100.0,MF
Wladimiro Falcone,ITA,Lecce,29,1995,34.0,0,0,0,0,4,0,0,1,0,1,0,0,29,4,0,100.0,GK
Davide Faraoni,ITA,Hellas Verona,32,1991,6.7,5,0,0,11,9,0,19,6,10,0,0,0,38,9,7,56.3,DF
Davide Faraoni,ITA,Fiorentina,32,1991,3.3,0,0,0,2,5,0,13,5,4,0,1,0,8,3,7,30.0,DF
Federico Fazio,ARG,Salernitana,37,1987,12.3,3,1,0,7,6,0,0,11,9,0,1,0,46,40,15,72.7,DF
Jacopo Fazzini,ITA,Empoli,21,2003,12.0,5,0,0,18,22,0,51,10,24,1,0,0,69,14,28,33.3,MF
Lewis Ferguson,SCO,Bologna,24,1999,30.1,8,0,0,52,72,4,11,17,21,1,1,0,142,34,40,45.9,MF
João Ferreira,POR,Udinese,23,2001,18.8,9,0,0,35,10,2,20,29,38,1,1,0,100,18,13,58.1,DF
Seydou Fini,ITA,Genoa,17,2006,0.4,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,33.3,DF
Alessandro Florenzi,ITA,Milan,33,1991,16.3,5,0,0,11,9,2,88,17,20,0,0,0,79,7,17,29.2,DF
Player,,Squad,Ag,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Po
Michael Folorunsho,ITA,Hellas Verona,26,1998,29.1,4,0,0,46,66,9,61,17,28,1,0,0,142,67,67,50.0,MF
