"","id","event_type","team_id","player_id","player_name","x","y","min","min_added","is_blocked","is_on_target","blocked_x","blocked_y","goal_crossed_y","goal_crossed_z","expected_goals","expected_goals_on_target","shot_type","situation","period","is_own_goal","on_goal_shot.x","on_goal_shot.y","on_goal_shot.zoomRatio","first_name","last_name","team_color"
"1",2445606047,"Miss",6504, 413160,"Andrea Petagna", 81.24612,25.01344, 2,NA,FALSE,FALSE,NA,NA,39.62905,6.27048277,0.01883739,NA,"LeftFoot","SetPiece","FirstHalf",FALSE,0.39203006,0.67724868,0.40826203,"Andrea","Petagna","#333333"
"2",2445606729,"AttemptSaved",9804, 719360,"Nemanja Radonjic", 90.10000,39.88119, 2,NA,TRUE,TRUE, 92.10000,39.12476,34.91500,1.21999999,0.04775196,NA,"LeftFoot","RegularPlay","FirstHalf",FALSE,0.75793651,0.32275132,1.00000000,"Nemanja","Radonjic","#59181C"
"3",2445607839,"AttemptSaved",9804, 474448,"Antonio Sanabria", 96.12280,42.98656, 3,NA,FALSE,TRUE, 99.50000,40.30143,33.16125,0.16052632,0.05774802,0.3930,"LeftFoot","RegularPlay","FirstHalf",FALSE,1.22189153,0.04246728,1.00000000,"Antonio","Sanabria","#59181C"
"4",2445619217,"AttemptSaved",6504, 416541,"Andrea Barberis", 74.15097,33.31375,17,NA,TRUE,TRUE, 87.21176,33.84750,34.68625,1.21999999,0.03949752,NA,"LeftFoot","RegularPlay","FirstHalf",FALSE,0.81845238,0.32275132,1.00000000,"Andrea","Barberis","#333333"
"5",2445621841,"AttemptSaved",6504, 940440,"Filippo Ranocchia", 75.61505,30.05190,20,NA,FALSE,TRUE,102.62931,34.15250,34.38125,1.18147368,0.01516542,0.0231,"RightFoot","RegularPlay","FirstHalf",FALSE,0.89914021,0.31255917,1.00000000,"Filippo","Ranocchia","#333333"
"6",2445623235,"AttemptSaved",9804, 361403,"Karol Linetty", 87.10441,39.12476,21,NA,TRUE,TRUE, 88.17794,38.78857,34.45750,1.21999999,0.04568028,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,0.87896825,0.32275132,1.00000000,"Karol","Linetty","#59181C"
"7",2445628539,"AttemptSaved",9804, 719360,"Nemanja Radonjic", 91.80000,42.87094,27,NA,FALSE,TRUE,102.81897,34.68625,32.01750,0.77052631,0.08959824,0.1228,"LeftFoot","RegularPlay","FirstHalf",FALSE,1.52447090,0.20384294,1.00000000,"Nemanja","Radonjic","#59181C"
"8",2445629227,"AttemptSaved",9804,1027472,"Wilfried Singo", 96.41228,20.91643,27,NA,TRUE,TRUE, 97.47368,22.31771,31.78875,1.21999999,0.02716750,NA,"RightFoot","FromCorner","FirstHalf",FALSE,1.58498677,0.32275132,1.00000000,"Wilfried","Singo","#59181C"
"9",2445632457,"Miss",6504, 252650,"Gianluca Caprari", 68.74515,43.37019,31,NA,FALSE,FALSE,NA,NA,31.86500,4.46303449,0.04994965,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,1.32397821,0.67724868,0.57360077,"Gianluca","Caprari","#333333"
"10",2445636805,"Miss",6504, 940440,"Filippo Ranocchia", 81.69661,36.89750,35,NA,FALSE,FALSE,NA,NA,28.79119,0.53294737,0.04819980,NA,"LeftFoot","RegularPlay","FirstHalf",FALSE,2.00000000,0.10231654,0.72569365,"Filippo","Ranocchia","#333333"
"11",2445638459,"AttemptSaved",6504, 940440,"Filippo Ranocchia", 74.93932,46.45299,37,NA,FALSE,TRUE,102.34483,34.53375,34.83875,1.38052631,0.04199913,0.0477,"RightFoot","FreeKick","FirstHalf",FALSE,0.77810847,0.36521860,1.00000000,"Filippo","Ranocchia","#333333"
"12",2445643115,"Goal",9804, 442581,"Aleksey Miranchuk", 96.21930,30.28000,43,NA,FALSE,TRUE,NA,NA,36.28750,0.03852632,0.38765806,0.8777,"LeftFoot","RegularPlay","FirstHalf",FALSE,0.39484127,0.01019215,1.00000000,"Aleksey","Miranchuk","#59181C"
"13",2445644659,"Miss",6504, 252650,"Gianluca Caprari", 90.70000,41.71469,45, 0,FALSE,FALSE,NA,NA,28.70714,2.76855172,0.09898728,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,2.00000000,0.52307320,0.71417004,"Gianluca","Caprari","#333333"
"14",2445666333,"Miss",6504, 940440,"Filippo Ranocchia", 78.99369,21.47694,53,NA,FALSE,FALSE,NA,NA,35.98250,5.79255173,0.01612958,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,0.76821174,0.67724868,0.44194685,"Filippo","Ranocchia","#333333"
"15",2445673823,"AttemptSaved",9804, 719360,"Nemanja Radonjic", 90.20000,50.44662,62,NA,TRUE,TRUE, 91.80000,48.55490,32.55125,1.21999999,0.03347275,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,1.38326720,0.32275132,1.00000000,"Nemanja","Radonjic","#59181C"
"16",2445677559,"Miss",9804, 941656,"Samuele Ricci", 96.12280,45.19185,66,NA,FALSE,FALSE,102.81897,36.74500,20.70624,0.17978947,0.13833022,NA,"LeftFoot","RegularPlay","SecondHalf",FALSE,2.00000000,0.01352435,0.28434398,"Samuele","Ricci","#59181C"
"17",2445677625,"Goal",9804, 474448,"Antonio Sanabria",103.19827,30.72125,66,NA,FALSE,TRUE,NA,NA,31.86500,0.97600000,0.73061484,0.9703,"RightFoot","RegularPlay","SecondHalf",FALSE,1.56481481,0.25820106,1.00000000,"Antonio","Sanabria","#59181C"
"18",2445681151,"Miss",6504, 416541,"Andrea Barberis", 88.90000,34.15250,69,NA,FALSE,FALSE,NA,NA,33.31375,6.51379312,0.05549261,NA,"RightFoot","SetPiece","SecondHalf",FALSE,1.07135042,0.67724868,0.39301217,"Andrea","Barberis","#333333"
"19",2445684525,"Miss",9804, 719360,"Nemanja Radonjic", 93.00000,42.87094,73,NA,FALSE,FALSE,NA,NA,25.24469,0.17978947,0.11088330,NA,"RightFoot","FastBreak","SecondHalf",FALSE,2.00000000,0.02053490,0.43173787,"Nemanja","Radonjic","#59181C"
"20",2445687503,"AttemptSaved",6504, 799497,"Samuele Birindelli", 86.46029,31.56000,76,NA,FALSE,TRUE,102.81897,34.00000,35.29625,1.90705262,0.07592508,0.1973,"RightFoot","FastBreak","SecondHalf",FALSE,0.65707672,0.50451128,1.00000000,"Samuele","Birindelli","#333333"
"21",2445693185,"AttemptSaved",6504, 182836,"Marco D'Alessandro", 95.92982,32.17000,82,NA,TRUE,TRUE,100.73276,31.78875,31.48375,1.21999999,0.13390371,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,1.66567460,0.32275132,1.00000000,"Marco","D'Alessandro","#333333"
"22",2445695083,"Miss",6504, 799497,"Samuele Birindelli", 97.37719,23.71898,84,NA,FALSE,FALSE,NA,NA,28.11881,2.40789473,0.04890516,NA,"Header","RegularPlay","SecondHalf",FALSE,2.00000000,0.40942301,0.64272702,"Samuele","Birindelli","#333333"
"23",2445697325,"AttemptSaved",6504, 799497,"Samuele Birindelli", 86.03088,17.97376,87,NA,TRUE,TRUE, 88.17794,19.65529,34.61000,1.21999999,0.02525911,NA,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.83862434,0.32275132,1.00000000,"Samuele","Birindelli","#333333"
"24",2445697385,"AttemptSaved",6504, 299981,"Pablo Mari", 73.70048,38.20024,87,NA,TRUE,TRUE, 84.62476,36.89750,35.83000,1.21999999,0.01772642,NA,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.51587302,0.32275132,1.00000000,"Pablo","Mari","#333333"
"25",2445698101,"Miss",9804, 719360,"Nemanja Radonjic", 91.30000,42.52406,87,NA,FALSE,FALSE,NA,NA,31.25500,5.18427587,0.07511607,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,1.35859350,0.67724868,0.49380088,"Nemanja","Radonjic","#59181C"
"26",2445700341,"AttemptSaved",9804, 719360,"Nemanja Radonjic", 96.31579,43.23006,90, 0,FALSE,TRUE, 98.92105,40.97381,31.71250,0.20547368,0.20138031,0.8487,"RightFoot","RegularPlay","SecondHalf",FALSE,1.60515873,0.05435812,1.00000000,"Nemanja","Radonjic","#59181C"
"27",2445702581,"AttemptSaved",9804, 474448,"Antonio Sanabria",101.01724,38.53643,90, 3,FALSE,TRUE,102.34483,37.05000,35.90625,0.03852632,0.21245697,0.7621,"RightFoot","RegularPlay","SecondHalf",FALSE,0.49570106,0.01019215,1.00000000,"Antonio","Sanabria","#59181C"
"28",2445704153,"Goal",6504, 737339,"Dany Mota", 99.87931,31.86500,90, 4,FALSE,TRUE,NA,NA,33.69500,1.18147368,0.67963934,0.6842,"LeftFoot","RegularPlay","SecondHalf",FALSE,1.08068783,0.31255917,1.00000000,"Dany","Mota","#333333"
