"","id","event_type","team_id","player_id","player_name","x","y","min","min_added","is_blocked","is_on_target","blocked_x","blocked_y","goal_crossed_y","goal_crossed_z","expected_goals","expected_goals_on_target","shot_type","situation","period","is_own_goal","on_goal_shot.x","on_goal_shot.y","on_goal_shot.zoomRatio","first_name","last_name","team_color"
"1",2445491797,"Goal",8600, 844504,"Rodrigo Becao",102.34482,39.54500, 2,NA,FALSE,TRUE,NA,NA,34.22875,0.2054737,0.086003393,0.0499,"Header","FromCorner","FirstHalf",FALSE,0.93948413,0.05435812,1.00000000,"Rodrigo","Becao","#907850"
"2",2445495387,"AttemptSaved",8564, 750027,"Brahim Diaz", 95.35088,19.30497, 7,NA,FALSE,TRUE,103.00862,31.02625,34.30500,0.4045263,0.054140031,0.0254,"RightFoot","RegularPlay","FirstHalf",FALSE,0.91931217,0.10701754,1.00000000,"Brahim","Diaz","#302028"
"3",2445498401,"Goal",8564, 724371,"Theo Hernandez", 94.00000,34.00000,11,NA,FALSE,TRUE,NA,NA,36.44000,1.1365263,0.788400000,0.9863,"LeftFoot","Penalty","FirstHalf",FALSE,0.35449735,0.30066834,1.00000000,"Theo","Hernandez","#302028"
"4",2445501225,"Goal",8564, 265725,"Ante Rebic", 94.00000,32.01750,15,NA,FALSE,TRUE,NA,NA,34.30500,0.3274737,0.075055242,0.0336,"RightFoot","RegularPlay","FirstHalf",FALSE,0.91931217,0.08663325,1.00000000,"Ante","Rebic","#302028"
"5",2445503567,"Miss",8564, 848844,"Rafael Leao", 78.76844,43.30013,18,NA,FALSE,FALSE,NA,NA,36.97375,7.2350345,0.033549428,NA,"LeftFoot","RegularPlay","FirstHalf",FALSE,0.72163668,0.67724868,0.35383383,"Rafael","Leao","#302028"
"6",2445504983,"Miss",8600, 534484,"Isaac Success", 98.53508,21.61707,20,NA,FALSE,FALSE,101.96552,30.72125,45.19185,0.2696842,0.030646503,NA,"RightFoot","ThrowInSetPiece","FirstHalf",FALSE,0.00000000,0.02409649,0.33774586,"Isaac","Success","#907850"
"7",2445509429,"AttemptSaved",8600, 251925,"Gerard Deulofeu", 91.80000,22.87822,28,NA,TRUE,TRUE, 94.48246,23.08841,30.87375,1.2200000,0.140805602,NA,"RightFoot","FastBreak","FirstHalf",FALSE,1.82705026,0.32275132,1.00000000,"Gerard","Deulofeu","#907850"
"8",2445510557,"Miss",8564, 609624,"Ismael Bennacer", 81.69661,17.20306,30,NA,FALSE,FALSE,NA,NA,26.22750,0.8026316,0.032694995,NA,"LeftFoot","FreeKick","FirstHalf",FALSE,2.00000000,0.10326556,0.48633001,"Ismael","Bennacer","#302028"
"9",2445528633,"Goal",8600, 500502,"Adam Masina", 94.09649,37.78000,45, 4,FALSE,TRUE,NA,NA,36.89750,0.2054737,0.034981906,0.2814,"Header","RegularPlay","FirstHalf",FALSE,0.23346561,0.05435812,1.00000000,"Adam","Masina","#907850"
"10",2445545899,"Goal",8564, 750027,"Brahim Diaz",103.86207,32.24625,46,NA,FALSE,TRUE,NA,NA,31.56000,1.0980000,0.764903545,0.9925,"LeftFoot","RegularPlay","SecondHalf",FALSE,1.64550265,0.29047619,1.00000000,"Brahim","Diaz","#302028"
"11",2445552025,"Miss",8600, 534484,"Isaac Success", 78.76844,51.21732,52,NA,FALSE,FALSE,NA,NA,39.46095,4.4630345,0.032063067,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,0.17132104,0.67724868,0.57360077,"Isaac","Success","#907850"
"12",2445555853,"Miss",8564, 265725,"Ante Rebic", 92.30000,50.09630,57,NA,FALSE,FALSE,NA,NA,35.22000,5.9142069,0.047674000,NA,"LeftFoot","FromCorner","SecondHalf",FALSE,0.86029515,0.67724868,0.43285601,"Ante","Rebic","#302028"
"13",2445559335,"Miss",8564, 724371,"Theo Hernandez", 76.96650,35.06750,63,NA,FALSE,FALSE,NA,NA,37.68400,4.0980690,0.049782336,NA,"LeftFoot","FreeKick","SecondHalf",FALSE,0.39118054,0.67724868,0.62468446,"Theo","Hernandez","#302028"
"14",2445561619,"Goal",8564, 265725,"Ante Rebic", 97.47368,33.31375,68,NA,FALSE,TRUE,NA,NA,36.97375,1.9070526,0.258682519,0.9731,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.21329365,0.50451128,1.00000000,"Ante","Rebic","#302028"
"15",2445568319,"Miss",8564, 848844,"Rafael Leao", 90.90000,25.99625,75,NA,FALSE,FALSE,NA,NA,35.75375,3.7417931,0.034824401,NA,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.68257869,0.67724868,0.68416396,"Rafael","Leao","#302028"
"16",2445571435,"AttemptSaved",8564, 921341,"Alexis Saelemaekers", 85.17206,23.43873,78,NA,TRUE,TRUE, 87.21176,26.28531,33.00875,1.2200000,0.026029885,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,1.26223545,0.32275132,1.00000000,"Alexis","Saelemaekers","#302028"
"17",2445572231,"Miss",8564, 921341,"Alexis Saelemaekers", 82.25971,26.63219,79,NA,FALSE,FALSE,NA,NA,35.44875,6.0271724,0.006477147,NA,"LeftFoot","FromCorner","SecondHalf",FALSE,0.83720990,0.67724868,0.42474312,"Alexis","Saelemaekers","#302028"
"18",2445574013,"AttemptSaved",8564,  46469,"Olivier Giroud", 90.50000,30.41625,81,NA,TRUE,TRUE, 92.60000,33.69500,33.92375,1.2200000,0.085336417,NA,"LeftFoot","FastBreak","SecondHalf",FALSE,1.02017196,0.32275132,1.00000000,"Olivier","Giroud","#302028"
"19",2445579465,"Miss",8564, 921341,"Alexis Saelemaekers", 96.60526,21.75720,86,NA,FALSE,FALSE,NA,NA,29.37952,3.9764138,0.068314701,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,1.78694310,0.67724868,0.64379618,"Alexis","Saelemaekers","#302028"
"20",2445581501,"AttemptSaved",8600,1050178,"Lazar Samardzic", 82.03446,35.67750,88,NA,FALSE,TRUE,102.72414,33.39000,34.53375,0.9760000,0.036083072,0.0233,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.85879630,0.25820106,1.00000000,"Lazar","Samardzic","#907850"
"21",2445581921,"Miss",8600,1178363,"Brandon Soppy", 86.35294,61.17839,89,NA,FALSE,FALSE,NA,NA,31.63625,7.4783448,0.023448408,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,1.21406429,0.67724868,0.34232174,"Brandon","Soppy","#907850"
"22",2445585945,"Miss",8600, 557346,"Sandi Lovric", 81.58398,35.52500,90, 3,FALSE,FALSE,NA,NA,27.27833,0.4430526,0.052203089,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,2.00000000,0.06591410,0.56236053,"Sandi","Lovric","#907850"
"23",2445587885,"AttemptSaved",8600,1178363,"Brandon Soppy",100.44827,39.62905,90, 6,FALSE,TRUE,103.29310,36.74500,34.38125,0.2054737,0.051219761,0.0359,"Header","RegularPlay","SecondHalf",FALSE,0.89914021,0.05435812,1.00000000,"Brandon","Soppy","#907850"
