"","id","event_type","team_id","player_id","player_name","x","y","min","min_added","is_blocked","is_on_target","blocked_x","blocked_y","goal_crossed_y","goal_crossed_z","expected_goals","expected_goals_on_target","shot_type","situation","period","is_own_goal","on_goal_shot.x","on_goal_shot.y","on_goal_shot.zoomRatio","first_name","last_name","team_color"
"1",2446268041,"Miss",8543,651435,"Toma Basic",80.683011,29.88381, 1,NA,FALSE,FALSE,103.86207,29.46357,29.379524,0.08989474,0.05488399,NA,"LeftFoot","RegularPlay","FirstHalf",FALSE,2.00000000,0.01945573,0.81809750,"Toma","Basic","#80b6df"
"2",2446274111,"Miss",9857,395914,"Charalambos Lykogiannis",87.748533,19.02471, 9,NA,FALSE,FALSE,NA,NA,36.745000,5.18427587,0.05305722,NA,"LeftFoot","FreeKick","FirstHalf",FALSE,0.64140650,0.67724868,0.49380088,"Charalambos","Lykogiannis","#102880"
"3",2446275065,"AttemptSaved",8543,478447,"Adam Marusic",83.385926,49.88612,10,NA,FALSE,TRUE,102.62931,36.89750,37.050000,1.90705262,0.02710339,0.3547,"RightFoot","RegularPlay","FirstHalf",FALSE,0.19312169,0.50451128,1.00000000,"Adam","Marusic","#80b6df"
"4",2446278091,"AttemptSaved",8543,161660,"Ciro Immobile",93.500000,47.50395,13,NA,FALSE,TRUE, 99.97414,41.48344,30.645000,0.12200000,0.01555136,0.6658,"LeftFoot","RegularPlay","FirstHalf",FALSE,1.88756614,0.03227513,1.00000000,"Ciro","Immobile","#80b6df"
"5",2446278749,"AttemptSaved",8543,362195,"Alessio Romagnoli",91.699997,38.70453,14,NA,FALSE,TRUE,102.43966,35.06750,34.533750,0.61000000,0.04604074,0.0211,"Header","FromCorner","FirstHalf",FALSE,0.85879630,0.16137566,1.00000000,"Alessio","Romagnoli","#80b6df"
"6",2446283305,"AttemptSaved",9857, 25587,"Lorenzo De Silvestri",97.473683,26.69000,20,NA,FALSE,TRUE,100.16379,29.46357,32.551250,0.20547368,0.23233318,0.3735,"RightFoot","RegularPlay","FirstHalf",FALSE,1.38326720,0.05435812,1.00000000,"Lorenzo","De Silvestri","#102880"
"7",2446284601,"Miss",9857,357881,"Adama Soumaoro",98.342105,31.86500,23,NA,FALSE,FALSE,101.58621,28.45500, 7.149573,0.53294737,0.14931053,NA,"RightFoot","FromCorner","FirstHalf",FALSE,2.00000000,0.01984875,0.14077989,"Adama","Soumaoro","#102880"
"8",2446291549,"Miss",9857,195199,"Nicola Sansone",77.754858,49.60586,34,NA,FALSE,FALSE,NA,NA,22.457834,3.74179311,0.02451015,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,2.00000000,0.32418467,0.32749487,"Nicola","Sansone","#102880"
"9",2446294177,"Goal",9857,110148,"Marko Arnautovic",94.000000,34.00000,38,NA,FALSE,TRUE,NA,NA,32.322500,0.97600000,0.78840000,0.9637,"RightFoot","Penalty","FirstHalf",FALSE,1.44378307,0.25820106,1.00000000,"Marko","Arnautovic","#102880"
"10",2446299705,"Miss",9857,195199,"Nicola Sansone",98.052629,24.34955,44,NA,FALSE,FALSE,NA,NA,48.554904,0.44305263,0.10931149,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,0.00000000,0.03044009,0.25970627,"Nicola","Sansone","#102880"
"11",2446325553,"Miss",8543,463301,"Sergej Milinkovic-Savic",81.358738,30.95000,59,NA,FALSE,FALSE,NA,NA,28.791190,7.00041381,0.04126254,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,1.50392155,0.67724868,0.36569267,"Sergej","Milinkovic-Savic","#80b6df"
"12",2446326437,"AttemptSaved",8543,541555,"Mattia Zaccagni",84.399511,45.68230,62,NA,TRUE,TRUE, 86.35294,44.77146,35.448750,1.21999999,0.04650068,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,0.61673280,0.32275132,1.00000000,"Mattia","Zaccagni","#80b6df"
"13",2446328489,"Goal",9857, 25587,"Lorenzo De Silvestri", 4.362069,33.00875,68,NA,FALSE,TRUE,NA,NA,36.516250,0.28252631,NA,NA,"RightFoot","RegularPlay","SecondHalf",TRUE,0.33432540,0.07474241,1.00000000,"Lorenzo","De Silvestri","#102880"
"14",2446329651,"AttemptSaved",9857, 25587,"Lorenzo De Silvestri",84.399511,21.40688,72,NA,TRUE,TRUE, 90.50000,25.18688,35.143750,1.21999999,0.02942789,NA,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.69742063,0.32275132,1.00000000,"Lorenzo","De Silvestri","#102880"
"15",2446331597,"AttemptSaved",8543,478447,"Adam Marusic",84.957350,50.58675,76,NA,FALSE,TRUE,102.62931,36.51625,35.982500,0.48800000,0.03300068,0.0766,"RightFoot","RegularPlay","SecondHalf",FALSE,0.47552910,0.12910053,1.00000000,"Adam","Marusic","#80b6df"
"16",2446332841,"Goal",8543,161660,"Ciro Immobile",98.631582,39.54500,79,NA,FALSE,TRUE,NA,NA,34.915000,0.81547368,0.30982381,0.3967,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.75793651,0.21573378,1.00000000,"Ciro","Immobile","#80b6df"
"17",2446334367,"AttemptSaved",9857,110148,"Marko Arnautovic",79.894657,44.00077,82,NA,FALSE,TRUE,102.91379,35.22000,32.703750,0.69347368,0.01470894,0.0484,"RightFoot","FromCorner","SecondHalf",FALSE,1.34292328,0.18345865,1.00000000,"Marko","Arnautovic","#102880"
"18",2446334387,"AttemptSaved",9857,910699,"Musa Barrow",93.599998,17.34318,82,NA,TRUE,TRUE, 96.50877,21.68713,34.533750,1.21999999,0.02979615,NA,"RightFoot","FromCorner","SecondHalf",FALSE,0.85879630,0.32275132,1.00000000,"Musa","Barrow","#102880"
"19",2446335423,"Miss",9857,910699,"Musa Barrow",86.245590,48.13452,84,NA,FALSE,FALSE,NA,NA,43.160000,5.30593104,0.04529637,NA,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.00000000,0.57925011,0.41266376,"Musa","Barrow","#102880"
"20",2446339391,"Miss",9857,910699,"Musa Barrow",84.399511,39.88119,90, 3,FALSE,FALSE,NA,NA,27.362381,6.87875863,0.05876163,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,1.65350726,0.67724868,0.37216017,"Musa","Barrow","#102880"
"21",2446340303,"AttemptSaved",8543,161660,"Ciro Immobile",99.689657,18.88459,90, 5,FALSE,TRUE,103.86207,30.26800,31.712500,1.34199999,0.04344156,0.1064,"RightFoot","RegularPlay","SecondHalf",FALSE,1.60515873,0.35502645,1.00000000,"Ciro","Immobile","#80b6df"
