"","id","event_type","team_id","player_id","player_name","x","y","min","min_added","is_blocked","is_on_target","blocked_x","blocked_y","goal_crossed_y","goal_crossed_z","expected_goals","expected_goals_on_target","shot_type","situation","period","is_own_goal","on_goal_shot.x","on_goal_shot.y","on_goal_shot.zoomRatio","first_name","last_name","team_color"
"1",2446269825,"AttemptSaved",8535, 933817,"Riccardo Sottil", 91.70000,49.88612, 2,NA,TRUE,TRUE,101.39655,40.04929,35.60125,1.21999999,0.04068881,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,0.576388889,0.322751321,1.000000000,"Riccardo","Sottil","#782078"
"2",2446271299,"Miss",8535, 463291,"Luka Jovic", 96.02631,30.34000, 3,NA,FALSE,FALSE, 99.01754,41.88813,57.63640,0.08989474,0.09004095,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,0.000000000,0.003803233,0.159922844,"Luka","Jovic","#782078"
"3",2446277069,"AttemptSaved",8535, 127460,"Giacomo Bonaventura", 79.78204,36.36375,10,NA,TRUE,TRUE, 90.60000,35.52500,34.22875,1.21999999,0.06266403,NA,"RightFoot","FreeKick","FirstHalf",FALSE,0.939484127,0.322751321,1.000000000,"Giacomo","Bonaventura","#782078"
"4",2446277165,"AttemptSaved",8535, 239350,"Cristiano Biraghi", 72.23641,43.44025,10,NA,TRUE,TRUE, 87.31912,38.03214,31.02625,1.21999999,0.01421773,NA,"LeftFoot","SetPiece","FirstHalf",FALSE,1.786706349,0.322751321,1.000000000,"Cristiano","Biraghi","#782078"
"5",2446278323,"Miss",8535, 933817,"Riccardo Sottil", 91.60000,52.40841,11,NA,FALSE,FALSE,NA,NA,27.36238,1.07231578,0.02756980,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,2.000000000,0.161551270,0.569481311,"Riccardo","Sottil","#782078"
"6",2446279491,"AttemptSaved",8535, 463291,"Luka Jovic", 96.02631,29.21143,13,NA,FALSE,TRUE,104.14655,31.56000,30.79750,0.93747368,0.04324099,0.2379,"Header","FromCorner","FirstHalf",FALSE,1.847222222,0.248008910,1.000000000,"Luka","Jovic","#782078"
"7",2446280247,"AttemptSaved",7801, 526230,"Cyriel Dessers", 90.90000,24.84000,14,NA,TRUE,TRUE, 93.10000,25.70719,31.40750,1.21999999,0.06290624,NA,"LeftFoot","FastBreak","FirstHalf",FALSE,1.685846561,0.322751321,1.000000000,"Cyriel","Dessers","#C8091D"
"8",2446282219,"Goal",8535, 127460,"Giacomo Bonaventura", 92.60000,31.40750,16,NA,FALSE,TRUE,NA,NA,36.66875,1.42547368,0.20462421,0.3891,"LeftFoot","RegularPlay","FirstHalf",FALSE,0.293981481,0.377109438,1.000000000,"Giacomo","Bonaventura","#782078"
"9",2446283615,"Goal",7801, 740161,"David Okereke", 92.60000,29.04333,19,NA,FALSE,TRUE,NA,NA,31.10250,1.38052631,0.01642951,0.2757,"Header","RegularPlay","FirstHalf",FALSE,1.766534392,0.365218600,1.000000000,"David","Okereke","#C8091D"
"10",2446286981,"AttemptSaved",7801, 782695,"Luca Zanimacchia", 74.82670,38.95667,26,NA,TRUE,TRUE, 87.74853,37.27875,33.92375,1.21999999,0.02729651,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,1.020171958,0.322751321,1.000000000,"Luca","Zanimacchia","#C8091D"
"11",2446288295,"AttemptSaved",7801, 526230,"Cyriel Dessers", 96.12280,38.03214,28,NA,TRUE,TRUE, 97.76316,37.75600,36.51625,1.21999999,0.08281896,NA,"LeftFoot","RegularPlay","FirstHalf",FALSE,0.334325397,0.322751321,1.000000000,"Cyriel","Dessers","#C8091D"
"12",2446291121,"AttemptSaved",8535, 933817,"Riccardo Sottil", 94.38597,45.54216,31,NA,FALSE,TRUE,103.67241,35.52500,33.08500,1.01452631,0.04939637,0.0533,"RightFoot","RegularPlay","FirstHalf",FALSE,1.242063492,0.268393204,1.000000000,"Riccardo","Sottil","#782078"
"13",2446292887,"Goal",8535, 463291,"Luka Jovic", 93.00000,28.28691,34,NA,FALSE,TRUE,NA,NA,35.83000,0.16052632,0.09723496,0.2067,"RightFoot","RegularPlay","FirstHalf",FALSE,0.515873016,0.042467279,1.000000000,"Luka","Jovic","#782078"
"14",2446294297,"AttemptSaved",8535, 933817,"Riccardo Sottil", 90.90000,41.42563,36,NA,TRUE,TRUE, 94.09649,39.54500,34.00000,1.21999999,0.04532254,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,1.000000000,0.322751321,1.000000000,"Riccardo","Sottil","#782078"
"15",2446295335,"AttemptSaved",8535, 933817,"Riccardo Sottil", 88.80000,51.21732,37,NA,TRUE,TRUE, 92.20000,47.92433,35.29625,1.21999999,0.02615568,NA,"RightFoot","RegularPlay","FirstHalf",FALSE,0.657076720,0.322751321,1.000000000,"Riccardo","Sottil","#782078"
"16",2446296189,"Miss",8535, 789243,"Youssef Maleh", 97.37719,38.20024,38,NA,FALSE,FALSE,NA,NA,27.36238,0.89252631,0.33227074,NA,"Header","RegularPlay","FirstHalf",FALSE,2.000000000,0.134464829,0.569481311,"Youssef","Maleh","#782078"
"17",2446299113,"AttemptSaved",8535, 463291,"Luka Jovic", 93.60000,37.27875,41,NA,TRUE,TRUE, 96.99123,36.36375,34.07625,1.21999999,0.14060861,NA,"LeftFoot","RegularPlay","FirstHalf",FALSE,0.979828042,0.322751321,1.000000000,"Luka","Jovic","#782078"
"18",2446303615,"AttemptSaved",8535, 933817,"Riccardo Sottil", 77.86748,42.46625,45, 1,FALSE,TRUE,102.62931,34.15250,37.05000,0.28252631,0.02807778,0.2666,"RightFoot","RegularPlay","FirstHalf",FALSE,0.193121693,0.074742411,1.000000000,"Riccardo","Sottil","#782078"
"19",2446320703,"Miss",7801, 782695,"Luca Zanimacchia", 83.83640,47.15363,48,NA,FALSE,FALSE,NA,NA,37.78000,4.46303449,0.05538118,NA,"RightFoot","FreeKick","SecondHalf",FALSE,0.426399234,0.677248677,0.573600766,"Luca","Zanimacchia","#C8091D"
"20",2446322385,"Miss",8535, 463291,"Luka Jovic", 85.81618,32.09375,50,NA,FALSE,FALSE,NA,NA,39.62905,3.13351724,0.06190705,NA,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.000000000,0.556669166,0.671516792,"Luka","Jovic","#782078"
"21",2446323959,"Miss",7801, 743720,"Charles Pickel",100.35345,25.53375,53,NA,FALSE,FALSE,102.62931,26.94214,27.11024,0.71273684,0.05659562,NA,"RightFoot","SetPiece","SecondHalf",FALSE,2.000000000,0.103448689,0.548640149,"Charles","Pickel","#C8091D"
"22",2446325717,"AttemptSaved",7801,1077977,"Giacomo Quagliata", 95.92982,42.35062,56,NA,TRUE,TRUE, 97.28070,41.59906,35.98250,1.21999999,0.08526915,NA,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.475529101,0.322751321,1.000000000,"Giacomo","Quagliata","#C8091D"
"23",2446325731,"AttemptSaved",7801, 782695,"Luca Zanimacchia", 94.00000,37.74400,56,NA,FALSE,TRUE,103.57759,34.30500,33.69500,0.77052631,0.11125076,0.0213,"LeftFoot","RegularPlay","SecondHalf",FALSE,1.080687831,0.203842940,1.000000000,"Luca","Zanimacchia","#C8091D"
"24",2446325749,"AttemptSaved",7801, 782695,"Luca Zanimacchia", 92.10000,35.14375,56,NA,FALSE,TRUE,104.14655,33.69500,34.76250,0.20547368,0.07897443,0.0534,"LeftFoot","RegularPlay","SecondHalf",FALSE,0.798280423,0.054358117,1.000000000,"Luca","Zanimacchia","#C8091D"
"25",2446326645,"AttemptSaved",8535, 127460,"Giacomo Bonaventura", 89.20000,27.27833,59,NA,TRUE,TRUE, 94.96491,29.63167,32.85625,1.21999999,0.06648782,NA,"RightFoot","SetPiece","SecondHalf",FALSE,1.302579365,0.322751321,1.000000000,"Giacomo","Bonaventura","#782078"
"26",2446327309,"AttemptSaved",8535, 463291,"Luka Jovic", 92.60000,35.83000,60,NA,TRUE,TRUE,101.68103,34.83875,34.45750,1.21999999,0.21858171,NA,"RightFoot","RegularPlay","SecondHalf",FALSE,0.878968254,0.322751321,1.000000000,"Luka","Jovic","#782078"
