week,date,home,xG_home,xG_away,away,home_goals,away_goals,xPts_home,xPts_away,points_home,points_away
3.0,2024-09-01,Juventus,0.5,0.3,Roma,0,0,1.46,1.03,1.0,1.0
4.0,2024-09-14,Como,1.2,1.2,Bologna,2,2,1.36,1.36,1.0,1.0
4.0,2024-09-14,Empoli,0.5,0.9,Juventus,0,0,0.96,1.67,1.0,1.0
4.0,2024-09-14,Milan,2.2,0.3,Venezia,4,0,2.59,0.26,3.0,0.0
4.0,2024-09-15,Genoa,1.2,2.2,Roma,1,1,0.8,2.0,1.0,1.0
4.0,2024-09-15,Atalanta,1.7,1.7,Fiorentina,3,2,1.39,1.39,3.0,0.0
4.0,2024-09-15,Torino,0.4,1.6,Lecce,0,0,0.5,2.26,1.0,1.0
4.0,2024-09-15,Cagliari,1.0,1.9,Napoli,0,4,0.81,1.97,0.0,3.0
4.0,2024-09-15,Monza,0.2,1.7,Inter,1,1,0.32,2.47,1.0,1.0
4.0,2024-09-16,Parma,0.8,2.5,Udinese,2,3,0.45,2.39,0.0,3.0
4.0,2024-09-16,Lazio,1.2,0.8,Hellas Verona,2,1,1.66,1.04,3.0,0.0
5.0,2024-09-20,Cagliari,2.2,0.8,Empoli,0,2,2.26,0.55,0.0,3.0
5.0,2024-09-20,Hellas Verona,0.5,2.2,Torino,2,3,0.37,2.46,0.0,3.0
5.0,2024-09-21,Venezia,1.7,0.5,Genoa,2,0,2.23,0.54,3.0,0.0
5.0,2024-09-21,Juventus,0.3,0.3,Napoli,0,0,1.2,1.2,1.0,1.0
5.0,2024-09-21,Lecce,1.5,2.0,Parma,2,2,1.09,1.7,1.0,1.0
5.0,2024-09-22,Fiorentina,2.7,1.0,Lazio,2,1,2.35,0.5,3.0,0.0
5.0,2024-09-22,Monza,0.6,0.8,Bologna,1,2,1.13,1.49,0.0,3.0
5.0,2024-09-22,Roma,1.9,0.7,Udinese,3,0,2.19,0.6,3.0,0.0
5.0,2024-09-22,Inter,0.7,1.7,Milan,1,2,0.69,2.08,0.0,3.0
5.0,2024-09-24,Atalanta,1.6,1.1,Como,2,3,1.72,1.03,0.0,3.0
6.0,2024-09-27,Milan,1.6,0.5,Lecce,3,0,2.18,0.58,3.0,0.0
6.0,2024-09-28,Udinese,0.8,2.2,Inter,2,3,0.55,2.26,0.0,3.0
6.0,2024-09-28,Genoa,0.4,2.6,Juventus,0,3,0.23,2.65,0.0,3.0
6.0,2024-09-28,Bologna,0.1,2.0,Atalanta,1,1,0.19,2.66,1.0,1.0
6.0,2024-09-29,Torino,0.7,2.0,Lazio,2,3,0.56,2.24,0.0,3.0
6.0,2024-09-29,Como,2.2,1.1,Hellas Verona,3,2,2.07,0.74,3.0,0.0
6.0,2024-09-29,Roma,1.7,1.7,Venezia,2,1,1.39,1.39,3.0,0.0
6.0,2024-09-29,Empoli,0.4,0.7,Fiorentina,0,0,0.99,1.58,1.0,1.0
6.0,2024-09-29,Napoli,1.1,0.3,Monza,2,0,2.03,0.64,3.0,0.0
6.0,2024-09-30,Parma,2.4,2.4,Cagliari,2,3,1.41,1.41,0.0,3.0
1.0,2024-08-16,Brescia,1.4,0.5,Palermo,1,0,2.06,0.67,3.0,0.0
1.0,2024-08-17,Südtirol,0.8,0.3,Modena,2,1,1.77,0.81,3.0,0.0
1.0,2024-08-17,Pisa,2.2,1.0,Spezia,2,2,2.13,0.67,1.0,1.0
1.0,2024-08-17,Salernitana,1.3,0.5,Cittadella,2,1,1.99,0.72,3.0,0.0
1.0,2024-08-17,Bari,1.2,1.4,Juve Stabia,1,3,1.23,1.51,0.0,3.0
1.0,2024-08-18,Catanzaro,0.5,1.2,Sassuolo,1,1,0.77,1.92,1.0,1.0
1.0,2024-08-18,Reggiana,0.6,1.1,Mantova,2,2,0.92,1.75,1.0,1.0
1.0,2024-08-18,Cosenza,2.4,0.4,Cremonese,1,0,2.59,0.27,3.0,0.0
1.0,2024-08-18,Frosinone,2.1,1.9,Sampdoria,2,2,1.51,1.28,1.0,1.0
1.0,2024-08-18,Cesena,1.8,1.5,Carrarese,2,1,1.58,1.2,3.0,0.0
2.0,2024-08-23,Modena,2.6,1.3,Bari,2,1,2.13,0.69,3.0,0.0
2.0,2024-08-24,Südtirol,3.0,0.3,Salernitana,3,2,2.78,0.14,3.0,0.0
2.0,2024-08-24,Sampdoria,0.4,1.4,Reggiana,0,1,0.59,2.14,0.0,3.0
2.0,2024-08-24,Brescia,1.3,0.6,Cittadella,0,1,1.9,0.81,0.0,3.0
2.0,2024-08-24,Cremonese,1.5,1.0,Carrarese,1,0,1.72,1.02,3.0,0.0
2.0,2024-08-24,Spezia,2.2,0.3,Frosinone,2,1,2.59,0.26,3.0,0.0
2.0,2024-08-24,Pisa,1.0,1.5,Palermo,2,0,1.02,1.72,3.0,0.0
2.0,2024-08-24,Sassuolo,1.9,1.6,Cesena,2,1,1.57,1.21,3.0,0.0
2.0,2024-08-25,Catanzaro,0.6,0.8,Juve Stabia,0,0,1.13,1.49,1.0,1.0
2.0,2024-08-25,Mantova,1.1,2.2,Cosenza,3,2,0.74,2.07,3.0,0.0
3.0,2024-08-27,Frosinone,1.2,1.5,Modena,1,1,1.17,1.58,1.0,1.0
3.0,2024-08-27,Cremonese,1.2,0.7,Palermo,0,1,1.74,0.95,0.0,3.0
3.0,2024-08-27,Reggiana,1.2,0.7,Brescia,2,0,1.74,0.95,3.0,0.0
3.0,2024-08-27,Cittadella,0.7,1.3,Pisa,1,1,0.89,1.82,1.0,1.0
3.0,2024-08-27,Carrarese,1.4,0.8,Südtirol,2,0,1.81,0.92,3.0,0.0
3.0,2024-08-27,Bari,1.8,0.5,Sassuolo,1,1,2.29,0.5,1.0,1.0
3.0,2024-08-27,Salernitana,1.3,2.3,Sampdoria,3,2,0.82,1.99,3.0,0.0
3.0,2024-08-28,Cosenza,1.0,0.5,Spezia,0,0,1.76,0.89,1.0,1.0
3.0,2024-08-28,Juve Stabia,1.1,0.6,Mantova,1,0,1.75,0.92,3.0,0.0
3.0,2024-08-28,Cesena,1.7,0.9,Catanzaro,2,0,1.93,0.83,3.0,0.0
4.0,2024-08-31,Sampdoria,0.6,1.9,Bari,0,0,0.53,2.26,1.0,1.0
4.0,2024-08-31,Modena,1.1,0.7,Cittadella,0,1,1.67,1.02,0.0,3.0
4.0,2024-08-31,Sassuolo,1.8,2.3,Cremonese,1,4,1.12,1.68,0.0,3.0
4.0,2024-08-31,Südtirol,1.5,0.5,Brescia,1,2,2.12,0.62,0.0,3.0
4.0,2024-08-31,Pisa,1.3,0.5,Reggiana,2,1,1.99,0.72,3.0,0.0
4.0,2024-09-01,Frosinone,0.4,0.5,Juve Stabia,0,0,1.15,1.36,1.0,1.0
4.0,2024-09-01,Catanzaro,1.9,0.4,Carrarese,3,1,2.41,0.4,3.0,0.0
4.0,2024-09-01,Spezia,1.4,1.2,Cesena,2,1,1.51,1.23,3.0,0.0
4.0,2024-09-01,Mantova,0.4,0.2,Salernitana,1,0,1.43,0.97,3.0,0.0
4.0,2024-09-01,Palermo,2.3,1.0,Cosenza,1,1,2.18,0.63,1.0,1.0
5.0,2024-09-13,Cesena,1.5,2.2,Modena,2,2,0.98,1.81,1.0,1.0
5.0,2024-09-14,Cittadella,1.0,0.5,Catanzaro,0,0,1.76,0.89,1.0,1.0
5.0,2024-09-14,Juve Stabia,1.5,1.6,Palermo,1,3,1.32,1.45,0.0,3.0
5.0,2024-09-14,Bari,1.5,0.5,Mantova,2,0,2.12,0.62,3.0,0.0
5.0,2024-09-14,Brescia,2.3,0.4,Frosinone,4,0,2.56,0.29,3.0,0.0
5.0,2024-09-14,Cremonese,0.6,1.3,Spezia,1,1,0.81,1.9,1.0,1.0
5.0,2024-09-15,Carrarese,0.6,1.3,Sassuolo,0,2,0.81,1.9,0.0,3.0
5.0,2024-09-15,Cosenza,0.4,0.7,Sampdoria,2,1,0.99,1.58,3.0,0.0
5.0,2024-09-15,Reggiana,1.5,1.3,Südtirol,1,3,1.51,1.24,0.0,3.0
5.0,2024-09-15,Salernitana,1.4,1.8,Pisa,2,3,1.13,1.64,0.0,3.0
6.0,2024-09-20,Catanzaro,0.3,1.9,Cremonese,1,2,0.33,2.48,0.0,3.0
6.0,2024-09-21,Cosenza,0.7,1.2,Sassuolo,0,1,0.95,1.74,0.0,3.0
6.0,2024-09-21,Pisa,2.0,1.1,Brescia,2,1,1.96,0.83,3.0,0.0
6.0,2024-09-21,Sampdoria,0.5,0.7,Südtirol,1,0,1.1,1.48,3.0,0.0
6.0,2024-09-21,Palermo,0.9,0.5,Cesena,0,0,1.67,0.96,1.0,1.0
6.0,2024-09-21,Reggiana,0.5,1.6,Salernitana,0,0,0.58,2.18,1.0,1.0
6.0,2024-09-21,Modena,1.5,0.4,Juve Stabia,3,0,2.2,0.54,3.0,0.0
6.0,2024-09-22,Frosinone,1.7,1.2,Bari,0,3,1.71,1.05,0.0,3.0
6.0,2024-09-22,Spezia,3.4,0.8,Carrarese,4,2,2.65,0.25,3.0,0.0
6.0,2024-09-22,Mantova,2.3,0.6,Cittadella,1,0,2.44,0.4,3.0,0.0
7.0,2024-09-27,Cittadella,1.0,1.9,Frosinone,1,2,0.81,1.97,0.0,3.0
7.0,2024-09-28,Carrarese,1.3,0.3,Reggiana,0,0,2.17,0.54,1.0,1.0
7.0,2024-09-28,Sassuolo,0.4,0.6,Spezia,0,0,1.07,1.47,1.0,1.0
7.0,2024-09-28,Bari,0.7,1.5,Cosenza,1,1,0.78,1.96,1.0,1.0
7.0,2024-09-29,Juve Stabia,1.6,1.1,Pisa,2,0,1.72,1.03,3.0,0.0
7.0,2024-09-29,Salernitana,0.6,0.1,Catanzaro,0,0,1.78,0.69,1.0,1.0
7.0,2024-09-29,Cesena,2.3,1.9,Mantova,4,2,1.63,1.18,3.0,0.0
7.0,2024-09-29,Modena,0.7,2.0,Sampdoria,1,3,0.56,2.24,0.0,3.0
7.0,2024-09-30,Südtirol,0.6,0.8,Palermo,1,3,1.13,1.49,0.0,3.0
7.0,2024-09-30,Brescia,1.3,1.4,Cremonese,3,2,1.3,1.44,3.0,0.0
