week,date,home,xG_home,xG_away,away,home_goals,away_goals,xPts_home,xPts_away,points_home,points_away
1.0,2024-08-17,Genoa,2.1,1.9,Inter,2,2,1.51,1.28,1.0,1.0
1.0,2024-08-17,Parma,1.7,0.7,Fiorentina,1,1,2.08,0.69,1.0,1.0
1.0,2024-08-17,Milan,2.1,1.0,Torino,2,2,2.08,0.72,1.0,1.0
1.0,2024-08-17,Empoli,0.5,0.3,Monza,0,0,1.46,1.03,1.0,1.0
1.0,2024-08-18,Hellas Verona,1.7,1.0,Napoli,3,0,1.85,0.91,3.0,0.0
1.0,2024-08-18,Bologna,3.2,0.9,Udinese,1,1,2.56,0.32,1.0,1.0
1.0,2024-08-18,Cagliari,1.0,0.9,Roma,0,0,1.42,1.26,1.0,1.0
1.0,2024-08-18,Lazio,2.4,0.6,Venezia,3,1,2.47,0.37,3.0,0.0
1.0,2024-08-19,Lecce,1.5,1.7,Atalanta,0,4,1.26,1.51,0.0,3.0
1.0,2024-08-19,Juventus,1.2,0.2,Como,3,0,2.2,0.49,3.0,0.0
2.0,2024-08-24,Udinese,0.8,1.3,Lazio,2,1,0.98,1.74,3.0,0.0
2.0,2024-08-24,Parma,1.7,1.9,Milan,2,1,1.27,1.51,3.0,0.0
2.0,2024-08-24,Inter,2.4,0.3,Lecce,2,0,2.65,0.22,3.0,0.0
2.0,2024-08-24,Monza,0.4,0.7,Genoa,0,1,0.99,1.58,0.0,3.0
2.0,2024-08-25,Torino,2.4,3.0,Atalanta,2,1,1.12,1.71,3.0,0.0
2.0,2024-08-25,Fiorentina,0.9,0.6,Venezia,0,0,1.58,1.06,1.0,1.0
2.0,2024-08-25,Roma,2.1,2.7,Empoli,1,2,1.09,1.72,0.0,3.0
2.0,2024-08-25,Napoli,2.5,0.6,Bologna,3,0,2.51,0.35,3.0,0.0
2.0,2024-08-26,Cagliari,0.8,1.5,Como,1,1,0.86,1.88,1.0,1.0
2.0,2024-08-26,Hellas Verona,0.5,1.2,Juventus,0,3,0.77,1.92,0.0,3.0
3.0,2024-08-30,Venezia,0.8,1.0,Torino,0,1,1.17,1.5,0.0,3.0
3.0,2024-08-30,Inter,1.3,1.4,Atalanta,4,0,1.3,1.44,3.0,0.0
3.0,2024-08-31,Lecce,1.7,1.8,Cagliari,1,0,1.33,1.45,3.0,0.0
3.0,2024-08-31,Bologna,1.3,1.0,Empoli,1,1,1.58,1.14,1.0,1.0
3.0,2024-08-31,Lazio,2.1,1.3,Milan,2,2,1.88,0.91,1.0,1.0
3.0,2024-08-31,Napoli,2.2,1.7,Parma,2,1,1.69,1.11,3.0,0.0
3.0,2024-09-01,Fiorentina,2.0,0.3,Monza,2,2,2.52,0.31,1.0,1.0
3.0,2024-09-01,Genoa,1.5,1.5,Hellas Verona,0,2,1.38,1.38,0.0,3.0
3.0,2024-09-01,Udinese,1.0,1.6,Como,1,0,0.96,1.79,3.0,0.0
