,team_id,player_id,player_name,min,expected_goals,event_type,team_color,match_id,team_name,venue
0,8600,844504,Rodrigo Becao,2,0.086003393,Goal,#907850,3919071,Udinese,A
1,8564,750027,Brahim Diaz,7,0.054140031,AttemptSaved,#302028,3919071,AC Milan,H
2,8564,724371,Theo Hernandez,11,0.7884,Goal,#302028,3919071,AC Milan,H
3,8564,265725,Ante Rebic,15,0.075055242,Goal,#302028,3919071,AC Milan,H
4,8564,848844,Rafael Leao,18,0.033549428,Miss,#302028,3919071,AC Milan,H
5,8600,534484,Isaac Success,20,0.030646503,Miss,#907850,3919071,Udinese,A
6,8600,251925,Gerard Deulofeu,28,0.140805602,AttemptSaved,#907850,3919071,Udinese,A
7,8564,609624,Ismael Bennacer,30,0.032694995,Miss,#302028,3919071,AC Milan,H
8,8600,500502,Adam Masina,45,0.034981906,Goal,#907850,3919071,Udinese,A
9,8564,750027,Brahim Diaz,46,0.764903545,Goal,#302028,3919071,AC Milan,H
10,8600,534484,Isaac Success,52,0.032063067,Miss,#907850,3919071,Udinese,A
11,8564,265725,Ante Rebic,57,0.047674,Miss,#302028,3919071,AC Milan,H
12,8564,724371,Theo Hernandez,63,0.049782336,Miss,#302028,3919071,AC Milan,H
13,8564,265725,Ante Rebic,68,0.258682519,Goal,#302028,3919071,AC Milan,H
14,8564,848844,Rafael Leao,75,0.034824401,Miss,#302028,3919071,AC Milan,H
15,8564,921341,Alexis Saelemaekers,78,0.026029885,AttemptSaved,#302028,3919071,AC Milan,H
16,8564,921341,Alexis Saelemaekers,79,0.006477147,Miss,#302028,3919071,AC Milan,H
17,8564,46469,Olivier Giroud,81,0.085336417,AttemptSaved,#302028,3919071,AC Milan,H
18,8564,921341,Alexis Saelemaekers,86,0.068314701,Miss,#302028,3919071,AC Milan,H
19,8600,1050178,Lazar Samardzic,88,0.036083072,AttemptSaved,#907850,3919071,Udinese,A
20,8600,1178363,Brandon Soppy,89,0.023448408,Miss,#907850,3919071,Udinese,A
21,8600,557346,Sandi Lovric,90,0.052203089,Miss,#907850,3919071,Udinese,A
22,8600,1178363,Brandon Soppy,90,0.051219761,AttemptSaved,#907850,3919071,Udinese,A
0,9882,847357,Mehdi Leris,1,0.22007841,AttemptSaved,#0888D0,3919073,Sampdoria,H
1,8524,116555,Duvan Zapata,5,0.01966631,Miss,#1878B8,3919073,Atalanta,A
2,8524,759097,Joakim Maehle,22,0.83441663,Post,#1878B8,3919073,Atalanta,A
3,8524,127374,Rafael Toloi,26,0.79133439,Goal,#1878B8,3919073,Atalanta,A
4,8524,116555,Duvan Zapata,31,0.03622389,AttemptSaved,#1878B8,3919073,Atalanta,A
5,9882,769644,Abdelhamid Sabiri,33,0.03820485,AttemptSaved,#0888D0,3919073,Sampdoria,H
6,8524,446266,Mario Pasalic,37,0.01667342,AttemptSaved,#1878B8,3919073,Atalanta,A
7,9882,769644,Abdelhamid Sabiri,41,0.01358905,AttemptSaved,#0888D0,3919073,Sampdoria,H
8,9882,769644,Abdelhamid Sabiri,45,0.01985121,AttemptSaved,#0888D0,3919073,Sampdoria,H
9,9882,769644,Abdelhamid Sabiri,45,0.03788069,Miss,#0888D0,3919073,Sampdoria,H
10,8524,446266,Mario Pasalic,56,0.08412132,AttemptSaved,#1878B8,3919073,Atalanta,A
11,9882,722983,Fabio Depaoli,64,0.11150679,AttemptSaved,#0888D0,3919073,Sampdoria,H
12,9882,769644,Abdelhamid Sabiri,64,0.09001926,Miss,#0888D0,3919073,Sampdoria,H
13,8524,866516,Teun Koopmeiners,67,0.02792081,AttemptSaved,#1878B8,3919073,Atalanta,A
14,8524,759097,Joakim Maehle,67,0.03132647,Miss,#1878B8,3919073,Atalanta,A
15,9882,769644,Abdelhamid Sabiri,70,0.13177988,Post,#0888D0,3919073,Sampdoria,H
16,9882,769644,Abdelhamid Sabiri,78,0.02172959,AttemptSaved,#0888D0,3919073,Sampdoria,H
17,9882,39540,Fabio Quagliarella,78,0.09937346,Miss,#0888D0,3919073,Sampdoria,H
18,9882,39540,Fabio Quagliarella,83,0.1863288,Post,#0888D0,3919073,Sampdoria,H
19,8524,690516,Ademola Lookman,90,0.32916629,Goal,#1878B8,3919073,Atalanta,A
0,8636,181276,Romelu Lukaku,2,0.59281212,Goal,#1c1b1b,3919077,Inter,A
1,8636,690230,Lautaro Martinez,7,0.02337074,Miss,#1c1b1b,3919077,Inter,A
2,8636,304733,Hakan Calhanoglu,10,0.01973855,AttemptSaved,#1c1b1b,3919077,Inter,A
3,9888,507007,Assan Ceesay,16,0.03939682,AttemptSaved,#ED1921,3919077,Lecce,H
4,8636,541820,Nicolo Barella,20,0.03871423,AttemptSaved,#1c1b1b,3919077,Inter,A
5,8636,206508,Marcelo Brozovic,23,0.05448544,AttemptSaved,#1c1b1b,3919077,Inter,A
6,9888,836436,Gabriel Strefezza,39,0.06522131,AttemptSaved,#ED1921,3919077,Lecce,H
7,9888,438507,Federico Di Francesco,43,0.10823157,Miss,#ED1921,3919077,Lecce,H
8,9888,645576,Kristijan Bistrovic,45,0.03214183,AttemptSaved,#ED1921,3919077,Lecce,H
9,9888,645576,Kristijan Bistrovic,45,0.01586968,Miss,#ED1921,3919077,Lecce,H
10,9888,507007,Assan Ceesay,48,0.0728299,Goal,#ED1921,3919077,Lecce,H
11,9888,836436,Gabriel Strefezza,53,0.0302299,Miss,#ED1921,3919077,Lecce,H
12,8636,541820,Nicolo Barella,54,0.02303004,AttemptSaved,#1c1b1b,3919077,Inter,A
13,9888,645576,Kristijan Bistrovic,61,0.13119566,AttemptSaved,#ED1921,3919077,Lecce,H
14,8636,605224,Federico Dimarco,62,0.02548274,AttemptSaved,#1c1b1b,3919077,Inter,A
15,8636,181276,Romelu Lukaku,66,0.0233472,AttemptSaved,#1c1b1b,3919077,Inter,A
16,8636,541820,Nicolo Barella,68,0.03330043,Miss,#1c1b1b,3919077,Inter,A
17,8636,593118,Denzel Dumfries,69,0.01327077,AttemptSaved,#1c1b1b,3919077,Inter,A
18,8636,690230,Lautaro Martinez,71,0.20245582,Miss,#1c1b1b,3919077,Inter,A
19,8636,690230,Lautaro Martinez,72,0.04763073,AttemptSaved,#1c1b1b,3919077,Inter,A
20,8636,593118,Denzel Dumfries,73,0.04493359,AttemptSaved,#1c1b1b,3919077,Inter,A
21,8636,541820,Nicolo Barella,73,0.05022731,Miss,#1c1b1b,3919077,Inter,A
22,9888,896377,Lameck Banda,76,0.03610995,AttemptSaved,#ED1921,3919077,Lecce,H
23,9888,799230,Federico Baschirotto,77,0.15732908,Miss,#ED1921,3919077,Lecce,H
24,8636,188555,Stefan de Vrij,78,0.15574023,AttemptSaved,#1c1b1b,3919077,Inter,A
25,8636,690230,Lautaro Martinez,80,0.12787405,AttemptSaved,#1c1b1b,3919077,Inter,A
26,8636,181276,Romelu Lukaku,83,0.10207009,AttemptSaved,#1c1b1b,3919077,Inter,A
27,8636,690230,Lautaro Martinez,90,0.02768135,Miss,#1c1b1b,3919077,Inter,A
28,8636,593118,Denzel Dumfries,90,0.48505306,Goal,#1c1b1b,3919077,Inter,A
0,6504,413160,Andrea Petagna,2,0.01883739,Miss,#333333,3919072,Monza,H
1,9804,719360,Nemanja Radonjic,2,0.04775196,AttemptSaved,#59181C,3919072,Torino,A
2,9804,474448,Antonio Sanabria,3,0.05774802,AttemptSaved,#59181C,3919072,Torino,A
3,6504,416541,Andrea Barberis,17,0.03949752,AttemptSaved,#333333,3919072,Monza,H
4,6504,940440,Filippo Ranocchia,20,0.01516542,AttemptSaved,#333333,3919072,Monza,H
5,9804,361403,Karol Linetty,21,0.04568028,AttemptSaved,#59181C,3919072,Torino,A
6,9804,719360,Nemanja Radonjic,27,0.08959824,AttemptSaved,#59181C,3919072,Torino,A
7,9804,1027472,Wilfried Singo,27,0.0271675,AttemptSaved,#59181C,3919072,Torino,A
8,6504,252650,Gianluca Caprari,31,0.04994965,Miss,#333333,3919072,Monza,H
9,6504,940440,Filippo Ranocchia,35,0.0481998,Miss,#333333,3919072,Monza,H
10,6504,940440,Filippo Ranocchia,37,0.04199913,AttemptSaved,#333333,3919072,Monza,H
11,9804,442581,Aleksey Miranchuk,43,0.38765806,Goal,#59181C,3919072,Torino,A
12,6504,252650,Gianluca Caprari,45,0.09898728,Miss,#333333,3919072,Monza,H
13,6504,940440,Filippo Ranocchia,53,0.01612958,Miss,#333333,3919072,Monza,H
14,9804,719360,Nemanja Radonjic,62,0.03347275,AttemptSaved,#59181C,3919072,Torino,A
15,9804,941656,Samuele Ricci,66,0.13833022,Miss,#59181C,3919072,Torino,A
16,9804,474448,Antonio Sanabria,66,0.73061484,Goal,#59181C,3919072,Torino,A
17,6504,416541,Andrea Barberis,69,0.05549261,Miss,#333333,3919072,Monza,H
18,9804,719360,Nemanja Radonjic,73,0.1108833,Miss,#59181C,3919072,Torino,A
19,6504,799497,Samuele Birindelli,76,0.07592508,AttemptSaved,#333333,3919072,Monza,H
20,6504,182836,Marco D'Alessandro,82,0.13390371,AttemptSaved,#333333,3919072,Monza,H
21,6504,799497,Samuele Birindelli,84,0.04890516,Miss,#333333,3919072,Monza,H
22,6504,799497,Samuele Birindelli,87,0.02525911,AttemptSaved,#333333,3919072,Monza,H
23,6504,299981,Pablo Mari,87,0.01772642,AttemptSaved,#333333,3919072,Monza,H
24,9804,719360,Nemanja Radonjic,87,0.07511607,Miss,#59181C,3919072,Torino,A
25,9804,719360,Nemanja Radonjic,90,0.20138031,AttemptSaved,#59181C,3919072,Torino,A
26,9804,474448,Antonio Sanabria,90,0.21245697,AttemptSaved,#59181C,3919072,Torino,A
27,6504,737339,Dany Mota,90,0.67963934,Goal,#333333,3919072,Monza,H
