Player,Nation,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Position,League,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance GA,Performance SoTA,Performance Saves,Performance Save%,Performance CS,Performance CS%,Penalty Kicks PKsv,Penalty Kicks Save%
Brenden Aaronson,USA,Leeds United,21,2000,36,28,2372,26.4,0.03794266441821248,0.11382799325463742,0.15177065767284992,0.03794266441821248,0.0,0.0,0.07588532883642496,0.0,0.14797639123102865,0.14797639123102865,0.15935919055649242,0.3073355817875211,1.6315345699831367,3.2630691399662735,5.729342327150084,MF,Premier League,1.7074198988195617,0.6829679595278246,0.6070826306913997,0.8347386172006745,0.26559865092748736,0.5691399662731872,1.745362563237774,1.2369308600337268,1.1762225969645868,1.6315345699831367,0.11382799325463742,1.5177065767284992,0.1897133220910624,1.897133220910624,0.22765598650927485,0.03794266441821248,0.6070826306913997,2.0868465430016863,0.22765598650927485,2.7318718381112985,0.0,0.0,0.0,4.856661045531197,0.30354131534569984,1.4797639123102866,0.6450252951096122,22.46205733558179,30.240303541315345,2.8191399662731875,287.49156829679595,82.79089376053963,13.128161888701516,16.04974704890388,3.103709949409781,5.691399662731872,7.398819561551433,2.91779089376054,0.948566610455312,2.4662731871838113,1.4607925801011805,0.09865092748735245,-0.04553119730185497,1.745362563237774,1.7833052276559864,0.6070826306913997,0.15177065767284992,43.36846543001686,0.4553119730185497,4.401349072512648,18.781618887015178,21.020236087689714,2.7318718381112985,43.36846543001686,3.794266441821248,1.2900505902192243,1.2900505902192243,1.8212478920741988,1.8212478920741988,26.02866779089376,138.3389544688027,58.12816188870152,1.6315345699831367,1.2900505902192243,0.49325463743676223,2.693929173693086,3.111298482293423,29.10202360876897,5.729342327150084,,,,,,,,
Paxten Aaronson,USA,Eint Frankfurt,18,2003,7,0,173,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5202312138728323,0.0,0.10404624277456648,0.10404624277456648,0.0,0.10404624277456648,4.161849710982659,3.1213872832369938,7.803468208092485,MF,Bundesliga,3.1213872832369938,2.601156069364162,1.0404624277456647,1.0404624277456647,1.0404624277456647,1.0404624277456647,1.5606936416184969,34.69942196531792,0.5202312138728323,1.0404624277456647,0.5202312138728323,0.5202312138728323,0.0,3.1213872832369938,1.0404624277456647,0.0,2.601156069364162,1.5606936416184969,0.5202312138728323,3.6416184971098264,0.0,0.0,0.0,4.161849710982659,0.5202312138728323,0.5202312138728323,26.01156069364162,26.531791907514453,36.9364161849711,37.35260115606936,342.8323699421965,56.705202312138724,18.728323699421967,19.76878612716763,49.26589595375723,7.283236994219653,11.965317919075144,31.682080924855494,0.5202312138728323,3.1213872832369938,8.6878612716763,0.05202312138728324,0.0,0.5202312138728323,1.5606936416184969,0.0,0.0,51.50289017341041,1.0404624277456647,3.1213872832369938,21.329479768786126,27.572254335260116,8.84393063583815,51.50289017341041,3.1213872832369938,1.5606936416184969,26.01156069364162,1.5606936416184969,26.01156069364162,28.612716763005782,163.35260115606937,74.39306358381502,4.161849710982659,1.0404624277456647,1.0404624277456647,2.601156069364162,1.0404624277456647,33.8150289017341,7.803468208092485,,,,,,,,
James Abankwah,IRL,Udinese,18,2004,2,1,63,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,Serie A,1.4285714285714284,1.4285714285714284,0.0,1.4285714285714284,0.0,0.0,0.0,0.0,0.0,5.7142857142857135,2.8571428571428568,2.8571428571428568,0.0,1.4285714285714284,7.142857142857142,0.0,2.8571428571428568,1.4285714285714284,0.0,0.0,0.0,0.0,0.0,2.8571428571428568,2.8571428571428568,0.0,142.85714285714286,32.857142857142854,41.42857142857142,113.28571428571428,535.7142857142858,112.85714285714286,20.0,21.428571428571427,133.28571428571428,8.571428571428571,11.428571428571427,107.14285714285714,2.8571428571428568,7.142857142857142,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,55.714285714285715,11.428571428571427,37.14285714285714,18.57142857142857,0.0,0.0,55.714285714285715,1.4285714285714284,1.4285714285714284,142.85714285714286,0.0,0.0,25.71428571428571,68.57142857142857,27.142857142857142,0.0,0.0,0.0,1.4285714285714284,1.4285714285714284,30.0,0.0,,,,,,,,
George Abbott,ENG,Tottenham,16,2005,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Premier League,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,9000.0,720.0,0.0,90.0,90.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,90.0,90.0,90.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,,,,,,,,
Yunis Abdelhamid,MAR,Reims,34,1987,37,37,3330,37.0,0.027027027027027025,0.05405405405405405,0.08108108108108109,0.027027027027027025,0.0,0.0,0.16216216216216217,0.0,0.06486486486486487,0.06486486486486487,0.027027027027027025,0.0918918918918919,1.0810810810810811,5.810810810810811,0.2702702702702703,DF,Ligue 1,2.2162162162162162,1.3513513513513513,1.2702702702702704,0.8918918918918919,0.05405405405405405,1.0540540540540542,1.4054054054054053,2.0270270270270268,0.3513513513513513,1.7567567567567568,0.7297297297297298,1.027027027027027,1.7297297297297296,3.9459459459459456,3.135135135135135,0.027027027027027025,1.3243243243243243,0.7567567567567568,0.05405405405405405,0.13513513513513514,0.0,0.0,0.0,7.108108108108108,2.5135135135135136,1.3783783783783783,1.7459459459459457,45.37837837837838,54.89189189189189,2.235135135135135,891.0,362.35135135135135,13.243243243243242,15.432432432432432,2.3189189189189188,27.18918918918919,30.189189189189186,2.435135135135135,4.1891891891891895,7.540540540540541,1.5027027027027027,0.024324324324324326,0.027027027027027025,0.3513513513513513,4.1891891891891895,0.13513513513513514,0.0,66.45945945945947,6.513513513513514,29.405405405405403,34.45945945945946,3.324324324324324,1.0540540540540542,66.45945945945947,1.0,0.5675675675675675,1.5351351351351352,0.3783783783783784,1.0216216216216214,46.567567567567565,293.8108108108108,165.48648648648648,1.0810810810810811,0.5675675675675675,0.08108108108108109,0.7297297297297298,0.6216216216216216,40.513513513513516,0.2702702702702703,,,,,,,,
Himad Abdelli,ALG,Angers,22,1999,30,24,2137,23.7,0.08423022929340197,0.08423022929340197,0.16846045858680395,0.08423022929340197,0.0,0.0,0.12634534394010294,0.0,0.05896116050538137,0.05896116050538137,0.12213383247543284,0.1810949929808142,2.442676649508657,6.359382311651849,4.674777725783809,MF,Ligue 1,2.695367337388863,1.6003743565746373,0.9265325222274216,1.3476836686944316,0.42115114646700985,1.3055685540477304,2.821712681328966,1.9499298081422556,1.5161441272812355,1.2634534394010295,0.04211511464670099,1.2213383247543286,1.1792232101076274,3.8745905474964903,0.6317267197005147,0.0,1.8109499298081424,1.3055685540477304,0.04211511464670099,1.4740290126345343,0.0,0.0,0.0,7.580720636406176,0.7580720636406177,0.9686476368741226,1.8488535329901732,43.92606457650913,52.93869911090313,3.495554515676181,769.5694899391672,195.79316799251288,19.583528310715955,22.573701450631727,3.655591951333645,17.730463266261115,20.804866635470283,3.5882077678989237,5.13804398689752,7.117454375292466,3.040711277491811,0.10528778661675246,-0.037903603182030884,1.5161441272812355,5.222274216190922,1.0949929808142256,0.3369209171736079,63.84651380439869,1.0949929808142256,9.981282171268134,38.4932147870847,17.225081890500704,0.9686476368741226,63.84651380439869,3.2007487131492747,1.8109499298081424,2.3837154890032757,1.1792232101076274,1.5498362189985961,49.864295741693965,288.95180159101545,138.72718764623303,2.442676649508657,2.526906878802059,0.29480580252690686,1.5161441272812355,0.8423022929340197,44.89471221338325,4.674777725783809,,,,,,,,
Salis Abdul Samed,GHA,Lens,22,2000,33,33,2894,32.2,0.031098825155494125,0.031098825155494125,0.06219765031098825,0.031098825155494125,0.0,0.0,0.18659295093296477,0.031098825155494125,0.027988942639944715,0.027988942639944715,0.0497581202487906,0.07774706288873531,1.026261230131306,5.131306150656531,1.3683483068417415,MF,Ligue 1,1.43054595715273,0.8085694540428472,0.5597788527988943,0.715272978576365,0.15549412577747063,0.9018659295093296,1.6171389080856944,1.7353144436765722,0.715272978576365,1.1817553559087768,0.27988942639944714,0.9018659295093296,1.1195577055977886,2.5501036627505185,0.8085694540428472,0.0,2.208016586040083,1.1817553559087768,0.0,0.31098825155494125,0.0,0.0,0.031098825155494125,6.624049758120249,0.4353835521769178,0.5286800276434002,1.4056668970283346,56.568762957843816,61.606772633033856,2.8548721492743603,891.883206634416,218.31375259156877,27.89564616447823,29.979267449896334,2.8921907394609536,23.914996544574983,25.221147201105733,2.9481686247408434,2.86109191430546,3.638562543192813,2.444367657221838,0.0715272978576365,-0.018659295093296474,0.5286800276434002,5.659986178299931,0.5286800276434002,0.09329647546648238,69.16378714581894,2.052522460262612,12.563925362819626,46.71043538355217,10.573600552868003,0.497581202487906,69.16378714581894,1.5238424326192122,0.9018659295093296,1.8410504492052524,0.4042847270214236,0.8241188666205943,57.50172771250863,299.94816862474084,107.5086385625432,1.026261230131306,1.7415342087076713,0.09329647546648238,1.2128541810642708,0.995162404975812,53.023496890117485,1.3683483068417415,,,,,,,,
Laurent Abergel,FRA,Lorient,29,1993,29,28,2342,26.0,0.0,0.03842869342442357,0.03842869342442357,0.0,0.0,0.0,0.26900085397096496,0.03842869342442357,0.019214346712211786,0.019214346712211786,0.049957301451750646,0.06917164816396243,0.4995730145175064,5.49530315969257,0.5380017079419299,MF,Ligue 1,3.5354397950469685,1.9982920580700256,2.2672929120409906,1.1528608027327072,0.11528608027327071,1.4987190435525193,3.5354397950469685,1.6293766011955593,2.036720751494449,1.8061485909479078,0.3074295473953886,1.4987190435525193,1.3065755764304012,4.84201537147737,1.4987190435525193,0.0,1.0760034158838598,1.1144321093082836,0.0,0.23057216054654142,0.0,0.0,0.0,7.416737830913749,0.3074295473953886,0.5764304013663536,1.33731853116994,50.264730999146025,56.98975234842016,3.3894107600341594,856.460290350128,291.25106746370625,22.788215200683176,24.594363791631082,3.562339880444065,21.596925704526047,23.710503842869343,3.500853970964987,4.265584970111016,6.1485909479077705,2.666951323654996,0.04227156276686593,-0.011528608027327069,0.5380017079419299,5.533731853116994,0.4227156276686592,0.0,68.36464560204954,2.9205807002561914,22.327070879590092,41.080273270708794,5.8027327070879595,0.1537147736976943,68.36464560204954,1.5755764304013662,0.8838599487617421,2.1558497011101623,0.5380017079419299,1.3104184457728438,53.18531169940222,233.22374039282664,99.79931682322803,0.4995730145175064,1.1144321093082836,0.0,1.1144321093082836,0.7301451750640479,48.304867634500425,0.5380017079419299,,,,,,,,
Oliver Abildgaard,DEN,Hellas Verona,26,1996,13,6,592,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.30405405405405406,0.0,0.015202702702702704,0.015202702702702704,0.060810810810810814,0.09121621621621623,0.30405405405405406,2.2804054054054057,1.2162162162162162,MF,Serie A,1.5202702702702704,0.9121621621621622,0.9121621621621622,0.4560810810810811,0.15202702702702703,1.0641891891891893,2.4324324324324325,6.658783783783783,1.3682432432432434,1.0641891891891893,0.15202702702702703,0.9121621621621622,0.7601351351351352,2.2804054054054057,2.5844594594594597,0.0,1.9763513513513515,1.0641891891891893,0.0,0.7601351351351352,0.0,0.0,0.0,5.625,7.601351351351351,3.1925675675675675,10.702702702702704,17.483108108108105,29.64527027027027,8.969594594594595,295.38851351351354,141.38513513513516,8.817567567567567,12.922297297297298,10.368243243243244,6.233108108108108,10.79391891891892,8.77195945945946,1.9763513513513515,4.10472972972973,7.3125,0.045608108108108114,-0.060810810810810814,0.9121621621621622,2.5844594594594597,0.4560810810810811,0.30405405405405406,39.070945945945944,2.2804054054054057,12.466216216216216,20.8277027027027,6.081081081081082,1.9763513513513515,39.070945945945944,0.15202702702702703,0.15202702702702703,15.202702702702702,0.0,0.0,15.050675675675677,60.96283783783784,23.716216216216214,0.30405405405405406,0.4560810810810811,0.0,0.9121621621621622,0.15202702702702703,17.635135135135133,1.2162162162162162,,,,,,,,
Matthis Abline,FRA,Auxerre,19,2003,19,8,806,9.0,0.22332506203473945,0.11166253101736973,0.3349875930521092,0.11166253101736973,0.11166253101736973,0.22332506203473945,0.11166253101736973,0.0,0.40198511166253104,0.22332506203473945,0.0781637717121588,0.3014888337468983,1.5632754342431763,0.8933002481389578,5.471464019851116,FW,Ligue 1,0.4466501240694789,0.22332506203473945,0.0,0.3349875930521092,0.11166253101736973,0.0,0.5583126550868487,0.0,0.5583126550868487,0.6699751861042184,0.11166253101736973,0.5583126550868487,0.11166253101736973,0.5583126550868487,0.11166253101736973,0.0,1.5632754342431763,1.1166253101736974,0.5583126550868487,0.6699751861042184,0.11166253101736973,0.0,0.0,1.4516129032258065,1.3399503722084367,3.3498759305210917,3.193548387096774,7.704714640198511,11.724565756823822,7.336228287841191,132.54342431761788,26.240694789081882,2.6799007444168734,4.01985111662531,7.447890818858561,3.9081885856079404,4.913151364764268,8.877171215880894,0.5583126550868487,1.228287841191067,5.080645161290322,0.033498759305210915,0.033498759305210915,0.5583126550868487,0.7816377171215881,0.3349875930521092,0.11166253101736973,23.449131513647643,0.3349875930521092,1.228287841191067,11.277915632754342,11.501240694789082,4.578163771712159,23.225806451612904,2.5682382133995034,1.3399503722084367,5.828784119106699,1.228287841191067,5.337468982630273,15.744416873449133,102.5062034739454,35.62034739454094,1.5632754342431763,0.5583126550868487,0.7816377171215881,4.801488833746898,1.8982630272952854,17.30769230769231,5.471464019851116,,,,,,,,
