Sett.,Giorno,Data,Ora,Casa,xG,Punteggio,xG,Ospiti,Spettatori,Stadio,Arbitro,Report partita,Note
1,Sab,21-08-2021,18:30,Hellas Verona,2.1,2–3,1.4,Sassuolo,5.448,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Report partita,
1,Sab,21-08-2021,18:30,Inter,1.5,4–0,1.0,Genoa,27.402,Stadio Giuseppe Meazza,Valerio Marini,Report partita,
1,Sab,21-08-2021,20:45,Empoli,1.3,1–3,1.3,Lazio,3.655,Stadio Carlo Castellani,Simone Sozza,Report partita,
1,Sab,21-08-2021,20:45,Torino,1.3,1–2,1.0,Atalanta,3.475,Stadio Olimpico di Torino,Daniele Chiffi,Report partita,
1,Dom,22-08-2021,18:30,Bologna,1.5,3–2,1.6,Salernitana,8.375,Stadio Renato Dall'Ara,Antonio Rapuano,Report partita,
1,Dom,22-08-2021,18:30,Udinese,2.2,2–2,0.8,Juventus,9.660,Dacia Arena,Ivan Pezzuto,Report partita,
1,Dom,22-08-2021,20:45,Napoli,2.3,2–0,0.5,Venezia,20.000,Stadio San Paolo,Gianluca Aureliano,Report partita,
1,Dom,22-08-2021,20:45,Roma,2.7,3–1,1.2,Fiorentina,26.997,Stadio Olimpico,Luca Pairetto,Report partita,
1,Lun,23-08-2021,18:30,Cagliari,2.7,2–2,0.8,Spezia,5.387,Sardegna Arena,Francesco Fourneau,Report partita,
1,Lun,23-08-2021,20:45,Sampdoria,1.0,0–1,1.1,Milan,5.000,Stadio Comunale Luigi Ferraris,Marco Guida,Report partita,
,,,,,,,,,,,,,
2,Ven,27-08-2021,18:30,Udinese,2.7,3–0,1.0,Venezia,8.274,Dacia Arena,Livio Marinelli,Report partita,
2,Ven,27-08-2021,20:45,Hellas Verona,0.8,1–3,1.6,Inter,11.214,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Report partita,
2,Sab,28-08-2021,18:30,Atalanta,1.0,0–0,0.3,Bologna,7.912,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Report partita,
2,Sab,28-08-2021,18:30,Lazio,3.2,6–1,0.7,Spezia,20.000,Stadio Olimpico,Federico Dionisi,Report partita,
2,Sab,28-08-2021,20:45,Fiorentina,0.6,2–1,0.5,Torino,12.592,Stadio Artemio Franchi,Maurizio Mariani,Report partita,
2,Sab,28-08-2021,20:45,Juventus,1.5,0–1,0.8,Empoli,17.584,Allianz Stadium,Davide Ghersini,Report partita,
2,Dom,29-08-2021,18:30,Sassuolo,1.4,0–0,0.5,Sampdoria,3.309,Stadio Città del Tricolore,Juan Sacchi,Report partita,
2,Dom,29-08-2021,18:30,Genoa,0.6,1–2,1.1,Napoli,20.000,Stadio Comunale Luigi Ferraris,Marco Di Bello,Report partita,
2,Dom,29-08-2021,20:45,Milan,2.7,4–1,0.4,Cagliari,31.946,Stadio Giuseppe Meazza,Marco Serra,Report partita,
2,Dom,29-08-2021,20:45,Salernitana,0.3,0–4,1.9,Roma,12.500,Stadio Arechi,Rosario Abisso,Report partita,
,,,,,,,,,,,,,
3,Sab,11-09-2021,15:00,Empoli,1.9,1–2,1.7,Venezia,2.511,Stadio Carlo Castellani,Antonio Rapuano,Report partita,
3,Sab,11-09-2021,18:00,Napoli,2.1,2–1,1.0,Juventus,23.500,Stadio San Paolo,Massimiliano Irrati,Report partita,
3,Sab,11-09-2021,20:45,Atalanta,2.5,1–2,1.7,Fiorentina,9.162,Stadio Atleti Azzurri d'Italia,Valerio Marini,Report partita,
3,Dom,12-09-2021,12:30,Sampdoria,1.2,2–2,0.7,Inter,7.441,Stadio Comunale Luigi Ferraris,Daniele Orsato,Report partita,
3,Dom,12-09-2021,15:00,Spezia,1.3,0–1,0.8,Udinese,5.162,Stadio Alberto Picco,Marco Guida,Report partita,
3,Dom,12-09-2021,15:00,Torino,1.9,4–0,0.2,Salernitana,9.082,Stadio Olimpico di Torino,Gianluca Aureliano,Report partita,
3,Dom,12-09-2021,15:00,Cagliari,1.4,2–3,1.1,Genoa,6.423,Sardegna Arena,Luca Pairetto,Report partita,
3,Dom,12-09-2021,18:00,Milan,3.0,2–0,0.3,Lazio,36.207,Stadio Giuseppe Meazza,Daniele Chiffi,Report partita,
3,Dom,12-09-2021,20:45,Roma,2.8,2–1,1.7,Sassuolo,29.604,Stadio Olimpico,Simone Sozza,Report partita,
3,Lun,13-09-2021,20:45,Bologna,1.4,1–0,0.4,Hellas Verona,10.218,Stadio Renato Dall'Ara,Ivan Pezzuto,Report partita,
,,,,,,,,,,,,,
4,Ven,17-09-2021,20:45,Sassuolo,0.6,0–1,2.0,Torino,20.000,Stadio Città del Tricolore,Marco Piccinini,Report partita,
4,Sab,18-09-2021,15:00,Genoa,1.0,1–2,0.9,Fiorentina,6.269,Stadio Comunale Luigi Ferraris,Livio Marinelli,Report partita,
4,Sab,18-09-2021,18:00,Inter,3.1,6–1,0.5,Bologna,35.278,Stadio Giuseppe Meazza,Giovanni Ayroldi,Report partita,
4,Sab,18-09-2021,20:45,Salernitana,0.9,0–1,1.4,Atalanta,11.949,Stadio Arechi,Paolo Valeri,Report partita,
4,Dom,19-09-2021,12:30,Empoli,1.6,0–3,1.8,Sampdoria,3.064,Stadio Carlo Castellani,Maurizio Mariani,Report partita,
4,Dom,19-09-2021,15:00,Venezia,0.9,1–2,0.5,Spezia,3.688,Stadio Pierluigi Penzo,Rosario Abisso,Report partita,
4,Dom,19-09-2021,18:00,Hellas Verona,1.1,3–2,0.8,Roma,10.148,Stadio Marc'Antonio Bentegodi,Fabio Maresca,Report partita,
4,Dom,19-09-2021,18:00,Lazio,2.1,2–2,1.8,Cagliari,20.000,Stadio Olimpico,Davide Ghersini,Report partita,
4,Dom,19-09-2021,20:45,Juventus,1.0,1–1,0.7,Milan,18.785,Allianz Stadium,Daniele Doveri,Report partita,
4,Lun,20-09-2021,20:45,Udinese,0.3,0–4,2.4,Napoli,11.484,Dacia Arena,Gianluca Manganiello,Report partita,
,,,,,,,,,,,,,
5,Mar,21-09-2021,18:30,Bologna,2.0,2–2,1.5,Genoa,9.707,Stadio Renato Dall'Ara,Francesco Fourneau,Report partita,
5,Mar,21-09-2021,20:45,Atalanta,1.6,2–1,0.7,Sassuolo,7.353,Stadio Atleti Azzurri d'Italia,Davide Massa,Report partita,
5,Mar,21-09-2021,20:45,Fiorentina,1.4,1–3,2.8,Inter,15.927,Stadio Artemio Franchi,Michael Fabbri,Report partita,
5,Mer,22-09-2021,18:30,Salernitana,2.7,2–2,1.7,Hellas Verona,9.561,Stadio Arechi,Massimiliano Irrati,Report partita,
5,Mer,22-09-2021,18:30,Spezia,0.7,2–3,2.3,Juventus,5.700,Stadio Alberto Picco,Gianluca Aureliano,Report partita,
5,Mer,22-09-2021,20:45,Milan,1.7,2–0,0.7,Venezia,26.185,Stadio Giuseppe Meazza,Ivan Pezzuto,Report partita,
5,Mer,22-09-2021,20:45,Cagliari,1.1,0–2,1.1,Empoli,7.226,Sardegna Arena,Marco Di Bello,Report partita,
5,Gio,23-09-2021,18:30,Torino,1.1,1–1,0.9,Lazio,8.646,Stadio Olimpico di Torino,Rosario Abisso,Report partita,
5,Gio,23-09-2021,18:30,Sampdoria,0.6,0–4,2.2,Napoli,4.596,Stadio Comunale Luigi Ferraris,Paolo Valeri,Report partita,
5,Gio,23-09-2021,20:45,Roma,1.3,1–0,0.9,Udinese,29.593,Stadio Olimpico,Antonio Rapuano,Report partita,
,,,,,,,,,,,,,
6,Sab,25-09-2021,15:00,Spezia,0.9,1–2,1.9,Milan,3.618,Stadio Alberto Picco,Gianluca Manganiello,Report partita,
6,Sab,25-09-2021,18:00,Inter,3.9,2–2,2.1,Atalanta,36.517,Stadio Giuseppe Meazza,Fabio Maresca,Report partita,
6,Sab,25-09-2021,20:45,Genoa,1.6,3–3,2.2,Hellas Verona,13.478,Stadio Comunale Luigi Ferraris,Daniele Doveri,Report partita,
6,Dom,26-09-2021,12:30,Juventus,2.4,3–2,0.4,Sampdoria,15.381,Allianz Stadium,Giovanni Ayroldi,Report partita,
6,Dom,26-09-2021,15:00,Udinese,0.6,0–1,1.1,Fiorentina,7.208,Dacia Arena,Davide Ghersini,Report partita,
6,Dom,26-09-2021,15:00,Sassuolo,1.3,1–0,0.9,Salernitana,5.177,Stadio Città del Tricolore,Antonio Giua,Report partita,
6,Dom,26-09-2021,15:00,Empoli,1.8,4–2,2.5,Bologna,5.022,Stadio Carlo Castellani,Piero Giacomelli,Report partita,
6,Dom,26-09-2021,18:00,Lazio,2.2,3–2,2.3,Roma,32.000,Stadio Olimpico,Marco Guida,Report partita,
6,Dom,26-09-2021,20:45,Napoli,1.8,2–0,0.2,Cagliari,20.000,Stadio San Paolo,Marco Piccinini,Report partita,
6,Lun,27-09-2021,20:45,Venezia,1.3,1–1,0.7,Torino,4.888,Stadio Pierluigi Penzo,Lorenzo Maggioni,Report partita,
,,,,,,,,,,,,,
7,Ven,01-10-2021,20:45,Cagliari,0.4,1–1,1.1,Venezia,8.135,Sardegna Arena,Manuel Volpi,Report partita,
7,Sab,02-10-2021,15:00,Salernitana,0.5,1–0,1.9,Genoa,10.077,Stadio Arechi,Maurizio Mariani,Report partita,
7,Sab,02-10-2021,18:00,Torino,1.0,0–1,0.9,Juventus,12.073,Stadio Olimpico di Torino,Paolo Valeri,Report partita,
7,Sab,02-10-2021,20:45,Sassuolo,1.5,1–2,1.9,Inter,10.400,Stadio Città del Tricolore,Luca Pairetto,Report partita,
7,Dom,03-10-2021,12:30,Bologna,0.5,3–0,0.6,Lazio,12.975,Stadio Renato Dall'Ara,Davide Massa,Report partita,
7,Dom,03-10-2021,15:00,Sampdoria,1.6,3–3,2.7,Udinese,4.292,Stadio Comunale Luigi Ferraris,Daniele Orsato,Report partita,
7,Dom,03-10-2021,15:00,Hellas Verona,0.4,4–0,1.4,Spezia,8.398,Stadio Marc'Antonio Bentegodi,Giacomo Camplone,Report partita,
7,Dom,03-10-2021,18:00,Fiorentina,0.7,1–2,1.7,Napoli,15.264,Stadio Artemio Franchi,Simone Sozza,Report partita,
7,Dom,03-10-2021,18:00,Roma,1.3,2–0,0.6,Empoli,31.946,Stadio Olimpico,Giovanni Ayroldi,Report partita,
7,Dom,03-10-2021,20:45,Atalanta,2.1,2–3,3.0,Milan,9.363,Stadio Atleti Azzurri d'Italia,Marco Di Bello,Report partita,
,,,,,,,,,,,,,
8,Sab,16-10-2021,15:00,Spezia,1.6,2–1,1.7,Salernitana,6.023,Stadio Alberto Picco,Davide Massa,Report partita,
8,Sab,16-10-2021,18:00,Lazio,2.5,3–1,1.4,Inter,42.000,Stadio Olimpico,Massimiliano Irrati,Report partita,
8,Sab,16-10-2021,20:45,Milan,1.5,3–2,1.4,Hellas Verona,40.128,Stadio Giuseppe Meazza,Alessandro Prontera,Report partita,
8,Dom,17-10-2021,12:30,Cagliari,1.1,3–1,1.5,Sampdoria,9.923,Sardegna Arena,Matteo Marchetti,Report partita,
8,Dom,17-10-2021,15:00,Udinese,1.0,1–1,1.7,Bologna,10.627,Dacia Arena,Rosario Abisso,Report partita,
8,Dom,17-10-2021,15:00,Empoli,0.7,1–4,4.2,Atalanta,6.214,Stadio Carlo Castellani,Marco Serra,Report partita,
8,Dom,17-10-2021,15:00,Genoa,1.3,2–2,2.0,Sassuolo,10.370,Stadio Comunale Luigi Ferraris,Daniele Chiffi,Report partita,
8,Dom,17-10-2021,18:00,Napoli,1.6,1–0,0.9,Torino,27.579,Stadio San Paolo,Juan Sacchi,Report partita,
8,Dom,17-10-2021,20:45,Juventus,0.8,1–0,1.4,Roma,20.239,Allianz Stadium,Daniele Orsato,Report partita,
8,Lun,18-10-2021,20:45,Venezia,1.0,1–0,0.5,Fiorentina,8.043,Stadio Pierluigi Penzo,Luca Massimi,Report partita,
,,,,,,,,,,,,,
9,Ven,22-10-2021,18:30,Torino,1.5,3–2,1.8,Genoa,9.881,Stadio Olimpico di Torino,Piero Giacomelli,Report partita,
9,Ven,22-10-2021,20:45,Sampdoria,0.9,2–1,0.9,Spezia,7.493,Stadio Comunale Luigi Ferraris,Michael Fabbri,Report partita,
9,Sab,23-10-2021,15:00,Salernitana,1.0,2–4,2.2,Empoli,11.142,Stadio Arechi,Daniele Doveri,Report partita,
9,Sab,23-10-2021,18:00,Sassuolo,2.0,3–1,0.5,Venezia,4.482,Stadio Città del Tricolore,Antonio Di Martino,Report partita,
9,Sab,23-10-2021,20:45,Bologna,0.7,2–4,0.9,Milan,22.167,Stadio Renato Dall'Ara,Paolo Valeri,Report partita,
9,Dom,24-10-2021,12:30,Atalanta,0.5,1–1,0.9,Udinese,9.951,Stadio Atleti Azzurri d'Italia,Livio Marinelli,Report partita,
9,Dom,24-10-2021,15:00,Fiorentina,3.1,3–0,0.2,Cagliari,20.290,Stadio Artemio Franchi,Antonio Rapuano,Report partita,
