Player,Nation,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Position
Filippo Alessio,ITA,Roma,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Pasquale Allocca,ITA,Salernitana,18,2005,0,,,,,0,,0,0,,12,,,,,,,,,,,,GK
Pontus Almqvist,SWE,Lecce,24,1999,30,2107,70,61.6,23.4,25,79,12,5,24,1,0.97,20,32,-12,-0.51,+0.17,26.0,33.0,-7.0,-0.30,-0.08,FW
Agustín Álvarez Martínez,URU,Sassuolo,22,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,FW
Lorenzo Amatucci,ITA,Fiorentina,19,2004,2,22,11,0.6,0.2,0,,0,2,11,15,1.50,0,0,0,0.00,-0.40,0.2,0.1,+0.1,+0.42,+0.33,MF
Bruno Amione,ARG,Hellas Verona,21,2002,10,579,58,16.9,6.4,7,76,3,3,16,12,1.00,7,12,-5,-0.78,-0.52,5.7,8.9,-3.2,-0.49,-0.25,DF
Sofyan Amrabat,MAR,Fiorentina,26,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Felipe Anderson,BRA,Lazio,30,1993,38,2770,73,81.0,30.8,33,79,14,5,32,0,1.61,38,31,+7,+0.23,-0.19,36.2,33.0,+3.3,+0.11,-0.07,FW
Angeliño,ESP,Roma,26,1997,16,1141,71,33.4,12.7,14,76,5,2,42,0,1.75,22,16,+6,+0.47,-0.04,16.4,16.3,+0.1,+0.01,-0.36,DF
Jacopo Antolini,ITA,Torino,19,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,,MF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Houssem Aouar,ALG,Roma,25,1998,16,756,47,22.1,8.4,9,70,2,7,18,14,1.69,12,9,+3,+0.36,-0.18,12.0,9.4,+2.6,+0.31,+0.08,MF
Mattia Aramu,ITA,Genoa,28,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Riccardo Arboscello,ITA,Genoa,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Simone Aresti,ITA,Cagliari,37,1986,1,1,1,0.0,0.0,0,,0,1,1,33,0.00,0,1,-1,-90.00,-89.34,0.0,0.8,-0.8,-70.96,-70.67,GK
Marko Arnautović,AUT,Inter,34,1989,27,801,30,23.4,8.9,5,74,2,22,20,3,2.59,22,5,+17,+1.91,+0.19,18.8,8.8,+10.1,+1.13,-0.14,FW
Kristjan Asllani,ALB,Inter,21,2002,23,787,34,23.0,8.7,6,81,4,17,18,14,2.61,26,3,+23,+2.63,+1.13,18.5,7.9,+10.6,+1.22,-0.03,MF
Emil Audero,ITA,Inter,26,1997,4,337,84,9.9,3.7,4,84,3,0,,34,1.75,8,3,+5,+1.34,-0.47,7.5,3.1,+4.4,+1.17,-0.08,GK
Tommaso Augello,ITA,Cagliari,28,1994,32,2418,76,70.7,26.9,28,82,12,4,30,4,1.06,32,46,-14,-0.52,+0.56,30.1,32.5,-2.4,-0.09,+0.74,DF
Carlos Augusto,BRA,Inter,24,1999,37,1725,47,50.4,19.2,14,85,11,23,23,0,2.51,49,8,+41,+2.14,+0.76,41.9,15.3,+26.6,+1.39,+0.30,DF
Yann Aurel Bisseck,GER,Inter,22,2000,16,904,57,26.4,10.0,9,90,8,7,14,22,2.50,26,6,+20,+1.99,+0.31,23.2,11.2,+12.1,+1.21,-0.04,DF
Sardar Azmoun,IRN,Roma,28,1995,23,585,25,17.1,6.5,3,74,1,20,18,6,1.61,18,6,+12,+1.85,+1.62,13.9,8.1,+5.8,+0.89,+0.77,FW
Paulo Azzi,BRA,Cagliari,29,1994,25,950,38,27.8,10.6,9,73,3,16,18,13,0.96,9,19,-10,-0.95,-0.36,12.7,19.5,-6.9,-0.65,-0.48,DF
Oussama El Azzouzi,MAR,Bologna,22,2001,18,547,30,16.0,6.1,5,75,2,13,13,11,1.78,8,8,0,0.00,-0.69,7.1,7.9,-0.8,-0.13,-0.49,MF
Milan Badelj,CRO,Genoa,34,1989,33,2535,77,74.1,28.2,32,79,10,1,23,2,1.27,34,30,+4,+0.14,+0.55,25.9,30.1,-4.2,-0.15,+0.14,MF
Jaime Báez,URU,Frosinone,28,1995,11,500,45,14.6,5.6,6,60,0,5,28,21,1.09,9,7,+2,+0.36,+1.19,7.6,7.9,-0.2,-0.04,+0.32,FW
Nicola Bagnolini,ITA,Bologna,19,2004,1,5,5,0.1,0.1,0,,0,1,5,29,0.00,0,0,0,0.00,-0.58,0.2,0.5,-0.3,-5.86,-6.16,GK
Nedim Bajrami,ALB,Sassuolo,24,1999,28,1310,47,38.3,14.6,15,66,1,13,24,8,0.82,20,35,-15,-1.03,-0.31,15.6,29.1,-13.5,-0.93,-0.58,MF
Mitchel Bakker,NED,Atalanta,23,2000,14,382,27,11.2,4.2,3,51,0,11,21,22,1.29,2,7,-5,-1.18,-2.21,4.8,6.4,-1.7,-0.40,-0.94,DF
Tommaso Baldanzi,ITA,Empoli,20,2003,14,745,53,21.8,8.3,8,76,3,6,23,2,0.57,3,14,-11,-1.33,-0.86,7.9,12.7,-4.8,-0.59,-0.19,MF
Tommaso Baldanzi,ITA,Roma,20,2003,13,518,40,15.1,5.8,6,68,0,7,16,3,1.69,8,6,+2,+0.35,-0.18,8.5,8.0,+0.5,+0.09,-0.19,FW
Lameck Banda,ZAM,Lecce,22,2001,21,1350,64,39.5,15.0,17,73,2,4,29,1,1.00,15,24,-9,-0.60,-0.03,16.0,21.4,-5.3,-0.36,-0.15,FW
Daniel Bandeira,POR,Hellas Verona,23,2000,14,446,32,13.0,5.0,3,78,1,11,19,3,1.21,6,11,-5,-1.01,-0.77,5.0,9.9,-4.9,-0.99,-0.81,MF
Mattia Bani,ITA,Genoa,29,1993,27,2306,85,67.4,25.6,27,85,23,0,,3,1.37,28,32,-4,-0.16,-0.48,22.8,29.1,-6.3,-0.25,-0.18,DF
Antonín Barák,CZE,Fiorentina,28,1994,21,808,38,23.6,9.0,8,77,4,13,15,14,1.62,15,10,+5,+0.56,+0.21,14.4,10.5,+3.9,+0.44,+0.45,MF
Nicolò Barella,ITA,Inter,26,1997,37,2846,77,83.2,31.6,34,81,17,3,26,0,2.46,72,18,+54,+1.71,-0.33,64.8,23.2,+41.6,+1.31,+0.45,MF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Enzo Barrenechea,ARG,Frosinone,22,2001,36,2811,78,82.2,31.2,32,86,20,4,13,0,0.94,36,54,-18,-0.58,+0.46,37.7,46.7,-9.1,-0.29,+0.14,MF
Davide Bartesaghi,ITA,Milan,17,2005,6,79,13,2.3,0.9,0,,0,6,13,18,2.67,2,0,+2,+2.28,+1.61,0.7,1.9,-1.2,-1.35,-1.94,DF
Andrea Bartoccioni,ITA,Milan,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,GK
Federico Baschirotto,ITA,Lecce,26,1996,37,3294,89,96.3,36.6,37,89,36,0,,0,0.95,31,54,-23,-0.63,-1.34,42.2,51.9,-9.6,-0.26,+0.14,DF
Toma Bašić,CRO,Lazio,26,1996,0,,,,,0,,0,0,,16,,,,,,,,,,,,MF
Toma Bašić,CRO,Salernitana,26,1996,15,1162,77,34.0,12.9,14,83,9,1,4,0,0.20,6,23,-17,-1.32,-0.04,9.2,24.3,-15.1,-1.17,-0.01,MF
Alessandro Bastoni,ITA,Inter,24,1999,28,2268,81,66.3,25.2,28,81,14,0,,6,2.43,53,16,+37,+1.47,-0.88,50.4,20.9,+29.5,+1.17,-0.21,DF
Simone Bastoni,ITA,Empoli,26,1996,16,745,47,21.8,8.3,9,70,2,7,17,15,1.13,4,14,-10,-1.21,-0.70,7.0,12.9,-5.9,-0.71,-0.35,MF
Brian Bayeye,COD,Torino,23,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Reda Belahyane,FRA,Hellas Verona,19,2004,2,90,45,2.6,1.0,1,73,0,1,17,14,1.00,2,2,0,0.00,+0.35,1.6,1.8,-0.2,-0.21,+0.07,MF
Raoul Bellanova,ITA,Torino,23,2000,37,3046,82,89.1,33.8,36,84,17,1,10,0,1.41,30,33,-3,-0.09,-0.81,32.7,32.7,0.0,0.00,-0.08,DF
Andrea Belotti,ITA,Fiorentina,29,1993,15,949,63,27.7,10.5,11,78,4,4,24,0,1.33,17,15,+2,+0.19,-0.28,13.7,17.3,-3.6,-0.34,-0.61,FW
Andrea Belotti,ITA,Roma,29,1993,14,679,49,19.9,7.5,6,82,4,8,23,8,1.43,12,12,0,0.00,-0.62,11.1,6.9,+4.2,+0.56,+0.39,FW
Lucas Beltrán,ARG,Fiorentina,22,2001,32,1692,53,49.5,18.8,21,69,3,11,22,3,1.44,32,21,+11,+0.59,+0.38,25.2,24.7,+0.5,+0.02,-0.14,FW
Ismaël Bennacer,ALG,Milan,25,1997,20,1151,58,33.7,12.8,13,76,4,7,23,1,1.90,26,19,+7,+0.55,-0.25,25.8,14.6,+11.2,+0.88,+0.49,MF
Alessandro Berardi,ITA,Hellas Verona,32,1991,0,,,,,0,,0,0,,20,,,,,,,,,,,,GK
Domenico Berardi,ITA,Sassuolo,28,1994,17,1431,84,41.8,15.9,17,84,10,0,,1,1.12,24,27,-3,-0.19,+1.12,21.0,23.7,-2.7,-0.17,+0.70,FW
Bartosz Bereszyński,POL,Empoli,31,1992,24,1762,73,51.5,19.6,22,78,15,2,26,7,1.21,17,30,-13,-0.66,-0.01,16.3,28.6,-12.3,-0.63,-0.39,DF
Etrit Berisha,ALB,Empoli,34,1989,14,1260,90,36.8,14.0,14,90,14,0,,12,0.86,10,25,-15,-1.07,-0.65,14.0,19.9,-5.9,-0.42,+0.02,GK
Medon Berisha,ALB,Lecce,19,2003,6,205,34,6.0,2.3,2,65,0,4,19,32,0.67,0,3,-3,-1.32,-0.79,1.8,3.6,-1.8,-0.80,-0.56,FW
Victor Bernth Kristiansen,DEN,Bologna,20,2002,32,2307,72,67.5,25.6,26,84,16,6,23,3,1.88,35,20,+15,+0.59,+0.02,32.9,26.4,+6.5,+0.25,-0.10,DF
Alessandro Berretta,ITA,Monza,17,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Beto,GNB,Udinese,25,1998,1,74,74,2.2,0.8,1,74,0,0,,0,0.00,0,3,-3,-3.65,-3.30,0.5,1.8,-1.3,-1.61,-1.37,FW
Davide Bettella,ITA,Monza,23,2000,1,3,3,0.1,0.0,0,,0,1,3,17,3.00,0,0,0,0.00,+0.32,0.0,0.2,-0.2,-5.02,-4.59,MF
Sam Beukema,NED,Bologna,24,1998,30,2547,85,74.5,28.3,29,87,26,1,16,5,1.90,40,27,+13,+0.46,-0.47,35.5,29.7,+5.7,+0.20,-0.33,DF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Christian Biagetti,ITA,Fiorentina,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Côme Bianay Balcot,FRA,Torino,18,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,DF
Soufiane Bidaoui,MAR,Frosinone,33,1990,0,,,,,0,,0,0,,7,,,,,,,,,,,,FW
Jaka Bijol,SVN,Udinese,24,1999,24,2084,87,60.9,23.2,23,90,23,1,14,0,1.00,18,29,-11,-0.48,-0.14,24.8,27.3,-2.4,-0.11,+0.40,DF
El Bilal Touré,MLI,Atalanta,21,2001,11,394,36,11.5,4.4,3,75,2,8,21,8,2.18,6,3,+3,+0.69,-0.12,8.7,4.7,+3.9,+0.90,+0.52,FW
Cristiano Biraghi,ITA,Fiorentina,30,1992,29,2356,81,68.9,26.2,27,86,21,2,14,7,1.59,39,31,+8,+0.31,-0.29,32.0,36.7,-4.7,-0.18,-0.88,DF
Davide Biraschi,ITA,Genoa,29,1994,1,90,90,2.6,1.0,1,90,1,0,,2,0.00,1,4,-3,-3.00,-3.08,0.2,1.0,-0.8,-0.78,-0.61,DF
Samuele Birindelli,ITA,Monza,24,1999,35,2013,58,58.9,22.4,22,76,8,13,25,2,1.20,25,33,-8,-0.36,-0.10,24.0,34.4,-10.4,-0.46,-0.05,DF
Alexis Blin,FRA,Lecce,26,1996,31,1642,53,48.0,18.2,16,81,9,15,23,4,1.16,19,25,-6,-0.33,+0.48,22.6,25.8,-3.3,-0.18,+0.17,MF
Jérôme Boateng,GER,Salernitana,34,1988,7,238,34,7.0,2.6,4,47,0,3,17,1,0.29,2,9,-7,-2.65,-1.46,1.6,5.0,-3.4,-1.30,-0.15,DF
Pietro Boer,ITA,Roma,21,2002,0,,,,,0,,0,0,,36,,,,,,,,,,,,GK
Emil Bohinen,NOR,Genoa,24,1999,5,56,11,1.6,0.6,0,,0,5,11,12,2.60,0,0,0,0.00,0.00,0.7,0.9,-0.2,-0.29,-0.11,MF
Emil Bohinen,NOR,Salernitana,24,1999,12,535,45,15.6,5.9,7,57,0,5,28,5,0.50,3,14,-11,-1.85,-0.67,5.1,11.5,-6.3,-1.07,+0.11,MF
Daniel Boloca,ROU,Sassuolo,24,1998,30,2022,67,59.1,22.5,23,80,13,7,26,4,0.93,29,42,-13,-0.58,+0.64,24.8,37.3,-12.5,-0.56,+0.04,MF
Giacomo Bonaventura,ITA,Fiorentina,33,1989,31,2277,73,66.6,25.3,27,80,11,4,28,4,1.35,35,29,+6,+0.24,-0.47,29.6,29.3,+0.3,+0.01,-0.25,MF
Federico Bonazzoli,ITA,Hellas Verona,26,1997,24,1016,42,29.7,11.3,10,62,0,14,28,14,0.88,13,12,+1,+0.09,+0.61,10.8,13.1,-2.3,-0.21,+0.10,FW
Luca Boncori,ITA,Salernitana,17,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Warren Bondo,FRA,Monza,19,2003,25,1475,59,43.1,16.4,14,79,8,11,34,11,1.28,20,27,-7,-0.43,-0.20,17.7,25.3,-7.5,-0.46,-0.03,MF
Giovanni Bonfanti,ITA,Atalanta,20,2003,2,89,45,2.6,1.0,1,74,0,1,15,18,1.50,2,1,+1,+1.01,+0.23,1.6,1.4,+0.1,+0.13,-0.31,DF
Kevin Bonifazi,ITA,Bologna,27,1996,1,90,90,2.6,1.0,1,90,1,0,,13,1.00,1,1,0,0.00,-0.59,1.0,0.9,+0.1,+0.13,-0.16,DF
Kevin Bonifazi,ITA,Frosinone,27,1996,6,309,52,9.0,3.4,3,90,3,3,13,3,1.33,2,10,-8,-2.33,-1.84,3.3,8.3,-5.0,-1.47,-1.27,DF
Alexandru Borbei,ROU,Lecce,20,2003,0,,,,,0,,0,0,,13,,,,,,,,,,,,GK
Gennaro Borrelli,ITA,Frosinone,23,2000,1,24,24,0.7,0.3,0,,0,1,24,1,0.00,0,1,-1,-3.75,-3.11,0.0,0.7,-0.7,-2.72,-2.42,FW
Erik Botheim,NOR,Salernitana,23,2000,7,316,45,9.2,3.5,4,64,0,3,21,14,0.43,2,7,-5,-1.42,-0.15,1.9,4.5,-2.6,-0.75,+0.45,FW
Mehdi Bourabia,MAR,Frosinone,31,1991,10,200,20,5.8,2.2,3,50,0,7,7,10,0.90,1,9,-8,-3.60,-3.12,1.0,6.9,-5.9,-2.64,-2.47,MF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Edoardo Bove,ITA,Roma,21,2002,31,1780,57,52.0,19.8,18,78,9,13,29,7,1.68,30,21,+9,+0.46,-0.09,27.0,21.6,+5.4,+0.27,+0.04,MF
Domagoj Bradarić,CRO,Salernitana,23,1999,34,2749,81,80.4,30.5,30,87,25,4,38,0,0.44,24,65,-41,-1.34,-0.27,24.6,58.4,-33.7,-1.10,+0.30,DF
Federico Brancolini,ITA,Lecce,22,2001,0,,,,,0,,0,0,,34,,,,,,,,,,,,GK
Josip Brekalo,CRO,Fiorentina,25,1998,11,652,59,19.1,7.2,8,72,2,3,27,9,1.82,13,11,+2,+0.28,-0.15,7.0,9.5,-2.5,-0.34,-0.54,FW
Gleison Bremer,BRA,Juventus,26,1997,36,3233,90,94.5,35.9,36,90,35,0,,1,1.86,50,29,+21,+0.58,-0.38,51.9,28.4,+23.5,+0.65,+0.12,DF
Brenner,BRA,Udinese,23,2000,8,189,24,5.5,2.1,2,49,0,6,15,9,1.38,0,1,-1,-0.48,-0.06,1.4,1.3,+0.1,+0.03,+0.31,MF
Marco Brescianini,ITA,Frosinone,23,2000,36,2321,64,67.9,25.8,24,83,11,12,28,1,0.94,29,49,-20,-0.78,-0.37,30.0,40.5,-10.4,-0.40,-0.28,MF
Matteo Brezzo,ITA,Torino,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,GK
Dylan Bronn,TUN,Salernitana,28,1995,4,52,13,1.5,0.6,0,,0,4,13,13,1.00,0,4,-4,-6.92,-5.72,0.6,2.8,-2.3,-3.84,-2.72,DF
Tajon Buchanan,CAN,Inter,24,1999,10,161,16,4.7,1.8,0,,0,10,16,9,1.90,6,0,+6,+3.35,+1.67,5.3,1.4,+3.9,+2.18,+0.99,DF
Alessandro Buongiorno,ITA,Torino,24,1999,29,2527,87,73.9,28.1,29,87,26,0,,1,1.52,29,22,+7,+0.25,+0.95,30.1,27.4,+2.6,+0.09,+0.33,DF
Rareș-Cătălin Burnete,ROU,Lecce,19,2004,1,8,8,0.2,0.1,0,,0,1,8,17,3.00,2,0,+2,+22.50,+23.13,0.2,0.0,+0.2,+1.70,+1.98,FW
Jovane Cabral,CPV,Salernitana,25,1998,12,678,57,19.8,7.5,8,78,3,4,14,3,0.33,2,14,-12,-1.59,-0.38,5.3,12.4,-7.1,-0.94,+0.27,MF
Liberato Cacace,NZL,Empoli,22,2000,31,1912,62,55.9,21.2,18,84,11,13,31,6,1.10,22,30,-8,-0.38,+0.64,24.6,28.3,-3.8,-0.18,+0.59,DF
Jens Cajuste,SWE,Napoli,23,1999,26,1016,39,29.7,11.3,11,70,2,15,16,8,1.62,19,18,+1,+0.09,-0.14,18.6,13.5,+5.1,+0.45,-0.22,MF
Nicolò Calabrese,ITA,Hellas Verona,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,MF
Davide Calabria,ITA,Milan,26,1996,29,2185,75,63.9,24.3,26,81,13,3,29,4,2.07,49,27,+22,+0.91,+0.54,41.8,26.7,+15.1,+0.62,+0.21,DF
Riccardo Calafiori,ITA,Bologna,21,2002,30,2349,78,68.7,26.1,26,89,23,4,12,6,1.97,43,20,+23,+0.88,+0.97,33.9,25.8,+8.1,+0.31,+0.08,DF
Mattia Caldara,ITA,Milan,29,1994,1,33,33,1.0,0.4,0,,0,1,33,5,1.00,1,3,-2,-5.45,-6.23,1.0,1.6,-0.5,-1.37,-1.94,DF
Luca Caldirola,ITA,Monza,32,1991,29,2141,74,62.6,23.8,23,87,19,6,22,7,1.10,25,37,-12,-0.50,-0.50,24.8,37.5,-12.6,-0.53,-0.24,DF
Hakan Çalhanoğlu,TUR,Inter,29,1994,32,2556,80,74.7,28.4,32,80,12,0,,3,2.47,59,19,+40,+1.41,-1.40,56.5,23.2,+33.3,+1.17,-0.26,MF
Alessandro Calligaris,ITA,Inter,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,GK
Simone Calvani,ITA,Genoa,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,GK
Etienne Camara,FRA,Udinese,20,2003,0,,,,,0,,0,0,,22,,,,,,,,,,,,MF
Francesco Camarda,ITA,Milan,15,2008,2,14,7,0.4,0.2,0,,0,2,7,0,3.00,0,0,0,0.00,-0.71,0.0,1.2,-1.2,-7.59,-8.17,FW
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Nicolò Cambiaghi,ITA,Empoli,22,2000,37,2553,69,74.6,28.4,29,82,11,8,24,0,0.97,20,42,-22,-0.78,-0.46,24.4,40.8,-16.4,-0.58,-0.56,FW
Andrea Cambiaso,ITA,Juventus,23,2000,34,2372,70,69.4,26.4,28,79,4,6,27,1,1.82,31,22,+9,+0.34,-0.86,38.1,20.2,+17.9,+0.68,+0.11,DF
Matteo Cancellieri,ITA,Empoli,21,2002,36,1788,50,52.3,19.9,18,74,4,18,25,0,0.92,17,26,-9,-0.45,+0.43,22.9,24.3,-1.5,-0.07,+0.77,FW
Antonio Candreva,ITA,Salernitana,36,1987,34,2750,81,80.4,30.6,32,83,22,2,40,0,0.47,23,60,-37,-1.21,+0.40,22.3,58.6,-36.3,-1.19,-0.13,MF
Luigi Canotto,ITA,Frosinone,29,1994,1,16,16,0.5,0.2,0,,0,1,16,1,0.00,0,1,-1,-5.63,-4.99,0.0,0.7,-0.7,-3.67,-3.37,FW
Elio Capradossi,UGA,Cagliari,27,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Gianluca Caprari,ITA,Monza,30,1993,6,285,48,8.3,3.2,4,64,1,2,15,3,0.83,4,5,-1,-0.32,0.00,3.7,5.4,-1.7,-0.55,-0.12,MF
Elia Caprile,ITA,Empoli,21,2001,23,2070,90,60.5,23.0,23,90,23,0,,9,1.04,19,27,-8,-0.35,+0.79,21.2,30.9,-9.7,-0.42,+0.04,GK
Francesco Caputo,ITA,Empoli,35,1987,20,1268,63,37.1,14.1,15,75,4,5,27,6,0.70,8,22,-14,-0.99,-0.53,11.7,20.9,-9.2,-0.65,-0.34,FW
Andrea Carboni,ITA,Monza,22,2001,21,1487,71,43.5,16.5,16,81,10,5,37,9,1.29,17,17,0,0.00,+0.56,17.0,20.5,-3.5,-0.21,+0.41,DF
Franco Carboni,ITA,Monza,20,2003,0,,,,,0,,0,0,,18,,,,,,,,,,,,MF
Valentin Carboni,ARG,Monza,18,2005,31,1169,38,34.2,13.0,10,70,2,21,22,6,1.16,14,20,-6,-0.46,-0.22,14.0,19.0,-4.9,-0.38,+0.09,MF
Marco Carnesecchi,ITA,Atalanta,23,2000,27,2425,90,70.9,26.9,27,90,26,0,,11,1.85,53,30,+23,+0.85,+0.22,41.6,30.5,+11.1,+0.41,-0.09,GK
Nicolò Casale,ITA,Lazio,25,1998,20,1559,78,45.6,17.3,16,85,14,4,49,13,1.50,22,24,-2,-0.12,-0.70,18.4,22.3,-3.9,-0.22,-0.63,DF
Giuseppe Caso,ITA,Frosinone,24,1998,14,417,30,12.2,4.6,2,64,0,12,24,8,0.93,10,10,0,0.00,+0.75,5.5,7.3,-1.8,-0.39,-0.09,FW
Valentín Castellanos,ARG,Lazio,24,1998,35,1682,48,49.2,18.7,16,76,5,19,24,2,1.60,25,15,+10,+0.54,+0.54,22.7,18.0,+4.8,+0.25,+0.27,FW
Samu Castillejo,ESP,Sassuolo,28,1995,17,536,32,15.7,6.0,6,60,0,11,16,8,0.71,8,12,-4,-0.67,+0.20,6.8,8.6,-1.8,-0.29,+0.33,FW
Santiago Castro,ARG,Bologna,18,2004,8,242,30,7.1,2.7,2,76,1,6,15,4,1.50,4,2,+2,+0.74,+0.18,5.2,2.5,+2.7,+1.00,+0.76,FW
Gaetano Castrovilli,ITA,Fiorentina,26,1997,6,367,61,10.7,4.1,5,72,1,1,8,5,2.50,8,7,+1,+0.25,-0.17,6.9,5.3,+1.6,+0.40,+0.34,FW
Danilo Cataldi,ITA,Lazio,28,1994,28,1361,49,39.8,15.1,15,74,3,13,19,9,1.68,19,20,-1,-0.07,-0.55,18.7,18.8,0.0,0.00,-0.20,MF
Denis Cazzadori,ITA,Hellas Verona,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Emil Ceide,NOR,Sassuolo,21,2001,11,176,16,5.1,2.0,0,,0,11,16,27,0.55,0,8,-8,-4.09,-3.43,1.2,5.1,-3.9,-2.01,-1.52,FW
