Player,Nation,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Position
James Abankwah,IRL,Udinese,19,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,,DF
Tammy Abraham,ENG,Roma,25,1997,8,242,30,7.1,2.7,2,60,0,6,20,1,1.38,4,4,0,0.00,-0.54,3.6,5.1,-1.5,-0.57,-0.89,FW
Salim Abubakar,NIG,Sassuolo,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Francesco Acerbi,ITA,Inter,35,1988,29,2388,82,69.8,26.5,26,89,25,3,25,2,2.41,55,19,+36,+1.36,-1.35,52.2,23.3,+28.9,+1.09,-0.50,DF
Marius Adamonis,LTU,Lazio,26,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,GK
Yacine Adli,FRA,Milan,23,2000,24,1407,59,41.1,15.6,17,74,6,7,21,14,1.88,25,22,+3,+0.19,-0.88,23.3,17.7,+5.6,+0.36,-0.32,MF
Michel Aebischer,SUI,Bologna,26,1997,36,2230,62,65.2,24.8,26,79,13,10,17,1,1.81,29,20,+9,+0.36,-0.62,27.6,23.8,+3.7,+0.15,-0.39,MF
Lucien Agoume,FRA,Inter,21,2002,1,5,5,0.1,0.1,0,,0,1,5,16,3.00,1,0,+1,+18.00,+16.26,0.3,0.0,+0.3,+5.27,+4.04,MF
Junior Ajayi,CIV,Hellas Verona,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Marley Aké,FRA,Udinese,22,2001,1,10,10,0.3,0.1,0,,0,1,10,14,1.00,0,0,0,0.00,+0.42,0.0,0.5,-0.5,-4.40,-4.14,FW
Ebenezer Akinsanmiro,NGA,Inter,18,2004,1,15,15,0.4,0.2,0,,0,1,15,4,3.00,0,0,0,0.00,-1.77,0.3,0.0,+0.3,+1.76,+0.52,MF
Jean-Daniel Akpa-Akpro,CIV,Monza,30,1992,19,705,37,20.6,7.8,8,67,1,11,15,15,1.37,9,11,-2,-0.26,+0.08,5.9,15.1,-9.2,-1.17,-0.92,MF
David Akpan Ankeye,NGA,Genoa,21,2002,6,57,10,1.7,0.6,0,,0,6,10,6,1.33,0,0,0,0.00,0.00,0.3,0.4,-0.1,-0.15,+0.04,FW
Luis Alberto,ESP,Lazio,30,1992,33,2311,70,67.6,25.7,29,77,13,4,18,1,1.55,32,26,+6,+0.23,-0.09,29.7,28.2,+1.5,+0.06,-0.19,MF
Carlos Alcaraz,ARG,Juventus,20,2002,10,380,38,11.1,4.2,3,75,1,7,22,3,1.40,8,5,+3,+0.71,+0.12,5.5,6.1,-0.6,-0.14,-0.89,MF
