,team_id,player_id,player_name,min,expected_goals,event_type,team_color,match_id,team_name,venue
0,8600,844504,Rodrigo Becao,2,0.086003393,Goal,#907850,3919071,Udinese,A
1,8564,750027,Brahim Diaz,7,0.054140031,AttemptSaved,#302028,3919071,AC Milan,H
2,8564,724371,Theo Hernandez,11,0.7884,Goal,#302028,3919071,AC Milan,H
3,8564,265725,Ante Rebic,15,0.075055242,Goal,#302028,3919071,AC Milan,H
4,8564,848844,Rafael Leao,18,0.033549428,Miss,#302028,3919071,AC Milan,H
5,8600,534484,Isaac Success,20,0.030646503,Miss,#907850,3919071,Udinese,A
6,8600,251925,Gerard Deulofeu,28,0.140805602,AttemptSaved,#907850,3919071,Udinese,A
7,8564,609624,Ismael Bennacer,30,0.032694995,Miss,#302028,3919071,AC Milan,H
8,8600,500502,Adam Masina,45,0.034981906,Goal,#907850,3919071,Udinese,A
9,8564,750027,Brahim Diaz,46,0.764903545,Goal,#302028,3919071,AC Milan,H
10,8600,534484,Isaac Success,52,0.032063067,Miss,#907850,3919071,Udinese,A
11,8564,265725,Ante Rebic,57,0.047674,Miss,#302028,3919071,AC Milan,H
12,8564,724371,Theo Hernandez,63,0.049782336,Miss,#302028,3919071,AC Milan,H
13,8564,265725,Ante Rebic,68,0.258682519,Goal,#302028,3919071,AC Milan,H
14,8564,848844,Rafael Leao,75,0.034824401,Miss,#302028,3919071,AC Milan,H
15,8564,921341,Alexis Saelemaekers,78,0.026029885,AttemptSaved,#302028,3919071,AC Milan,H
16,8564,921341,Alexis Saelemaekers,79,0.006477147,Miss,#302028,3919071,AC Milan,H
17,8564,46469,Olivier Giroud,81,0.085336417,AttemptSaved,#302028,3919071,AC Milan,H
18,8564,921341,Alexis Saelemaekers,86,0.068314701,Miss,#302028,3919071,AC Milan,H
19,8600,1050178,Lazar Samardzic,88,0.036083072,AttemptSaved,#907850,3919071,Udinese,A
20,8600,1178363,Brandon Soppy,89,0.023448408,Miss,#907850,3919071,Udinese,A
21,8600,557346,Sandi Lovric,90,0.052203089,Miss,#907850,3919071,Udinese,A
22,8600,1178363,Brandon Soppy,90,0.051219761,AttemptSaved,#907850,3919071,Udinese,A
