date,game,team,opponent,xG For,xG Against,venue
2023-08-21,2023-08-21 Bologna-AC Milan,AC Milan,Bologna,0.9,1.06,A
2023-08-26,2023-08-26 AC Milan-Torino,AC Milan,Torino,3.04,0.48,H
2023-09-01,2023-09-01 Roma-AC Milan,AC Milan,Roma,1.66,0.71,A
2023-09-16,2023-09-16 Inter-AC Milan,AC Milan,Inter,1.06,2.65,A
2023-09-23,2023-09-23 AC Milan-Hellas Verona,AC Milan,Hellas Verona,0.93,0.62,H
2023-09-27,2023-09-27 Cagliari-AC Milan,AC Milan,Cagliari,2.19,0.88,A
2023-09-30,2023-09-30 AC Milan-Lazio,AC Milan,Lazio,2.24,0.52,H
2023-10-07,2023-10-07 Genoa-AC Milan,AC Milan,Genoa,0.64,0.56,A
2023-10-22,2023-10-22 AC Milan-Juventus,AC Milan,Juventus,0.31,1.43,H
2023-10-29,2023-10-29 SSC Napoli-AC Milan,AC Milan,SSC Napoli,2.06,1.9,A
2023-11-04,2023-11-04 AC Milan-Udinese,AC Milan,Udinese,0.87,1.45,H
2023-11-11,2023-11-11 Lecce-AC Milan,AC Milan,Lecce,1.11,1.46,A
2023-11-25,2023-11-25 AC Milan-Fiorentina,AC Milan,Fiorentina,1.83,1.99,H
2023-12-02,2023-12-02 AC Milan-Frosinone,AC Milan,Frosinone,1.17,0.72,H
2023-12-09,2023-12-09 Atalanta-AC Milan,AC Milan,Atalanta,1.52,3.33,A
2023-12-17,2023-12-17 AC Milan-Monza,AC Milan,Monza,2.03,1.58,H
2023-12-22,2023-12-22 Salernitana-AC Milan,AC Milan,Salernitana,2.22,1.52,A
2023-12-30,2023-12-30 AC Milan-Sassuolo,AC Milan,Sassuolo,1.56,0.49,H
2024-01-07,2024-01-07 Empoli-AC Milan,AC Milan,Empoli,1.69,0.9,A
2024-01-14,2024-01-14 AC Milan-Roma,AC Milan,Roma,1.49,1.4,H
2024-01-20,2024-01-20 Udinese-AC Milan,AC Milan,Udinese,2.72,0.55,A
2024-01-27,2024-01-27 AC Milan-Bologna,AC Milan,Bologna,3.28,1.84,H
2024-02-03,2024-02-03 Frosinone-AC Milan,AC Milan,Frosinone,1.42,1.02,A
2024-02-11,2024-02-11 AC Milan-SSC Napoli,AC Milan,SSC Napoli,0.9,0.67,H
2024-02-18,2024-02-18 Monza-AC Milan,AC Milan,Monza,1.33,1.75,A
2024-02-25,2024-02-25 AC Milan-Atalanta,AC Milan,Atalanta,1.3,1.12,H
2024-03-01,2024-03-01 Lazio-AC Milan,AC Milan,Lazio,1.0,1.33,A
2024-03-10,2024-03-10 AC Milan-Empoli,AC Milan,Empoli,0.84,0.19,H
2024-03-17,2024-03-17 Hellas Verona-AC Milan,AC Milan,Hellas Verona,2.74,0.54,A
2024-03-30,2024-03-30 Fiorentina-AC Milan,AC Milan,Fiorentina,3.1,1.38,A
2024-04-06,2024-04-06 AC Milan-Lecce,AC Milan,Lecce,1.49,0.53,H
2024-04-14,2024-04-14 Sassuolo-AC Milan,AC Milan,Sassuolo,2.84,1.19,A
2024-04-22,2024-04-22 AC Milan-Inter,AC Milan,Inter,2.17,2.05,H
2024-04-27,2024-04-27 Juventus-AC Milan,AC Milan,Juventus,0.31,1.48,A
2024-05-05,2024-05-05 AC Milan-Genoa,AC Milan,Genoa,2.8,0.96,H
2024-05-11,2024-05-11 AC Milan-Cagliari,AC Milan,Cagliari,3.3,1.5,H
2024-05-18,2024-05-18 Torino-AC Milan,AC Milan,Torino,1.96,0.94,A
2024-05-25,2024-05-25 AC Milan-Salernitana,AC Milan,Salernitana,2.99,1.66,H
