league,season,game,team,Accurate passes,Ball possession,Big chances,Big chances missed,Corners,Expected goals (xG),Fouls committed,Shots on target,Total shots,Accurate passes (%)
ITA-Serie A,2324,2023-08-21 Bologna-AC Milan,AC Milan,409,47,2,1,6,0.90,4,6,9,0.85
ITA-Serie A,2324,2023-08-21 Bologna-AC Milan,Bologna,481,53,0,0,3,1.06,10,5,17,0.89
ITA-Serie A,2324,2023-08-26 AC Milan-Torino,AC Milan,431,59,4,0,2,3.04,13,7,17,0.87
ITA-Serie A,2324,2023-08-26 AC Milan-Torino,Torino,272,41,0,0,1,0.48,16,1,8,0.81
ITA-Serie A,2324,2023-09-01 Roma-AC Milan,AC Milan,478,57,1,0,5,1.66,15,4,9,0.88
ITA-Serie A,2324,2023-09-01 Roma-AC Milan,Roma,336,43,1,1,3,0.71,14,2,13,0.84
ITA-Serie A,2324,2023-09-16 Inter-AC Milan,AC Milan,475,60,2,1,0,1.06,13,2,9,0.9
ITA-Serie A,2324,2023-09-16 Inter-AC Milan,Inter,282,40,4,1,5,2.65,16,7,14,0.83
ITA-Serie A,2324,2023-09-23 AC Milan-Hellas Verona,AC Milan,370,54,1,0,2,0.93,12,4,9,0.81
ITA-Serie A,2324,2023-09-23 AC Milan-Hellas Verona,Hellas Verona,280,46,2,2,3,0.62,11,2,10,0.75
ITA-Serie A,2324,2023-09-27 Cagliari-AC Milan,AC Milan,588,67,2,0,5,2.19,6,6,17,0.93
ITA-Serie A,2324,2023-09-27 Cagliari-AC Milan,Cagliari,253,33,0,0,3,0.88,13,6,16,0.82
ITA-Serie A,2324,2023-09-30 AC Milan-Lazio,AC Milan,410,50,3,1,7,2.24,15,7,14,0.86
ITA-Serie A,2324,2023-09-30 AC Milan-Lazio,Lazio,411,50,0,0,1,0.52,5,4,13,0.85
ITA-Serie A,2324,2023-10-07 Genoa-AC Milan,AC Milan,475,59,2,1,2,0.64,13,3,12,0.86
ITA-Serie A,2324,2023-10-07 Genoa-AC Milan,Genoa,308,41,0,0,3,0.56,10,1,7,0.81
ITA-Serie A,2324,2023-10-22 AC Milan-Juventus,AC Milan,363,52,0,0,6,0.31,12,1,7,0.84
ITA-Serie A,2324,2023-10-22 AC Milan-Juventus,Juventus,356,48,2,2,3,1.43,16,4,14,0.87
ITA-Serie A,2324,2023-10-29 SSC Napoli-AC Milan,AC Milan,404,52,2,1,4,2.06,10,6,20,0.85
ITA-Serie A,2324,2023-10-29 SSC Napoli-AC Milan,SSC Napoli,365,48,1,1,6,1.90,14,4,17,0.85
ITA-Serie A,2324,2023-11-04 AC Milan-Udinese,AC Milan,493,72,2,2,11,0.87,12,4,14,0.9
ITA-Serie A,2324,2023-11-04 AC Milan-Udinese,Udinese,155,28,3,2,5,1.45,14,2,12,0.73
ITA-Serie A,2324,2023-11-11 Lecce-AC Milan,AC Milan,364,55,4,2,1,1.11,16,6,10,0.83
ITA-Serie A,2324,2023-11-11 Lecce-AC Milan,Lecce,278,45,4,3,3,1.46,12,5,14,0.8
ITA-Serie A,2324,2023-11-25 AC Milan-Fiorentina,AC Milan,284,42,3,2,3,1.83,9,6,9,0.77
ITA-Serie A,2324,2023-11-25 AC Milan-Fiorentina,Fiorentina,414,58,1,1,11,1.99,10,4,21,0.83
ITA-Serie A,2324,2023-12-02 AC Milan-Frosinone,AC Milan,350,47,2,0,6,1.17,11,3,10,0.86
ITA-Serie A,2324,2023-12-02 AC Milan-Frosinone,Frosinone,393,53,1,1,7,0.72,6,3,15,0.85
ITA-Serie A,2324,2023-12-09 Atalanta-AC Milan,AC Milan,501,58,1,0,4,1.52,11,4,14,0.87
ITA-Serie A,2324,2023-12-09 Atalanta-AC Milan,Atalanta,349,42,5,3,6,3.33,11,7,19,0.84
