id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
228928,90,BlockedShot,0.7440000152587891,0.5790000152587891,0.02057819999754429,Rafael Leão,h,7193,OpenPlay,2018,LeftFoot,10715,Lille,Marseille,3,0,2018-09-30 19:00:00,Fode Toure,Pass
261056,23,SavedShot,0.87,0.485,0.11232999712228775,Rafael Leão,h,7193,OpenPlay,2018,LeftFoot,10747,Lille,Caen,1,0,2018-10-27 18:00:00,Nicolas Pepe,Pass
261058,55,Goal,0.87,0.37599998474121094,0.1185310035943985,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10747,Lille,Caen,1,0,2018-10-27 18:00:00,Nicolas Pepe,Throughball
261216,42,MissedShots,0.8830000305175781,0.7190000152587891,0.0392921008169651,Rafael Leão,a,7193,OpenPlay,2018,LeftFoot,10759,Paris Saint Germain,Lille,2,1,2018-11-02 19:45:00,Jonathan Ikone,Pass
262127,92,BlockedShot,0.9390000152587891,0.66,0.07345029711723328,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10771,Lille,Strasbourg,0,0,2018-11-09 19:45:00,,BallTouch
262545,27,MissedShots,0.7719999694824219,0.37099998474121093,0.023302899673581123,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10805,Lille,Reims,1,1,2018-12-09 16:00:00,Nicolas Pepe,Pass
262550,46,SavedShot,0.81,0.7609999847412109,0.022346200421452522,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10805,Lille,Reims,1,1,2018-12-09 16:00:00,Luiz Araujo,Pass
262640,3,Goal,0.9369999694824219,0.544000015258789,0.41266000270843506,Rafael Leão,a,7193,SetPiece,2018,Head,10821,Nimes,Lille,2,3,2018-12-16 14:00:00,,Rebound
262858,2,SavedShot,0.7519999694824219,0.6170000076293946,0.022843800485134125,Rafael Leão,h,7193,OpenPlay,2018,LeftFoot,10825,Lille,Toulouse,1,2,2018-12-22 19:00:00,Jonathan Ikone,Pass
262862,16,Goal,0.879000015258789,0.33,0.11653099954128265,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10825,Lille,Toulouse,1,2,2018-12-22 19:00:00,Thiago Maia,Throughball
282082,19,Goal,0.9519999694824218,0.3729999923706055,0.6478980183601379,Rafael Leão,a,7193,OpenPlay,2018,RightFoot,10840,Caen,Lille,1,3,2019-01-11 18:00:00,Nicolas Pepe,TakeOn
282087,46,MissedShots,0.9169999694824219,0.5879999923706055,0.3748460114002228,Rafael Leão,a,7193,OpenPlay,2018,RightFoot,10840,Caen,Lille,1,3,2019-01-11 18:00:00,Nicolas Pepe,Chipped
282088,54,SavedShot,0.7980000305175782,0.41200000762939454,0.05576840043067932,Rafael Leão,a,7193,OpenPlay,2018,RightFoot,10840,Caen,Lille,1,3,2019-01-11 18:00:00,,BallTouch
282447,25,MissedShots,0.8930000305175781,0.35200000762939454,0.05904030054807663,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10851,Lille,Amiens,2,1,2019-01-18 19:45:00,José Fonte,Chipped
282451,46,Goal,0.9269999694824219,0.4779999923706055,0.5449519753456116,Rafael Leão,h,7193,SetPiece,2018,LeftFoot,10851,Lille,Amiens,2,1,2019-01-18 19:45:00,,None
282453,55,BlockedShot,0.865999984741211,0.46,0.07940620183944702,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10851,Lille,Amiens,2,1,2019-01-18 19:45:00,,None
282458,74,SavedShot,0.9519999694824218,0.565,0.1387619972229004,Rafael Leão,h,7193,OpenPlay,2018,Head,10851,Lille,Amiens,2,1,2019-01-18 19:45:00,Jérémy Pied,Cross
282731,82,MissedShots,0.9219999694824219,0.6880000305175781,0.26609599590301514,Rafael Leão,a,7193,OpenPlay,2018,LeftFoot,10855,Marseille,Lille,1,2,2019-01-25 19:45:00,Jonathan Ikone,Pass
282963,6,Goal,0.9290000152587891,0.47200000762939454,0.549813985824585,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10864,Lille,Nice,4,0,2019-02-01 19:45:00,,None
282966,32,SavedShot,0.9030000305175782,0.5029999923706054,0.12080200016498566,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10864,Lille,Nice,4,0,2019-02-01 19:45:00,José Fonte,Cross
283270,29,ShotOnPost,0.9390000152587891,0.3120000076293945,0.07053279876708984,Rafael Leão,a,7193,OpenPlay,2018,RightFoot,10875,Guingamp,Lille,0,2,2019-02-10 16:00:00,Jonathan Ikone,TakeOn
283273,44,SavedShot,0.8159999847412109,0.3160000038146973,0.03314710035920143,Rafael Leão,a,7193,OpenPlay,2018,RightFoot,10875,Guingamp,Lille,0,2,2019-02-10 16:00:00,Thiago Mendes,Chipped
283274,46,Goal,0.8880000305175781,0.5279999923706055,0.1257140040397644,Rafael Leão,a,7193,OpenPlay,2018,RightFoot,10875,Guingamp,Lille,0,2,2019-02-10 16:00:00,Jonathan Ikone,Pass
283548,16,SavedShot,0.8959999847412109,0.5940000152587891,0.0345534011721611,Rafael Leão,h,7193,OpenPlay,2018,Head,10886,Lille,Montpellier,0,0,2019-02-17 14:00:00,Jérémy Pied,Cross
283550,19,BlockedShot,0.7709999847412109,0.42400001525878905,0.028330199420452118,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10886,Lille,Montpellier,0,0,2019-02-17 14:00:00,Nicolas Pepe,Pass
283693,20,SavedShot,0.9180000305175782,0.35200000762939454,0.1134129986166954,Rafael Leão,a,7193,OpenPlay,2018,RightFoot,10900,Strasbourg,Lille,1,1,2019-02-22 19:45:00,Nicolas Pepe,Throughball
284012,62,BlockedShot,0.9269999694824219,0.3529999923706055,0.10573700070381165,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10908,Lille,Dijon,1,0,2019-03-03 14:00:00,,None
284997,10,SavedShot,0.8680000305175781,0.5209999847412109,0.04860730096697807,Rafael Leão,a,7193,FromCorner,2018,RightFoot,10916,Saint-Etienne,Lille,0,1,2019-03-10 14:00:00,Jonathan Bamba,Cross
285000,33,BlockedShot,0.9059999847412109,0.4370000076293945,0.13056200742721558,Rafael Leão,a,7193,OpenPlay,2018,RightFoot,10916,Saint-Etienne,Lille,0,1,2019-03-10 14:00:00,Jonathan Ikone,Pass
285005,36,BlockedShot,0.889000015258789,0.445,0.09847089648246765,Rafael Leão,a,7193,FromCorner,2018,RightFoot,10916,Saint-Etienne,Lille,0,1,2019-03-10 14:00:00,,Rebound
285011,62,BlockedShot,0.8690000152587891,0.515,0.013326800428330898,Rafael Leão,a,7193,SetPiece,2018,Head,10916,Saint-Etienne,Lille,0,1,2019-03-10 14:00:00,Xeka,Aerial
285906,20,BlockedShot,0.8690000152587891,0.7169999694824218,0.039820000529289246,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10929,Lille,Monaco,0,1,2019-03-15 19:45:00,Jonathan Bamba,Pass
285917,59,SavedShot,0.905,0.28700000762939454,0.07720109820365906,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10929,Lille,Monaco,0,1,2019-03-15 19:45:00,Nicolas Pepe,Pass
288227,61,Goal,0.9690000152587891,0.5690000152587891,0.4794760048389435,Rafael Leão,a,7193,FromCorner,2018,RightFoot,10939,Nantes,Lille,2,3,2019-03-31 15:00:00,Adama Soumaoro,HeadPass
295860,21,MissedShots,0.9319999694824219,0.7169999694824218,0.04627259820699692,Rafael Leão,a,7193,OpenPlay,2018,LeftFoot,10971,Toulouse,Lille,0,0,2019-04-21 14:00:00,Boubakary Soumare,Pass
295867,49,MissedShots,0.9080000305175782,0.4779999923706055,0.05043160170316696,Rafael Leão,a,7193,OpenPlay,2018,Head,10971,Toulouse,Lille,0,0,2019-04-21 14:00:00,Youssouf Kone,Aerial
298013,72,SavedShot,0.8619999694824219,0.3120000076293945,0.13513100147247314,Rafael Leão,h,7193,OpenPlay,2018,RightFoot,10979,Lille,Nimes,5,0,2019-04-28 14:00:00,Nicolas Pepe,Throughball
322229,21,SavedShot,0.919000015258789,0.5329999923706055,0.13868099451065063,Rafael Leão,a,7193,OpenPlay,2019,Head,13138,Torino,AC Milan,2,1,2019-09-26 19:00:00,,None
322232,24,MissedShots,0.879000015258789,0.624000015258789,0.025214899331331253,Rafael Leão,a,7193,FromCorner,2019,RightFoot,13138,Torino,AC Milan,2,1,2019-09-26 19:00:00,,Aerial
323568,33,MissedShots,0.8859999847412109,0.48400001525878905,0.10741999745368958,Rafael Leão,h,7193,OpenPlay,2019,RightFoot,13143,AC Milan,Fiorentina,1,3,2019-09-29 18:45:00,Hakan Calhanoglu,Pass
323583,79,Goal,0.9169999694824219,0.6,0.22320100665092468,Rafael Leão,h,7193,OpenPlay,2019,LeftFoot,13143,AC Milan,Fiorentina,1,3,2019-09-29 18:45:00,Theo Hernández,TakeOn
324467,66,SavedShot,0.9359999847412109,0.5840000152587891,0.15586599707603455,Rafael Leão,a,7193,OpenPlay,2019,LeftFoot,13153,Genoa,AC Milan,1,2,2019-10-05 19:45:00,Franck Kessié,TakeOn
326584,0,SavedShot,0.91,0.6509999847412109,0.13549600541591644,Rafael Leão,h,7193,OpenPlay,2019,RightFoot,13163,AC Milan,Lecce,2,2,2019-10-20 19:45:00,Hakan Calhanoglu,TakeOn
326585,2,MissedShots,0.9059999847412109,0.675,0.11744700372219086,Rafael Leão,h,7193,OpenPlay,2019,LeftFoot,13163,AC Milan,Lecce,2,2,2019-10-20 19:45:00,Hakan Calhanoglu,Throughball
326595,23,BlockedShot,0.9169999694824219,0.53,0.14799000322818756,Rafael Leão,h,7193,OpenPlay,2019,RightFoot,13163,AC Milan,Lecce,2,2,2019-10-20 19:45:00,Theo Hernández,Pass
326605,56,MissedShots,0.9469999694824218,0.3240000152587891,0.1260949969291687,Rafael Leão,h,7193,OpenPlay,2019,RightFoot,13163,AC Milan,Lecce,2,2,2019-10-20 19:45:00,Suso,Throughball
328093,11,MissedShots,0.87,0.30700000762939456,0.038052599877119064,Rafael Leão,a,7193,OpenPlay,2019,LeftFoot,13176,Roma,AC Milan,2,1,2019-10-27 17:00:00,Hakan Calhanoglu,Pass
