team,opponent,result,num_occurences
Fiorentina,Ascoli,1.0,1.0
Fiorentina,Ascoli,3.0,3.0
Fiorentina,Atalanta,0.0,6.0
Fiorentina,Atalanta,1.0,9.0
Fiorentina,Atalanta,3.0,15.0
Fiorentina,Bari,0.0,1.0
Fiorentina,Bari,1.0,1.0
Fiorentina,Bari,3.0,2.0
Fiorentina,Benevento,0.0,1.0
Fiorentina,Benevento,3.0,3.0
Fiorentina,Bologna,0.0,3.0
Fiorentina,Bologna,1.0,9.0
Fiorentina,Bologna,3.0,14.0
Fiorentina,Brescia,1.0,3.0
Fiorentina,Brescia,3.0,1.0
Fiorentina,Cagliari,0.0,8.0
Fiorentina,Cagliari,1.0,9.0
Fiorentina,Cagliari,3.0,15.0
Fiorentina,Carpi,3.0,2.0
Fiorentina,Catania,0.0,3.0
Fiorentina,Catania,1.0,2.0
Fiorentina,Catania,3.0,11.0
Fiorentina,Cesena,1.0,2.0
Fiorentina,Cesena,3.0,4.0
Fiorentina,Chievo,0.0,5.0
Fiorentina,Chievo,1.0,2.0
Fiorentina,Chievo,3.0,19.0
Fiorentina,Crotone,0.0,1.0
Fiorentina,Crotone,1.0,2.0
Fiorentina,Crotone,3.0,3.0
Fiorentina,Empoli,0.0,4.0
Fiorentina,Empoli,1.0,3.0
Fiorentina,Empoli,3.0,9.0
Fiorentina,Frosinone,0.0,1.0
Fiorentina,Frosinone,1.0,2.0
Fiorentina,Frosinone,3.0,1.0
Fiorentina,Genoa,0.0,3.0
Fiorentina,Genoa,1.0,15.0
Fiorentina,Genoa,3.0,12.0
Fiorentina,Inter,0.0,19.0
Fiorentina,Inter,1.0,8.0
Fiorentina,Inter,3.0,7.0
Fiorentina,Juventus,0.0,17.0
Fiorentina,Juventus,1.0,10.0
Fiorentina,Juventus,3.0,5.0
Fiorentina,Lazio,0.0,19.0
Fiorentina,Lazio,1.0,5.0
Fiorentina,Lazio,3.0,10.0
Fiorentina,Lecce,0.0,4.0
Fiorentina,Lecce,1.0,2.0
Fiorentina,Lecce,3.0,4.0
Fiorentina,Livorno,0.0,2.0
Fiorentina,Livorno,3.0,8.0
Fiorentina,Messina,1.0,2.0
Fiorentina,Messina,3.0,2.0
Fiorentina,Milan,0.0,16.0
Fiorentina,Milan,1.0,9.0
Fiorentina,Milan,3.0,9.0
Fiorentina,Napoli,0.0,15.0
Fiorentina,Napoli,1.0,8.0
Fiorentina,Napoli,3.0,7.0
Fiorentina,Novara,1.0,1.0
Fiorentina,Novara,3.0,1.0
Fiorentina,Palermo,0.0,8.0
Fiorentina,Palermo,1.0,3.0
Fiorentina,Palermo,3.0,11.0
Fiorentina,Parma,0.0,5.0
Fiorentina,Parma,1.0,9.0
Fiorentina,Parma,3.0,10.0
Fiorentina,Pescara,0.0,1.0
Fiorentina,Pescara,1.0,1.0
Fiorentina,Pescara,3.0,2.0
Fiorentina,Reggina,1.0,4.0
Fiorentina,Reggina,3.0,4.0
Fiorentina,Roma,0.0,20.0
Fiorentina,Roma,1.0,8.0
Fiorentina,Roma,3.0,6.0
Fiorentina,Salernitana,0.0,1.0
Fiorentina,Salernitana,3.0,1.0
Fiorentina,Sampdoria,0.0,9.0
Fiorentina,Sampdoria,1.0,11.0
Fiorentina,Sampdoria,3.0,12.0
Fiorentina,Sassuolo,0.0,6.0
Fiorentina,Sassuolo,1.0,6.0
Fiorentina,Sassuolo,3.0,6.0
Fiorentina,Siena,0.0,2.0
Fiorentina,Siena,1.0,3.0
Fiorentina,Siena,3.0,9.0
Fiorentina,Spal,1.0,2.0
Fiorentina,Spal,3.0,4.0
Fiorentina,Spezia,1.0,1.0
Fiorentina,Spezia,3.0,3.0
Fiorentina,Torino,0.0,4.0
Fiorentina,Torino,1.0,9.0
Fiorentina,Torino,3.0,13.0
Fiorentina,Treviso,3.0,2.0
Fiorentina,Udinese,0.0,11.0
Fiorentina,Udinese,1.0,5.0
Fiorentina,Udinese,3.0,18.0
Fiorentina,Venezia,0.0,1.0
Fiorentina,Venezia,3.0,1.0
Fiorentina,Verona,0.0,3.0
Fiorentina,Verona,1.0,5.0
Fiorentina,Verona,3.0,6.0
Livorno,Ascoli,1.0,2.0
Livorno,Ascoli,3.0,2.0
Livorno,Atalanta,0.0,4.0
Livorno,Atalanta,1.0,1.0
Livorno,Atalanta,3.0,3.0
Livorno,Bari,0.0,1.0
Livorno,Bari,1.0,1.0
Livorno,Bologna,0.0,3.0
Livorno,Bologna,3.0,1.0
Livorno,Cagliari,0.0,3.0
Livorno,Cagliari,1.0,5.0
Livorno,Cagliari,3.0,2.0
Livorno,Catania,0.0,2.0
Livorno,Catania,1.0,1.0
