Date,Comp,Round,Day,Venue,Result,Gf,Ga,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,Fk,Pk,Pkatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,For/Against
2024-08-17,Serie A,1,Sat,Away,D,2,2,Torino,1,7,3,42.9,0.14,0.33,16.3,0,0,0,1.0,1.0,0.14,0.0,0.0,Against
2024-08-24,Serie A,2,Sat,Home,W,2,1,Parma,2,9,5,55.6,0.22,0.40,15.6,0,0,0,1.7,1.7,0.19,+0.3,+0.3,Against
2024-08-31,Serie A,3,Sat,Home,D,2,2,Lazio,2,7,4,57.1,0.29,0.50,9.3,0,0,0,2.1,2.1,0.30,-0.1,-0.1,Against
2024-09-14,Serie A,4,Sat,Away,L,0,4,Venezia,0,6,1,16.7,0.00,0.00,24.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Against
2024-09-17,Champions Lg,League phase,Tue,Away,W,3,1,eng Liverpool,3,23,11,47.8,0.13,0.27,15.7,1,0,0,3.1,3.1,0.14,-0.1,-0.1,Against
2024-09-22,Serie A,5,Sun,Home,L,1,2,Inter,1,13,4,30.8,0.08,0.25,17.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Against
2024-09-27,Serie A,6,Fri,Away,L,0,3,Lecce,0,16,7,43.8,0.00,0.00,19.2,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Against
2024-10-01,Champions Lg,League phase,Tue,Home,W,1,0,de Leverkusen,1,16,9,56.3,0.06,0.11,17.2,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Against
2024-10-06,Serie A,7,Sun,Home,W,2,1,Fiorentina,2,11,2,18.2,0.18,1.00,20.6,1,0,1,1.5,0.7,0.06,+0.5,+1.3,Against
