50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,18870a41-fdf1-4fdc-98ca-9ac84dac4d6f,1,,,3750200,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 34393, 'name': 'Nelson de Jesus da Silva'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19877, 'name': 'Massimo Oddo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 44}, {'player': {'id': 15778, 'name': 'Alessandro Nesta'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 15116, 'name': 'Paolo Maldini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17961, 'name': 'Marek Jankulovski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 19849, 'name': 'Andrea Pirlo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 17607, 'name': 'Massimo Ambrosini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 20142, 'name': 'Ivan Gennaro Gattuso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26712, 'name': 'Ricardo Izecson dos Santos Leite'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 15046, 'name': 'Clarence Seedorf'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15781, 'name': 'Filippo Inzaghi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c65ddb1d-9913-499e-a388-b3478ee99552,2,,,3750200,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 34392, 'name': 'Steve Finnan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 34388, 'name': 'Jamie Carragher'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20197, 'name': 'Daniel Munthe Agger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 34386, 'name': 'John Arne Semundseth Riise'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 26649, 'name': 'Jermaine Pennant'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 19109, 'name': 'Steven Gerrard'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 17793, 'name': 'Boudewijn Zenden'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 32}, {'player': {'id': 20195, 'name': 'Dirk Kuijt'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Liverpool,24,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce1792ff-3293-4a6f-9176-3caa19e32484,3,,,3750200,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['0330e5bb-fe01-4595-b4ad-6b9819de58fb'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0330e5bb-fe01-4595-b4ad-6b9819de58fb,4,,,3750200,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['ce1792ff-3293-4a6f-9176-3caa19e32484'],0,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.284768,,,,,,,,,,,,,20635778-bfb6-4656-9b13-f49f4df8b4e0,5,,"[61.0, 40.1]",3750200,0,,,,,1.5182133,,Right Foot,,,"[61.1, 42.0]",,Ground Pass,1.9026297,,,,Dirk Kuijt,20195.0,,,,,,Kick Off,1,From Kick Off,Steven Gerrard,19109.0,Center Attacking Midfield,2,Liverpool,24,['0b8357dc-f175-4f9e-b6cb-f5d0ba7b7ec0'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.399,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0b8357dc-f175-4f9e-b6cb-f5d0ba7b7ec0,6,,"[61.1, 42.0]",3750200,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Dirk Kuijt,20195.0,Center Forward,2,Liverpool,24,['20635778-bfb6-4656-9b13-f49f4df8b4e0'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.684,Ball Receipt*,
,,,,,,,,,,,,,,,,1.100363,,,,,,,,,,,,,18d4ee62-2e23-465b-8155-fd7cf71f30ed,7,,"[62.0, 42.3]",3750200,0,,,,,3.132069,,Right Foot,,,"[51.5, 42.4]",,Ground Pass,10.500476,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Kick Off,Dirk Kuijt,20195.0,Center Forward,2,Liverpool,24,['fa03a4da-6c79-477c-acea-7a61929a7da3'],0,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:00.684,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fa03a4da-6c79-477c-acea-7a61929a7da3,8,,"[51.5, 42.4]",3750200,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Left Center Midfield,2,Liverpool,24,['18d4ee62-2e23-465b-8155-fd7cf71f30ed'],1,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.785,Ball Receipt*,
,,,,"[48.9, 42.6]",,,,,,,,,,,,0.942678,,,,,,,,,,,,,fc5fbae6-931e-477b-8829-2ee5483e142b,9,,"[51.5, 42.4]",3750200,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Left Center Midfield,2,Liverpool,24,"['0aef19ae-d639-4bb4-a4c0-a1d9768b8e4b', 'fa03a4da-6c79-477c-acea-7a61929a7da3']",1,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:01.785,Carry,
,,,,,,,,,,,,,,,,1.63278,,,,,,,,,,,,,0aef19ae-d639-4bb4-a4c0-a1d9768b8e4b,10,,"[48.9, 42.6]",3750200,0,,,,,1.323699,,Right Foot,,,"[57.3, 75.9]",,Ground Pass,34.34312,,,,Jermaine Pennant,26649.0,,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Left Center Midfield,2,Liverpool,24,['12a1ce21-2c70-4a2b-a5f4-702599d0c6a0'],2,,,,,,,,,,,,,,,,,,,Liverpool,24,00:00:02.727,Pass,
