Player,Nation,Squad,Age,Position,League,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicked,Yellow Cards,Red Cards,xG,Non-Penalty xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received
Sergio Akieme,ESP,Almería,25,DF,La Liga,19,19,1675,18.6,0.10746268656716418,0.0,0.10746268656716418,0.10746268656716418,0.0,0.0,0.10746268656716418,0.0,0.0644776119402985,0.0644776119402985,0.1182089552238806,0.1773134328358209,1.4507462686567165,1.5044776119402983,3.86865671641791
Sergio Akieme,ESP,Reims,25,DF,Ligue 1,13,8,818,9.1,0.2200488997555012,0.0,0.2200488997555012,0.2200488997555012,0.0,0.0,0.2200488997555012,0.0,0.15403422982885084,0.15403422982885084,0.04400977995110025,0.1980440097799511,2.2004889975550124,2.2004889975550124,3.7408312958435204
Kevin Akpoguma,NGA,Hoffenheim,28,DF,Bundesliga,17,11,1097,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5742935278030994,0.0,0.024612579762989972,0.024612579762989972,0.024612579762989972,0.049225159525979945,0.820419325432999,4.512306289881495,0.7383773928896992
David Alaba,AUT,Real Madrid,31,DF,La Liga,14,14,1154,12.8,0.0,0.0779896013864818,0.0779896013864818,0.0,0.0,0.0,0.1559792027729636,0.0,0.0779896013864818,0.0779896013864818,0.05459272097053726,0.12478336221837089,0.7019064124783362,3.977469670710572,1.0138648180242635
Raúl Albiol,ESP,Villarreal,37,DF,La Liga,26,24,2031,22.6,0.0,0.044313146233382575,0.044313146233382575,0.0,0.0,0.0,0.2658788774002954,0.0,0.01772525849335303,0.01772525849335303,0.03545051698670606,0.057607090103397346,0.3545051698670606,2.7474150664697192,0.0
Omar Alderete,PAR,Getafe,26,DF,La Liga,31,24,2195,24.4,0.0,0.04100227790432802,0.04100227790432802,0.0,0.0,0.0,0.32801822323462415,0.04100227790432802,0.04920273348519363,0.04920273348519363,0.04100227790432802,0.09020501138952164,0.9430523917995445,4.018223234624146,0.3690205011389522
Trent Alexander-Arnold,ENG,Liverpool,24,DF,Premier League,28,25,2155,23.9,0.12529002320185614,0.16705336426914152,0.2923433874709977,0.12529002320185614,0.0,0.0,0.2505800464037123,0.0,0.10858468677494199,0.09605568445475637,0.3006960556844548,0.3967517401392111,1.8793503480278422,8.561484918793504,4.0510440835266825
Marcos Alonso,ESP,Barcelona,32,DF,La Liga,5,3,252,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.17857142857142855,0.21428571428571427,3.9285714285714284,5.0,11.785714285714286
Adrià Altimira,ESP,Villarreal,22,DF,La Liga,11,10,775,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.34838709677419355,0.0,0.0,0.0,0.011612903225806452,0.011612903225806452,1.1612903225806452,3.3677419354838714,1.7419354838709677
Gastón Álvarez,URU,Getafe,23,DF,La Liga,34,29,2537,28.2,0.07094994087504927,0.0,0.07094994087504927,0.07094994087504927,0.0,0.0,0.24832479306267247,0.0,0.024832479306267242,0.024832479306267242,0.021284982262514778,0.049664958612534484,0.39022467481277096,2.234923137564052,1.4189988175009856
Yeray Álvarez,ESP,Athletic Club,28,DF,La Liga,19,14,1152,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.078125,0.078125,0.0234375,0.0234375,0.0078125,0.03125,1.015625,4.296875,0.15625
Jordan Amavi,FRA,Brest,29,DF,Ligue 1,2,1,91,1.0,0.989010989010989,0.0,0.989010989010989,0.989010989010989,0.0,0.0,0.989010989010989,0.0,0.0989010989010989,0.0989010989010989,0.0,0.0989010989010989,0.0,1.978021978021978,0.989010989010989
Kelvin Amian,FRA,Nantes,25,DF,Ligue 1,12,11,798,8.9,0.0,0.11278195488721804,0.11278195488721804,0.0,0.0,0.0,0.22556390977443608,0.0,0.011278195488721804,0.011278195488721804,0.06766917293233082,0.06766917293233082,1.3533834586466165,3.1578947368421053,2.3684210526315788
Bruno Amione,ARG,Hellas Verona,21,DF,Serie A,10,7,579,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.31088082901554404,0.0,0.046632124352331605,0.046632124352331605,0.0,0.046632124352331605,0.31088082901554404,2.6424870466321244,0.31088082901554404
Michael Amir Murillo,PAN,Marseille,27,DF,Ligue 1,16,10,997,11.1,0.27081243731193577,0.18054162487462388,0.45135406218655966,0.27081243731193577,0.0,0.0,0.27081243731193577,0.0,0.07221664994984955,0.07221664994984955,0.10832497492477433,0.18054162487462388,0.5416248746238715,3.159478435305918,4.694082246740221
Joachim Andersen,DEN,Crystal Palace,27,DF,Premier League,38,38,3415,37.9,0.0527086383601757,0.07906295754026355,0.13177159590043924,0.0527086383601757,0.0,0.0,0.18448023426061494,0.0,0.044802342606149334,0.044802342606149334,0.07379209370424597,0.1185944363103953,0.5534407027818448,3.8740849194729137,0.2635431918008785
Miguel Ángel Rubio,ESP,Granada,25,DF,La Liga,19,17,1560,17.3,0.057692307692307696,0.0,0.057692307692307696,0.057692307692307696,0.0,0.0,0.28846153846153844,0.0,0.046153846153846156,0.046153846153846156,0.0057692307692307696,0.051923076923076926,0.4038461538461538,1.5576923076923077,0.057692307692307696
Angeliño,ESP,Roma,26,DF,Serie A,16,14,1141,12.7,0.0,0.07887817703768624,0.07887817703768624,0.0,0.0,0.0,0.15775635407537247,0.0,0.015775635407537247,0.015775635407537247,0.12620508326029797,0.1340929009640666,0.946538124452235,3.1551270815074495,4.338299737072743
Fabrizio Angileri,ARG,Getafe,29,DF,La Liga,11,2,164,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0975609756097562,0.5487804878048781,0.0,0.0,0.7134146341463414,0.7134146341463414,1.0975609756097562,3.8414634146341466,3.292682926829268
Waldemar Anton,GER,Stuttgart,27,DF,Bundesliga,33,32,2886,32.1,0.0,0.09355509355509356,0.09355509355509356,0.0,0.0,0.0,0.21829521829521828,0.0,0.05301455301455302,0.05301455301455302,0.031185031185031187,0.0841995841995842,1.185031185031185,5.363825363825364,0.4677754677754678
Jon Aramburu,VEN,Real Sociedad,21,DF,La Liga,11,5,543,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49723756906077343,0.0,0.01657458563535912,0.01657458563535912,0.0,0.01657458563535912,0.9944751381215469,4.30939226519337,4.143646408839779
Julian Araujo,MEX,Las Palmas,21,DF,La Liga,25,15,1462,16.2,0.06155950752393981,0.0,0.06155950752393981,0.06155950752393981,0.0,0.0,0.307797537619699,0.0,0.043091655266757865,0.043091655266757865,0.07387140902872777,0.11696306429548564,1.4158686730506156,4.555403556771545,2.893296853625171
Ronald Araújo,URU,Barcelona,24,DF,La Liga,25,21,1997,22.2,0.04506760140210315,0.0901352028042063,0.13520280420630948,0.04506760140210315,0.0,0.0,0.27040560841261896,0.0,0.09464196294441662,0.09464196294441662,0.06309464196294441,0.15773660490736105,1.0816224336504758,4.551827741612418,0.4957436154231347
Jesús Areso,ESP,Osasuna,24,DF,La Liga,37,29,2660,29.6,0.03383458646616542,0.2030075187969925,0.23684210526315788,0.03383458646616542,0.0,0.0,0.10150375939849625,0.0,0.0067669172932330835,0.0067669172932330835,0.1218045112781955,0.12857142857142856,2.6390977443609023,3.586466165413534,6.090225563909774
Iñigo Arguibide,ESP,Osasuna,18,DF,La Liga,1,0,17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoël Armougom,FRA,Clermont Foot,25,DF,Ligue 1,5,2,234,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.11538461538461539,0.11538461538461539,2.3076923076923075,4.615384615384615,9.615384615384615
Arthur,BRA,Leverkusen,20,DF,Bundesliga,4,2,184,2.0,0.0,0.9782608695652174,0.9782608695652174,0.0,0.0,0.0,0.0,0.0,0.04891304347826087,0.04891304347826087,0.1467391304347826,0.1956521739130435,3.9130434782608696,3.423913043478261,13.695652173913045
Lorenz Assignon,TOG,Burnley,23,DF,Premier League,15,15,1234,13.7,0.07293354943273905,0.1458670988654781,0.2188006482982172,0.07293354943273905,0.0,0.0,0.36466774716369527,0.07293354943273905,0.029173419773095628,0.029173419773095628,0.18962722852512157,0.2188006482982172,2.771474878444084,2.479740680713128,4.157212317666127
Lorenz Assignon,TOG,Rennes,23,DF,Ligue 1,14,12,1011,11.2,0.08902077151335311,0.08902077151335311,0.17804154302670622,0.08902077151335311,0.0,0.0,0.35608308605341243,0.0,0.03560830860534125,0.03560830860534125,0.16023738872403562,0.19584569732937687,2.492581602373887,4.540059347181009,5.964391691394659
Youcef Atal,ALG,Nice,27,DF,Ligue 1,6,5,359,4.0,0.25069637883008355,0.0,0.25069637883008355,0.25069637883008355,0.0,0.0,0.5013927576601671,0.0,0.025069637883008356,0.025069637883008356,0.20055710306406685,0.22562674094707522,2.256267409470752,3.7604456824512535,1.2534818941504178
Tommaso Augello,ITA,Cagliari,28,DF,Serie A,32,28,2418,26.9,0.03722084367245657,0.03722084367245657,0.07444168734491315,0.03722084367245657,0.0,0.0,0.18610421836228289,0.0,0.018610421836228287,0.018610421836228287,0.07444168734491315,0.09305210918114144,2.3076923076923075,3.5732009925558312,3.684863523573201
Carlos Augusto,BRA,Inter,24,DF,Serie A,37,14,1725,19.2,0.0,0.1565217391304348,0.1565217391304348,0.0,0.0,0.0,0.05217391304347826,0.0,0.05217391304347826,0.05217391304347826,0.14608695652173914,0.2034782608695652,2.1913043478260867,2.8173913043478263,4.591304347826087
Yann Aurel Bisseck,GER,Inter,22,DF,Serie A,16,9,904,10.0,0.19911504424778761,0.0,0.19911504424778761,0.19911504424778761,0.0,0.0,0.0,0.0,0.08960176991150443,0.08960176991150443,0.049778761061946904,0.13938053097345132,2.3893805309734515,2.9867256637168142,1.991150442477876
Serge Aurier,CIV,Nott'ham Forest,30,DF,Premier League,12,10,833,9.3,0.0,0.2160864345738295,0.2160864345738295,0.0,0.0,0.0,0.2160864345738295,0.0,0.021608643457382955,0.021608643457382955,0.054021608643457376,0.06482593037214886,1.0804321728691477,5.078031212484994,3.133253301320528
César Azpilicueta,ESP,Atlético Madrid,33,DF,La Liga,25,14,1423,15.8,0.0,0.12649332396345747,0.12649332396345747,0.0,0.0,0.0,0.25298664792691494,0.0,0.03794799718903724,0.03794799718903724,0.15179198875614897,0.1897399859451862,2.466619817287421,4.869992972593113,2.466619817287421
Paulo Azzi,BRA,Cagliari,29,DF,Serie A,25,9,950,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.09473684210526316,0.0,0.11368421052631579,0.11368421052631579,0.0663157894736842,0.18,4.4526315789473685,3.31578947368421,3.9789473684210526
Srđan Babić,SRB,Almería,27,DF,La Liga,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0
Loïc Bade,FRA,Sevilla,23,DF,La Liga,28,27,2277,25.3,0.0,0.039525691699604744,0.039525691699604744,0.0,0.0,0.0,0.1976284584980237,0.039525691699604744,0.03557312252964427,0.03557312252964427,0.019762845849802372,0.05138339920948616,0.5928853754940712,3.003952569169961,0.11857707509881424
Matthias Bader,GER,Darmstadt 98,26,DF,Bundesliga,24,21,1802,20.0,0.049944506104328525,0.09988901220865705,0.14983351831298555,0.049944506104328525,0.0,0.0,0.049944506104328525,0.0,0.03496115427302997,0.03496115427302997,0.11487236403995559,0.14983351831298555,1.897891231964484,3.346281908990011,3.2963374028856824
Benoît Badiashile,FRA,Chelsea,22,DF,Premier League,18,15,1338,14.9,0.0,0.06726457399103139,0.06726457399103139,0.0,0.0,0.0,0.20179372197309417,0.0,0.020179372197309416,0.020179372197309416,0.10089686098654709,0.1210762331838565,0.20179372197309417,3.0941704035874436,0.20179372197309417
Eric Bailly,CIV,Villarreal,29,DF,La Liga,10,9,839,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.42908224076281287,0.0,0.021454112038140644,0.021454112038140644,0.0,0.021454112038140644,0.3218116805721096,1.930870083432658,0.10727056019070322
Mitchel Bakker,NED,Atalanta,23,DF,Serie A,14,3,382,4.2,0.23560209424083772,0.0,0.23560209424083772,0.23560209424083772,0.0,0.0,0.23560209424083772,0.0,0.04712041884816755,0.04712041884816755,0.023560209424083774,0.0706806282722513,2.827225130890052,2.356020942408377,4.712041884816754
Ridle Baku,GER,Wolfsburg,25,DF,Bundesliga,33,22,2013,22.4,0.044709388971684055,0.0,0.044709388971684055,0.044709388971684055,0.0,0.0,0.17883755588673622,0.0,0.08047690014903129,0.08047690014903129,0.13412816691505217,0.21460506706408344,1.65424739195231,3.8002980625931446,5.812220566318927
Alejandro Balde,ESP,Barcelona,19,DF,La Liga,18,15,1378,15.3,0.0,0.06531204644412192,0.06531204644412192,0.0,0.0,0.0,0.06531204644412192,0.0,0.0065312046444121925,0.0065312046444121925,0.0783744557329463,0.09143686502177067,4.7677793904209,2.6777939042089987,9.20899854862119
George Baldock,GRE,Sheffield Utd,30,DF,Premier League,13,11,969,10.8,0.0,0.09287925696594426,0.09287925696594426,0.0,0.0,0.0,0.37151702786377705,0.0,0.0,0.0,0.07430340557275543,0.07430340557275543,0.8359133126934984,2.8792569659442724,2.2291021671826625
Leonardo Balerdi,ARG,Marseille,24,DF,Ligue 1,27,26,2271,25.2,0.07926023778071334,0.0,0.07926023778071334,0.07926023778071334,0.0,0.0,0.23778071334214002,0.03963011889035667,0.035667107001321,0.035667107001321,0.007926023778071336,0.03963011889035667,0.7529722589167768,4.834874504623514,0.23778071334214002
Iván Balliu,ALB,Rayo Vallecano,31,DF,La Liga,33,32,2873,31.9,0.0,0.03132613992342499,0.03132613992342499,0.0,0.0,0.0,0.12530455969369997,0.0,0.02192829794639749,0.02192829794639749,0.08144796380090498,0.10337626174730245,1.5663069961712495,3.0699617124956493,3.132613992342499
Fodé Ballo-Touré,SEN,Fulham,26,DF,Premier League,6,0,71,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.267605633802817,0.0,0.0,0.0,0.0,0.0,6.338028169014085,0.0,5.070422535211268
Mattia Bani,ITA,Genoa,29,DF,Serie A,27,27,2306,25.6,0.07805724197745013,0.0,0.07805724197745013,0.07805724197745013,0.0,0.0,0.3512575888985256,0.0,0.04683434518647008,0.04683434518647008,0.0039028620988725065,0.05073720728534259,0.1951431049436253,1.4440589765828273,0.15611448395490027
Valentín Barco,ARG,Brighton,19,DF,Premier League,6,3,307,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2931596091205212,0.0,0.05863192182410424,0.05863192182410424,0.05863192182410424,0.11726384364820848,2.3452768729641695,4.1042345276872965,5.863192182410423
Melvin Bard,FRA,Nice,22,DF,Ligue 1,32,31,2654,29.5,0.03391107761868877,0.06782215523737754,0.10173323285606632,0.03391107761868877,0.0,0.0,0.2373775433308214,0.03391107761868877,0.016955538809344386,0.016955538809344386,0.09495101733232855,0.11529766390354183,2.0346646571213265,3.7641296156744537,3.3571966842501886
Davide Bartesaghi,ITA,Milan,17,DF,Serie A,6,0,79,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139240506329114,3.4177215189873418,4.556962025316456
Marc Bartra,ESP,Betis,32,DF,La Liga,3,3,225,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.08,0.08,0.0,0.08,0.8,2.0,0.0
Federico Baschirotto,ITA,Lecce,26,DF,Serie A,37,37,3294,36.6,0.0,0.027322404371584702,0.027322404371584702,0.0,0.0,0.0,0.08196721311475409,0.027322404371584702,0.04644808743169399,0.040983606557377046,0.01912568306010929,0.05737704918032787,0.7650273224043715,2.622950819672131,0.08196721311475409
Steven Baseya,FRA,Strasbourg,18,DF,Ligue 1,2,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Basham,ENG,Sheffield Utd,35,DF,Premier League,8,3,321,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2803738317757009,0.0,0.028037383177570093,0.028037383177570093,0.08411214953271028,0.11214953271028037,0.2803738317757009,1.9626168224299065,1.6822429906542056
Calvin Bassey,NGA,Fulham,23,DF,Premier League,29,25,2303,25.6,0.03907946157186279,0.0,0.03907946157186279,0.03907946157186279,0.0,0.0,0.2344767694311767,0.03907946157186279,0.011723838471558836,0.011723838471558836,0.0,0.015631784628745114,0.5861919235779418,2.422926617455493,0.15631784628745116
Alessandro Bastoni,ITA,Inter,24,DF,Serie A,28,28,2268,25.2,0.03968253968253968,0.11904761904761904,0.15873015873015872,0.03968253968253968,0.0,0.0,0.1984126984126984,0.0,0.04761904761904761,0.04761904761904761,0.1349206349206349,0.18253968253968253,2.5,5.634920634920634,3.0555555555555554
Maximilian Bauer,GER,Augsburg,23,DF,Bundesliga,14,9,810,9.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.33333333333333337,0.0,0.15555555555555556,0.15555555555555556,0.0,0.15555555555555556,0.2222222222222222,2.7777777777777777,0.1111111111111111
Elias Baum,GER,Eint Frankfurt,17,DF,Bundesliga,4,0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571428
Owen Beck,WAL,Liverpool,20,DF,Premier League,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25
Donny van de Beek,NED,Manchester Utd,26,DF,Premier League,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,30.0
Amari'i Bell,JAM,Luton Town,29,DF,Premier League,21,21,1720,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015697674418604653,0.015697674418604653,0.026162790697674417,0.03662790697674418,1.6744186046511627,3.9767441860465116,0.5232558139534884
Stefan Bell,GER,Mainz 05,31,DF,Bundesliga,10,8,666,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.40540540540540543,0.0,0.027027027027027032,0.027027027027027032,0.013513513513513516,0.04054054054054054,0.0,3.108108108108108,0.2702702702702703
Raoul Bellanova,ITA,Torino,23,DF,Serie A,37,36,3046,33.8,0.02954694681549573,0.20682862770847013,0.23637557452396585,0.02954694681549573,0.0,0.0,0.14773473407747867,0.0,0.05909389363099146,0.05909389363099146,0.14773473407747867,0.2097833223900197,4.166119500984898,2.8956007879185814,5.968483256730138
Héctor Bellerín,ESP,Betis,28,DF,La Liga,23,20,1711,19.0,0.0,0.05260081823495032,0.05260081823495032,0.0,0.0,0.0,0.0,0.05260081823495032,0.010520163646990065,0.010520163646990065,0.08416130917592052,0.08942139099941554,1.6832261835184101,4.260666277030976,4.208065458796026
Jeanuël Belocian,FRA,Rennes,18,DF,Ligue 1,23,16,1448,16.1,0.0,0.06215469613259668,0.06215469613259668,0.0,0.0,0.0,0.0,0.0,0.03107734806629834,0.03107734806629834,0.024861878453038676,0.05593922651933702,0.9944751381215469,3.729281767955801,2.2997237569060776
Ramy Bensebaini,ALG,Dortmund,28,DF,Bundesliga,17,11,1033,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34849951597289447,0.08712487899322362,0.14811229428848016,0.14811229428848016,0.03484995159728945,0.18296224588576962,1.4811229428848014,6.534365924491771,5.488867376573088
Lucas Beraldo,BRA,Paris S-G,19,DF,Ligue 1,13,12,1008,11.2,0.08928571428571427,0.0,0.08928571428571427,0.08928571428571427,0.0,0.0,0.3571428571428571,0.08928571428571427,0.08928571428571427,0.08928571428571427,0.017857142857142856,0.10714285714285714,0.625,3.9285714285714284,0.17857142857142855
Yuri Berchiche,ESP,Athletic Club,33,DF,La Liga,27,22,1930,21.4,0.13989637305699482,0.046632124352331605,0.18652849740932642,0.13989637305699482,0.0,0.0,0.23316062176165803,0.0,0.04196891191709844,0.03264248704663212,0.07461139896373058,0.11191709844559584,1.6787564766839376,6.155440414507772,3.5906735751295336
Bartosz Bereszyński,POL,Empoli,31,DF,Serie A,24,22,1762,19.6,0.0,0.0510783200908059,0.0510783200908059,0.0,0.0,0.0,0.1532349602724177,0.0,0.00510783200908059,0.00510783200908059,0.01532349602724177,0.02043132803632236,0.7661748013620885,3.524404086265607,0.9194097616345063
Bernardo,BRA,Bochum,28,DF,Bundesliga,33,33,2924,32.5,0.030779753761969904,0.0,0.030779753761969904,0.030779753761969904,0.0,0.0,0.2770177838577291,0.0,0.05848153214774282,0.05848153214774282,0.015389876880984952,0.07387140902872777,0.8002735978112175,3.909028727770178,1.1696306429548564
Victor Bernth Kristiansen,DEN,Bologna,20,DF,Serie A,32,26,2307,25.6,0.0,0.11703511053315994,0.11703511053315994,0.0,0.0,0.0,0.15604681404421325,0.0,0.011703511053315994,0.011703511053315994,0.09362808842652795,0.10143042912873863,0.8972691807542262,4.798439531859558,2.8868660598179456
