Player,Nation,Squad,Age,Position,League,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicked,Yellow Cards,Red Cards,xG,Non-Penalty xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received
Max Aarons,ENG,Bournemouth,23,DF,Premier League,20,13,1237,13.7,0.0,0.07275666936135812,0.07275666936135812,0.0,0.0,0.0,0.07275666936135812,0.0,0.0,0.0,0.058205335489086504,0.06548100242522231,1.600646725949879,3.1285367825383994,1.8916734033953113
Yunis Abdelhamid,MAR,Reims,35,DF,Ligue 1,31,31,2781,30.9,0.12944983818770225,0.0,0.12944983818770225,0.09708737864077668,0.032362459546925564,0.032362459546925564,0.16181229773462782,0.0,0.11003236245954694,0.08414239482200649,0.00970873786407767,0.09385113268608414,1.1650485436893205,4.433656957928803,0.29126213592233013
Nabil Aberdin,FRA,Getafe,20,DF,La Liga,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
Abner,BRA,Betis,23,DF,La Liga,23,15,1400,15.6,0.0,0.06428571428571428,0.06428571428571428,0.0,0.0,0.0,0.19285714285714287,0.0,0.006428571428571429,0.006428571428571429,0.06428571428571428,0.07071428571428572,0.9,2.1214285714285714,3.728571428571428
Abdel Abqar,MAR,Alavés,24,DF,La Liga,27,27,2312,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3892733564013841,0.0,0.019463667820069204,0.019463667820069204,0.007785467128027683,0.023356401384083042,0.27249134948096887,1.9074394463667819,0.03892733564013841
Francesco Acerbi,ITA,Inter,35,DF,Serie A,29,26,2388,26.5,0.11306532663316583,0.03768844221105528,0.15075376884422112,0.11306532663316583,0.0,0.0,0.03768844221105528,0.0,0.06030150753768845,0.06030150753768845,0.0678391959798995,0.12814070351758794,0.7914572864321608,3.278894472361809,0.9045226130653267
Joshua Acheampong,ENG,Chelsea,17,DF,Premier League,1,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Acuña,ARG,Sevilla,31,DF,La Liga,21,18,1292,14.4,0.0696594427244582,0.1393188854489164,0.2089783281733746,0.0696594427244582,0.0,0.0,0.48761609907120745,0.0,0.02089783281733746,0.02089783281733746,0.1044891640866873,0.12538699690402477,1.6021671826625388,4.109907120743034,2.9256965944272446
Tosin Adarabioyo,ENG,Fulham,25,DF,Premier League,20,18,1617,18.0,0.11131725417439704,0.0,0.11131725417439704,0.11131725417439704,0.0,0.0,0.11131725417439704,0.0,0.03896103896103896,0.03896103896103896,0.0055658627087198514,0.04452690166975881,0.5565862708719852,3.450834879406308,0.2782931354359926
Nathaniel Adjei,GHA,Lorient,20,DF,Ligue 1,15,14,1243,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.14481094127111827,0.0,0.028962188254223656,0.028962188254223656,0.007240547063555914,0.036202735317779566,0.7240547063555913,2.4617860016090107,0.28962188254223653
Adryelson,BRA,Lyon,25,DF,Ligue 1,2,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agbadou,CIV,Reims,26,DF,Ligue 1,32,29,2596,28.8,0.03466872110939908,0.03466872110939908,0.06933744221879816,0.03466872110939908,0.0,0.0,0.03466872110939908,0.0,0.08320493066255777,0.08320493066255777,0.052003081664098616,0.13174114021571648,1.456086286594761,6.205701078582434,0.6587057010785824
Felix Agu,GER,Werder Bremen,23,DF,Bundesliga,24,19,1614,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.11152416356877323,0.0,0.05018587360594796,0.05018587360594796,0.03345724907063197,0.08364312267657992,1.7843866171003717,1.7843866171003717,5.018587360594795
Nayef Aguerd,MAR,West Ham,27,DF,Premier League,21,21,1857,20.6,0.048465266558966075,0.0,0.048465266558966075,0.048465266558966075,0.0,0.0,0.14539579967689822,0.048465266558966075,0.07269789983844911,0.07269789983844911,0.014539579967689821,0.08723747980613894,0.48465266558966075,3.295638126009693,0.14539579967689822
Ruben Aguilar,FRA,Lens,30,DF,Ligue 1,25,22,1922,21.4,0.04682622268470344,0.1404786680541103,0.18730489073881376,0.04682622268470344,0.0,0.0,0.1404786680541103,0.0,0.06555671175858481,0.06555671175858481,0.13579604578563995,0.20135275754422474,1.6857440166493236,5.150884495317378,7.585848074921957
Anel Ahmedhodžić,BIH,Sheffield Utd,24,DF,Premier League,31,29,2649,29.4,0.06795016987542468,0.0,0.06795016987542468,0.06795016987542468,0.0,0.0,0.3737259343148358,0.03397508493771234,0.10532276330690828,0.10532276330690828,0.02718006795016988,0.13590033975084936,0.5096262740656852,1.4609286523216307,0.7134767836919592
Joseph Aidoo,GHA,Celta Vigo,27,DF,La Liga,6,4,407,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022113022113022112,0.022113022113022112,0.022113022113022112,0.044226044226044224,0.44226044226044225,2.6535626535626538,0.0
Ola Aina,NGA,Nott'ham Forest,26,DF,Premier League,22,20,1692,18.8,0.05319148936170213,0.05319148936170213,0.10638297872340426,0.05319148936170213,0.0,0.0,0.1595744680851064,0.0,0.015957446808510637,0.015957446808510637,0.047872340425531915,0.06382978723404255,2.8191489361702127,3.617021276595745,2.021276595744681
Rayan Aït-Nouri,ALG,Wolves,22,DF,Premier League,33,29,2329,25.9,0.07728638900815801,0.038643194504079006,0.11592958351223702,0.07728638900815801,0.0,0.0,0.270502361528553,0.0,0.1275225418634607,0.1275225418634607,0.0927436668097896,0.2164018892228424,2.5890940317732936,3.8256762559038213,3.8256762559038213
Kristoffer Ajer,NOR,Brentford,25,DF,Premier League,28,21,1832,20.4,0.0982532751091703,0.04912663755458515,0.14737991266375544,0.0982532751091703,0.0,0.0,0.24563318777292575,0.0,0.06386462882096071,0.06386462882096071,0.11299126637554584,0.17685589519650655,1.0807860262008733,2.9967248908296944,1.5229257641921399
Manuel Akanji,SUI,Manchester City,28,DF,Premier League,30,28,2511,27.9,0.07168458781362007,0.0,0.07168458781362007,0.07168458781362007,0.0,0.0,0.14336917562724014,0.035842293906810034,0.06810035842293906,0.06810035842293906,0.017921146953405017,0.08602150537634408,1.6487455197132617,5.304659498207886,1.2903225806451613
Nathan Aké,NED,Manchester City,28,DF,Premier League,29,24,2042,22.7,0.0881488736532811,0.0881488736532811,0.1762977473065622,0.0881488736532811,0.0,0.0,0.0,0.0,0.11018609206660138,0.11018609206660138,0.05288932419196866,0.16307541625857003,1.0577864838393731,5.112634671890303,0.79333986287953
