,Date,HomeTeam,xG HomeTeam,xG AwayTeam,AwayTeam
2,2020-09-12,Liverpool,3.3,0.6,Leeds United
10,2020-09-19,Leeds United,1.7,1.8,Fulham
24,2020-09-27,Sheffield Utd,1.6,1.6,Leeds United
33,2020-10-03,Leeds United,1.7,1.5,Manchester City
51,2020-10-19,Leeds United,1.6,0.5,Wolves
53,2020-10-23,Aston Villa,1.2,3.6,Leeds United
73,2020-11-02,Leeds United,1.0,3.5,Leicester City
78,2020-11-07,Crystal Palace,0.9,0.8,Leeds United
92,2020-11-22,Leeds United,2.5,0.9,Arsenal
100,2020-11-28,Everton,1.6,2.9,Leeds United
111,2020-12-05,Chelsea,3.7,1.3,Leeds United
118,2020-12-11,Leeds United,1.8,1.9,West Ham
131,2020-12-16,Leeds United,2.8,0.9,Newcastle Utd
146,2020-12-20,Manchester Utd,4.0,1.7,Leeds United
157,2020-12-27,Leeds United,1.8,1.1,Burnley
165,2020-12-29,West Brom,0.6,0.9,Leeds United
173,2021-01-02,Tottenham,2.6,1.0,Leeds United
193,2021-01-16,Leeds United,0.3,1.3,Brighton
212,2021-01-26,Newcastle Utd,1.4,0.9,Leeds United
230,2021-01-31,Leicester City,1.9,1.8,Leeds United
240,2021-02-03,Leeds United,0.9,1.8,Everton
254,2021-02-08,Leeds United,2.8,0.5,Crystal Palace
262,2021-02-14,Arsenal,2.4,0.7,Leeds United
271,2021-02-19,Wolves,0.8,1.4,Leeds United
282,2021-02-23,Leeds United,1.3,0.7,Southampton
286,2021-02-27,Leeds United,0.7,0.9,Aston Villa
314,2021-03-08,West Ham,1.9,1.7,Leeds United
319,2021-03-13,Leeds United,0.4,1.4,Chelsea
329,2021-03-19,Fulham,1.4,1.5,Leeds United
336,2021-04-03,Leeds United,2.5,1.0,Sheffield Utd
347,2021-04-10,Manchester City,2.4,0.3,Leeds United
362,2021-04-19,Leeds United,1.8,2.3,Liverpool
375,2021-04-25,Leeds United,0.4,1.3,Manchester Utd
381,2021-05-01,Brighton,2.6,0.8,Leeds United
390,2021-05-08,Leeds United,2.6,1.0,Tottenham
411,2021-05-15,Burnley,1.5,2.3,Leeds United
420,2021-05-18,Southampton,1.1,1.3,Leeds United
436,2021-05-23,Leeds United,2.0,1.7,West Brom
