,Date,HomeTeam,xG HomeTeam,xG AwayTeam,AwayTeam
2,2020-09-12,Liverpool,3.3,0.6,Leeds United
10,2020-09-19,Leeds United,1.7,1.8,Fulham
24,2020-09-27,Sheffield Utd,1.6,1.6,Leeds United
33,2020-10-03,Leeds United,1.7,1.5,Manchester City
51,2020-10-19,Leeds United,1.6,0.5,Wolves
53,2020-10-23,Aston Villa,1.2,3.6,Leeds United
73,2020-11-02,Leeds United,1.0,3.5,Leicester City
78,2020-11-07,Crystal Palace,0.9,0.8,Leeds United
92,2020-11-22,Leeds United,2.5,0.9,Arsenal
100,2020-11-28,Everton,1.6,2.9,Leeds United
111,2020-12-05,Chelsea,3.7,1.3,Leeds United
118,2020-12-11,Leeds United,1.8,1.9,West Ham
131,2020-12-16,Leeds United,2.8,0.9,Newcastle Utd
146,2020-12-20,Manchester Utd,4.0,1.7,Leeds United
157,2020-12-27,Leeds United,1.8,1.1,Burnley
165,2020-12-29,West Brom,0.6,0.9,Leeds United
173,2021-01-02,Tottenham,2.6,1.0,Leeds United
193,2021-01-16,Leeds United,0.3,1.3,Brighton
212,2021-01-26,Newcastle Utd,1.4,0.9,Leeds United
230,2021-01-31,Leicester City,1.9,1.8,Leeds United
240,2021-02-03,Leeds United,0.9,1.8,Everton
254,2021-02-08,Leeds United,2.8,0.5,Crystal Palace
262,2021-02-14,Arsenal,2.4,0.7,Leeds United
271,2021-02-19,Wolves,0.8,1.4,Leeds United
282,2021-02-23,Leeds United,1.3,0.7,Southampton
286,2021-02-27,Leeds United,0.7,0.9,Aston Villa
314,2021-03-08,West Ham,1.9,1.7,Leeds United
319,2021-03-13,Leeds United,0.4,1.4,Chelsea
329,2021-03-19,Fulham,1.4,1.5,Leeds United
336,2021-04-03,Leeds United,2.5,1.0,Sheffield Utd
347,2021-04-10,Manchester City,2.4,0.3,Leeds United
362,2021-04-19,Leeds United,1.8,2.3,Liverpool
375,2021-04-25,Leeds United,0.4,1.3,Manchester Utd
381,2021-05-01,Brighton,2.6,0.8,Leeds United
390,2021-05-08,Leeds United,2.6,1.0,Tottenham
411,2021-05-15,Burnley,1.5,2.3,Leeds United
420,2021-05-18,Southampton,1.1,1.3,Leeds United
436,2021-05-23,Leeds United,2.0,1.7,West Brom
1,2021-08-14,Manchester Utd,1.5,0.6,Leeds United
12,2021-08-21,Leeds United,1.5,2.0,Everton
29,2021-08-29,Burnley,1.4,1.5,Leeds United
41,2021-09-12,Leeds United,1.2,4.0,Liverpool
44,2021-09-17,Newcastle Utd,1.3,2.0,Leeds United
58,2021-09-25,Leeds United,1.3,1.8,West Ham
67,2021-10-02,Leeds United,1.9,0.2,Watford
79,2021-10-16,Southampton,2.3,0.2,Leeds United
93,2021-10-23,Leeds United,1.9,1.0,Wolves
106,2021-10-31,Norwich City,0.9,1.0,Leeds United
116,2021-11-07,Leeds United,1.2,1.1,Leicester City
130,2021-11-21,Tottenham,2.0,1.1,Leeds United
136,2021-11-27,Brighton,2.1,0.9,Leeds United
143,2021-11-30,Leeds United,1.7,1.0,Crystal Palace
160,2021-12-05,Leeds United,1.2,1.0,Brentford
167,2021-12-11,Chelsea,2.8,1.4,Leeds United
175,2021-12-14,Manchester City,3.6,0.2,Leeds United
182,2021-12-18,Leeds United,1.6,3.2,Arsenal
206,2022-01-02,Leeds United,1.3,0.9,Burnley
221,2022-01-16,West Ham,2.0,2.3,Leeds United
233,2022-01-22,Leeds United,1.0,1.1,Newcastle Utd
248,2022-02-09,Aston Villa,1.8,1.9,Leeds United
254,2022-02-12,Everton,2.1,0.3,Leeds United
272,2022-02-20,Leeds United,1.5,2.6,Manchester Utd
279,2022-02-23,Liverpool,5.0,0.2,Leeds United
284,2022-02-26,Leeds United,1.5,2.4,Tottenham
294,2022-03-05,Leicester City,0.5,1.9,Leeds United
311,2022-03-10,Leeds United,0.2,1.4,Aston Villa
316,2022-03-13,Leeds United,2.5,1.2,Norwich City
330,2022-03-18,Wolves,0.8,2.2,Leeds United
336,2022-04-02,Leeds United,1.1,1.7,Southampton
352,2022-04-09,Watford,1.2,1.0,Leeds United
385,2022-04-25,Crystal Palace,1.9,0.4,Leeds United
394,2022-04-30,Leeds United,1.2,2.7,Manchester City
407,2022-05-08,Arsenal,2.9,0.5,Leeds United
412,2022-05-11,Leeds United,0.5,1.5,Chelsea
425,2022-05-15,Leeds United,2.0,2.2,Brighton
439,2022-05-22,Brentford,1.2,1.4,Leeds United
