,Date,HomeTeam,xG HomeTeam,xG AwayTeam,AwayTeam
1,2021-08-14,Manchester Utd,1.5,0.6,Leeds United
12,2021-08-21,Leeds United,1.5,2.0,Everton
29,2021-08-29,Burnley,1.4,1.5,Leeds United
41,2021-09-12,Leeds United,1.2,4.0,Liverpool
44,2021-09-17,Newcastle Utd,1.3,2.0,Leeds United
58,2021-09-25,Leeds United,1.3,1.8,West Ham
67,2021-10-02,Leeds United,1.9,0.2,Watford
79,2021-10-16,Southampton,2.3,0.2,Leeds United
93,2021-10-23,Leeds United,1.9,1.0,Wolves
106,2021-10-31,Norwich City,0.9,1.0,Leeds United
116,2021-11-07,Leeds United,1.2,1.1,Leicester City
130,2021-11-21,Tottenham,2.0,1.1,Leeds United
136,2021-11-27,Brighton,2.1,0.9,Leeds United
143,2021-11-30,Leeds United,1.7,1.0,Crystal Palace
160,2021-12-05,Leeds United,1.2,1.0,Brentford
167,2021-12-11,Chelsea,2.8,1.4,Leeds United
175,2021-12-14,Manchester City,3.6,0.2,Leeds United
182,2021-12-18,Leeds United,1.6,3.2,Arsenal
206,2022-01-02,Leeds United,1.3,0.9,Burnley
221,2022-01-16,West Ham,2.0,2.3,Leeds United
233,2022-01-22,Leeds United,1.0,1.1,Newcastle Utd
248,2022-02-09,Aston Villa,1.8,1.9,Leeds United
254,2022-02-12,Everton,2.1,0.3,Leeds United
272,2022-02-20,Leeds United,1.5,2.6,Manchester Utd
279,2022-02-23,Liverpool,5.0,0.2,Leeds United
284,2022-02-26,Leeds United,1.5,2.4,Tottenham
294,2022-03-05,Leicester City,0.5,1.9,Leeds United
311,2022-03-10,Leeds United,0.2,1.4,Aston Villa
316,2022-03-13,Leeds United,2.5,1.2,Norwich City
330,2022-03-18,Wolves,0.8,2.2,Leeds United
336,2022-04-02,Leeds United,1.1,1.7,Southampton
352,2022-04-09,Watford,1.2,1.0,Leeds United
385,2022-04-25,Crystal Palace,1.9,0.4,Leeds United
394,2022-04-30,Leeds United,1.2,2.7,Manchester City
407,2022-05-08,Arsenal,2.9,0.5,Leeds United
412,2022-05-11,Leeds United,0.5,1.5,Chelsea
425,2022-05-15,Leeds United,2.0,2.2,Brighton
439,2022-05-22,Brentford,1.2,1.4,Leeds United
