Sett.,Giorno,Data,Ora,Casa,xG,Punteggio,xG,Ospiti,Spettatori,Stadio,Arbitro,Report partita,Note
1,Sab,19-09-2020,18:00,Fiorentina,1.9,1–0,0.6,Torino,,Stadio Artemio Franchi,Rosario Abisso,Report partita,
1,Sab,19-09-2020,20:45,Hellas Verona,1.3,3–0,1.7,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Report partita,Partita assegnata a Hellas Verona
1,Dom,20-09-2020,12:30,Parma,0.2,0–2,1.6,Napoli,1.000,Stadio Ennio Tardini,Maurizio Mariani,Report partita,
1,Dom,20-09-2020,15:00,Genoa,2.0,4–1,1.2,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Report partita,
1,Dom,20-09-2020,18:00,Sassuolo,2.3,1–1,1.0,Cagliari,850,Stadio Città del Tricolore,Livio Marinelli,Report partita,
1,Dom,20-09-2020,20:45,Juventus,2.4,3–0,0.8,Sampdoria,1.000,Allianz Stadium,Marco Piccinini,Report partita,
1,Lun,21-09-2020,20:45,Milan,2.9,2–0,0.9,Bologna,1.000,Stadio Giuseppe Meazza,Federico La Penna,Report partita,
,,,,,,,,,,,,,
2,Sab,26-09-2020,15:00,Torino,0.7,2–4,1.6,Atalanta,1.000,Stadio Olimpico di Torino,Massimiliano Irrati,Report partita,
2,Sab,26-09-2020,18:00,Cagliari,1.0,0–2,2.1,Lazio,1.000,Sardegna Arena,Davide Massa,Report partita,
2,Sab,26-09-2020,18:00,Sampdoria,1.6,2–3,1.2,Benevento,1.000,Stadio Comunale Luigi Ferraris,Federico Dionisi,Report partita,
2,Sab,26-09-2020,20:45,Inter,2.8,4–3,2.5,Fiorentina,1.000,Stadio Giuseppe Meazza,Giampaolo Calvarese,Report partita,
2,Dom,27-09-2020,12:30,Spezia,1.1,1–4,2.8,Sassuolo,1.000,Stadio Dino Manuzzi,Davide Ghersini,Report partita,
2,Dom,27-09-2020,15:00,Hellas Verona,1.0,1–0,1.7,Udinese,1.000,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Report partita,
